signal_DN,var_single_DN2
1.800000000000000000e+01,1.023300426475151292e+00
3.450000000000000000e+01,1.502323636684627317e+00
5.250000000000000000e+01,1.927086345903142872e+00
7.450000000000000000e+01,2.423110232078749426e+00
9.300000000000000000e+01,2.946042269814233006e+00
1.105000000000000000e+02,3.365689889198085094e+00
1.265000000000000000e+02,3.891589891734664075e+00
1.475000000000000000e+02,4.293417059489106791e+00
1.635000000000000000e+02,4.810257558808758382e+00
1.815000000000000000e+02,5.203821600067502828e+00
2.000000000000000000e+02,5.740584821833767393e+00
2.195000000000000000e+02,6.135002224033069496e+00
2.345000000000000000e+02,6.504606060244185528e+00
2.535000000000000000e+02,7.017845828678663800e+00
2.705000000000000000e+02,7.393014382888064340e+00
2.915000000000000000e+02,7.796436172518422580e+00
3.070000000000000000e+02,8.292142321136690697e+00
3.255000000000000000e+02,8.648710840831078883e+00
3.435000000000000000e+02,9.048095337488096135e+00
3.635000000000000000e+02,9.602927101919410902e+00
3.805000000000000000e+02,9.998219642769074156e+00
3.995000000000000000e+02,1.032722343855479075e+01
4.150000000000000000e+02,1.067110855687070448e+01
4.340000000000000000e+02,1.124246345320138118e+01
4.520000000000000000e+02,1.164932244063819589e+01
4.710000000000000000e+02,1.199310342342347369e+01
4.885000000000000000e+02,1.229644532729431639e+01
5.070000000000000000e+02,1.286958482110598645e+01
5.255000000000000000e+02,1.324515269415124052e+01
5.425000000000000000e+02,1.361533323142875140e+01
5.595000000000000000e+02,1.399500275470349386e+01
5.760000000000000000e+02,1.446969619887451408e+01
5.935000000000000000e+02,1.483142695047859583e+01
6.125000000000000000e+02,1.510159026260361337e+01
6.265000000000000000e+02,1.551726677920100883e+01
6.455000000000000000e+02,1.581581399565747148e+01
6.620000000000000000e+02,1.639646937641832025e+01
6.820000000000000000e+02,1.678098603395913457e+01
6.965000000000000000e+02,1.717905917059117726e+01
7.155000000000000000e+02,1.743661091587285483e+01
7.340000000000000000e+02,1.776584171447835203e+01
7.515000000000000000e+02,1.827845314425434964e+01
7.680000000000000000e+02,1.854018775720009415e+01
7.860000000000000000e+02,1.891475287043313003e+01
8.050000000000000000e+02,1.918564458407177042e+01
8.225000000000000000e+02,1.946425739328233462e+01
8.410000000000000000e+02,1.975553343651899496e+01
8.560000000000000000e+02,2.027543781411305801e+01
8.720000000000000000e+02,2.063322710220812084e+01
8.900000000000000000e+02,2.091039277503208993e+01
9.070000000000000000e+02,2.128545214272935127e+01
9.245000000000000000e+02,2.154123160854512165e+01
9.390000000000000000e+02,2.178364479196895331e+01
9.590000000000000000e+02,2.237557005667004262e+01
9.765000000000000000e+02,2.265009597169266442e+01
9.935000000000000000e+02,2.294397379353945610e+01
1.012500000000000000e+03,2.324918210140963737e+01
1.026500000000000000e+03,2.347840545164229908e+01
1.042500000000000000e+03,2.384014595161673356e+01
1.062000000000000000e+03,2.404121988759257178e+01
1.079000000000000000e+03,2.469886271537785305e+01
1.095000000000000000e+03,2.508599065415723928e+01
1.111000000000000000e+03,2.537933352511245388e+01
1.129000000000000000e+03,2.560296243614529743e+01
1.143500000000000000e+03,2.584351142952903757e+01
1.159000000000000000e+03,2.603219507700262625e+01
1.176500000000000000e+03,2.647788532656182880e+01
1.194500000000000000e+03,2.691670337918493772e+01
1.208500000000000000e+03,2.717274114784336447e+01
1.254000000000000000e+03,2.792594099471217106e+01
1.258500000000000000e+03,2.830737934254062438e+01
1.274500000000000000e+03,2.836693927995677811e+01
