signal_DN,var_single_DN2
2.844500000000000000e+03,1.417810034876933514e+03
5.642500000000000000e+03,2.135745087770073042e+03
8.306500000000000000e+03,2.799697881061025782e+03
1.092700000000000000e+04,3.227130037205537974e+03
1.341300000000000000e+04,3.425686906788670058e+03
1.575350000000000000e+04,3.420164292178595588e+03
1.789450000000000000e+04,3.289700457133708824e+03
1.975450000000000000e+04,3.296056247817056828e+03
2.125750000000000000e+04,2.942866057424862447e+03
2.238350000000000000e+04,2.839404005427029915e+03
2.308000000000000000e+04,2.755067888331047470e+03
2.343450000000000000e+04,3.090311902538325285e+03
2.366250000000000000e+04,2.797000477949428841e+03
2.379350000000000000e+04,3.030772327280079935e+03
