signal_DN,var_single_DN2
2.450000000000000000e+01,1.195923344238033481e+00
5.500000000000000000e+01,2.006842000373355361e+00
8.200000000000000000e+01,2.797750475561314509e+00
1.105000000000000000e+02,3.445340064597700369e+00
1.425000000000000000e+02,4.176329283834311568e+00
1.680000000000000000e+02,4.958661914128637882e+00
1.975000000000000000e+02,5.675453507362682615e+00
2.275000000000000000e+02,6.282611539581284710e+00
2.530000000000000000e+02,6.983296558986483937e+00
2.830000000000000000e+02,7.579428871189226591e+00
3.080000000000000000e+02,8.390693730221315150e+00
3.370000000000000000e+02,8.977262029116340969e+00
3.655000000000000000e+02,9.812298696394693209e+00
3.945000000000000000e+02,1.034933544893971735e+01
4.215000000000000000e+02,1.115290617479081270e+01
4.505000000000000000e+02,1.166284849276283175e+01
4.750000000000000000e+02,1.220730701629715576e+01
5.050000000000000000e+02,1.302145141168224107e+01
5.330000000000000000e+02,1.352013225539176311e+01
5.575000000000000000e+02,1.429058573976706370e+01
5.885000000000000000e+02,1.485303014467052840e+01
6.145000000000000000e+02,1.536228171120283470e+01
6.395000000000000000e+02,1.621016079347930372e+01
6.705000000000000000e+02,1.669103692467836453e+01
6.960000000000000000e+02,1.720932618134623837e+01
7.260000000000000000e+02,1.803063690680816222e+01
7.505000000000000000e+02,1.852651436731279588e+01
2.900000000000000000e+01,1.194839234373507253e+00
5.450000000000000000e+01,2.002027006114929009e+00
8.500000000000000000e+01,2.729103014438803321e+00
1.130000000000000000e+02,3.391229500145701348e+00
1.430000000000000000e+02,4.134567065949428688e+00
1.700000000000000000e+02,4.899723405959051092e+00
1.990000000000000000e+02,5.635116521300688852e+00
2.275000000000000000e+02,6.240177230107032180e+00
2.560000000000000000e+02,6.989823596925366367e+00
2.845000000000000000e+02,7.597364223234811753e+00
3.100000000000000000e+02,8.350883706769643311e+00
3.395000000000000000e+02,8.904004151872147332e+00
3.640000000000000000e+02,9.657921738665519840e+00
3.945000000000000000e+02,1.026880739528384723e+01
4.205000000000000000e+02,1.100205073058766025e+01
4.525000000000000000e+02,1.151335637962893799e+01
4.790000000000000000e+02,1.208391081230795550e+01
5.080000000000000000e+02,1.286016199272670413e+01
5.340000000000000000e+02,1.340521467167968694e+01
5.605000000000000000e+02,1.422930525124727197e+01
5.915000000000000000e+02,1.469421798631520204e+01
6.150000000000000000e+02,1.523963800184139039e+01
6.430000000000000000e+02,1.608894383683126961e+01
6.705000000000000000e+02,1.668557311665595577e+01
6.985000000000000000e+02,1.727550236188758248e+01
7.255000000000000000e+02,1.812598633973386697e+01
7.520000000000000000e+02,1.862749053829667645e+01
2.900000000000000000e+01,1.188200422948064716e+00
5.500000000000000000e+01,1.914407154402683942e+00
8.650000000000000000e+01,2.732467436776826020e+00
1.150000000000000000e+02,3.423348402262642587e+00
1.420000000000000000e+02,4.147313441799461486e+00
1.715000000000000000e+02,4.908762053747839360e+00
1.990000000000000000e+02,5.661745498644350505e+00
2.275000000000000000e+02,6.308586686438882651e+00
2.570000000000000000e+02,7.037711693899729504e+00
2.835000000000000000e+02,7.686997404770621323e+00
3.145000000000000000e+02,8.375260514132829570e+00
3.420000000000000000e+02,8.978496938561990603e+00
3.665000000000000000e+02,9.774449761600374487e+00
3.950000000000000000e+02,1.030876610226445500e+01
4.210000000000000000e+02,1.106866074734739414e+01
4.525000000000000000e+02,1.165386117587065051e+01
4.795000000000000000e+02,1.222673855968817946e+01
5.090000000000000000e+02,1.297896186738293522e+01
5.355000000000000000e+02,1.352490053358135036e+01
5.620000000000000000e+02,1.427588624250877025e+01
5.905000000000000000e+02,1.480890677505693098e+01
6.165000000000000000e+02,1.544612886828910625e+01
6.460000000000000000e+02,1.618579627736238891e+01
6.725000000000000000e+02,1.676230524635499819e+01
6.995000000000000000e+02,1.729822834499775652e+01
7.250000000000000000e+02,1.810666076235633426e+01
7.500000000000000000e+02,1.862815208581086779e+01
2.350000000000000000e+01,1.181999528869988936e+00
5.800000000000000000e+01,1.892605962560335531e+00
8.550000000000000000e+01,2.618399588354534568e+00
1.125000000000000000e+02,3.388929465590028833e+00
1.420000000000000000e+02,4.135381186266235076e+00
1.680000000000000000e+02,4.892170659306148472e+00
1.985000000000000000e+02,5.610049164824255641e+00
2.270000000000000000e+02,6.296502334970567993e+00
2.540000000000000000e+02,7.028721417230616275e+00
2.825000000000000000e+02,7.629588252123114422e+00
3.125000000000000000e+02,8.394767767378686685e+00
3.385000000000000000e+02,9.025570210659338954e+00
3.680000000000000000e+02,9.767168751102861535e+00
3.930000000000000000e+02,1.032055545733079605e+01
4.210000000000000000e+02,1.105600787081517211e+01
4.505000000000000000e+02,1.163536901888642383e+01
4.775000000000000000e+02,1.251724048536733136e+01
5.065000000000000000e+02,1.306126169241910340e+01
5.325000000000000000e+02,1.361712131283741378e+01
5.585000000000000000e+02,1.429758846228293123e+01
5.870000000000000000e+02,1.486573693743122426e+01
6.140000000000000000e+02,1.541234322710167426e+01
6.435000000000000000e+02,1.623191464641050885e+01
6.725000000000000000e+02,1.673910084565987333e+01
6.955000000000000000e+02,1.730080120469599692e+01
7.235000000000000000e+02,1.810180768004295260e+01
7.480000000000000000e+02,1.858292002137715215e+01
2.350000000000000000e+01,1.192718290885290910e+00
5.850000000000000000e+01,1.915573542755274916e+00
8.300000000000000000e+01,2.748708860006666033e+00
1.110000000000000000e+02,3.400227679347839871e+00
1.435000000000000000e+02,4.164740530558049159e+00
1.665000000000000000e+02,4.906813503696101364e+00
1.985000000000000000e+02,5.644954331448627016e+00
2.255000000000000000e+02,6.280332362960311166e+00
2.525000000000000000e+02,7.063857711757313140e+00
2.830000000000000000e+02,7.697537723278047750e+00
3.080000000000000000e+02,8.444976210852985332e+00
3.360000000000000000e+02,9.029405383219078374e+00
3.680000000000000000e+02,9.828394882162506008e+00
3.925000000000000000e+02,1.042088904233198399e+01
4.210000000000000000e+02,1.115976731717999826e+01
4.495000000000000000e+02,1.172671247098228875e+01
4.775000000000000000e+02,1.251322049962317529e+01
5.040000000000000000e+02,1.305009161347266833e+01
5.305000000000000000e+02,1.364435151615676212e+01
5.585000000000000000e+02,1.440240688612290754e+01
5.855000000000000000e+02,1.493824494695381588e+01
6.125000000000000000e+02,1.552022648729437826e+01
6.410000000000000000e+02,1.621813228448854716e+01
6.685000000000000000e+02,1.686635061415657688e+01
6.925000000000000000e+02,1.739661303108866974e+01
7.235000000000000000e+02,1.808192005230416299e+01
7.485000000000000000e+02,1.860573866230665985e+01
2.350000000000000000e+01,1.188000062480119690e+00
5.700000000000000000e+01,1.911826685413248184e+00
8.250000000000000000e+01,2.724327081766015901e+00
1.120000000000000000e+02,3.376790247822619939e+00
1.435000000000000000e+02,4.108822325968072064e+00
1.670000000000000000e+02,4.867283975753079694e+00
1.980000000000000000e+02,5.660218140417704547e+00
2.250000000000000000e+02,6.341826204154530799e+00
2.525000000000000000e+02,7.137317314214988606e+00
2.840000000000000000e+02,7.725610889475368559e+00
3.070000000000000000e+02,8.479410062805277093e+00
3.375000000000000000e+02,9.096902221868960581e+00
3.660000000000000000e+02,9.800548069758779235e+00
3.930000000000000000e+02,1.039211843361001897e+01
4.200000000000000000e+02,1.116346106688464168e+01
4.490000000000000000e+02,1.166335051500516862e+01
4.750000000000000000e+02,1.251198392842463392e+01
5.025000000000000000e+02,1.306304172641239347e+01
5.310000000000000000e+02,1.363855517227360536e+01
5.585000000000000000e+02,1.441603948502637245e+01
5.845000000000000000e+02,1.496337928794198291e+01
6.115000000000000000e+02,1.550619040447954156e+01
6.395000000000000000e+02,1.617021322231889968e+01
6.675000000000000000e+02,1.675116819141736357e+01
6.915000000000000000e+02,1.738230364304087772e+01
7.230000000000000000e+02,1.807394347063882734e+01
7.480000000000000000e+02,1.859546907270898686e+01
2.650000000000000000e+01,1.193516768295498798e+00
5.850000000000000000e+01,1.899600503001628526e+00
8.400000000000000000e+01,2.634418410767580099e+00
1.140000000000000000e+02,3.381375671932560056e+00
1.440000000000000000e+02,4.122028062130451254e+00
1.665000000000000000e+02,4.874773286848864018e+00
1.980000000000000000e+02,5.594661639338194270e+00
2.275000000000000000e+02,6.211064709589888544e+00
2.545000000000000000e+02,6.950340283312379519e+00
2.860000000000000000e+02,7.564863161965833527e+00
3.115000000000000000e+02,8.406890971524431322e+00
3.395000000000000000e+02,9.044350815867622018e+00
3.660000000000000000e+02,9.715321119210361900e+00
3.940000000000000000e+02,1.034156619894528895e+01
4.210000000000000000e+02,1.107897890374484362e+01
4.510000000000000000e+02,1.162518958704592187e+01
4.760000000000000000e+02,1.224049648284803382e+01
5.065000000000000000e+02,1.287528597025894506e+01
5.300000000000000000e+02,1.341197935003280506e+01
5.605000000000000000e+02,1.392974619438977690e+01
5.860000000000000000e+02,1.461061025244840827e+01
6.120000000000000000e+02,1.522743226019488105e+01
6.420000000000000000e+02,1.571628494960204669e+01
6.695000000000000000e+02,1.655629076521089971e+01
6.940000000000000000e+02,1.704537934796778487e+01
7.240000000000000000e+02,1.756148650932905397e+01
7.485000000000000000e+02,1.839977415352793955e+01
3.100000000000000000e+01,1.190950890056205358e+00
6.050000000000000000e+01,1.884709263332525087e+00
8.500000000000000000e+01,2.608622576107873403e+00
1.140000000000000000e+02,3.366959173966471042e+00
1.445000000000000000e+02,4.089963445996971814e+00
1.685000000000000000e+02,4.840187602081766016e+00
1.995000000000000000e+02,5.578967600447303887e+00
2.290000000000000000e+02,6.210933935585273069e+00
2.540000000000000000e+02,6.991223449694112801e+00
2.845000000000000000e+02,7.634171066591300736e+00
3.130000000000000000e+02,8.379098254186970962e+00
3.390000000000000000e+02,8.985272221700018491e+00
3.670000000000000000e+02,9.750755554882736931e+00
3.950000000000000000e+02,1.032062425938666550e+01
4.210000000000000000e+02,1.108983195350410256e+01
4.510000000000000000e+02,1.160351142512419642e+01
4.765000000000000000e+02,1.220064098813965892e+01
5.080000000000000000e+02,1.292185836814412880e+01
5.305000000000000000e+02,1.351168308022269215e+01
5.630000000000000000e+02,1.425473423242954318e+01
5.890000000000000000e+02,1.474082997684298846e+01
6.135000000000000000e+02,1.526855602697196801e+01
6.450000000000000000e+02,1.605952951759244485e+01
6.720000000000000000e+02,1.665766325439180306e+01
6.975000000000000000e+02,1.710635377766885412e+01
7.270000000000000000e+02,1.768890668459717119e+01
7.515000000000000000e+02,1.838693395049435608e+01
2.750000000000000000e+01,1.179910478192522483e+00
6.000000000000000000e+01,1.889349104723788475e+00
8.250000000000000000e+01,2.627324691927872102e+00
1.140000000000000000e+02,3.328546160483631500e+00
1.430000000000000000e+02,4.064762001975346095e+00
1.690000000000000000e+02,4.808042819214743524e+00
2.000000000000000000e+02,5.580496582976372189e+00
2.285000000000000000e+02,6.229919425884447470e+00
2.525000000000000000e+02,6.997141660330117752e+00
2.840000000000000000e+02,7.600172721434383050e+00
3.100000000000000000e+02,8.340334660540980494e+00
3.395000000000000000e+02,8.964448889837937529e+00
3.670000000000000000e+02,9.683590157597617321e+00
3.930000000000000000e+02,1.030823419890736936e+01
4.200000000000000000e+02,1.105594869715114470e+01
4.485000000000000000e+02,1.163942878770233769e+01
4.735000000000000000e+02,1.220542681109522221e+01
5.065000000000000000e+02,1.299484770415350710e+01
5.310000000000000000e+02,1.352041036498277826e+01
5.615000000000000000e+02,1.431819142104664166e+01
5.875000000000000000e+02,1.484335376071735801e+01
6.110000000000000000e+02,1.542419147793885337e+01
6.425000000000000000e+02,1.620389415307259284e+01
6.715000000000000000e+02,1.677246044549221438e+01
6.975000000000000000e+02,1.734083233177230099e+01
7.250000000000000000e+02,1.817278159500445511e+01
7.510000000000000000e+02,1.870190905937846537e+01
