signal_DN,var_single_DN2
1.650000000000000000e+01,1.536436685224110033e+00
3.350000000000000000e+01,1.791794304365559309e+00
5.050000000000000000e+01,3.707044186156513987e+00
6.550000000000000000e+01,5.707589405816593242e+00
7.950000000000000000e+01,3.925095678270382304e+00
9.400000000000000000e+01,1.054735279042974305e+01
1.160000000000000000e+02,8.095593913637269878e+00
1.270000000000000000e+02,1.235541815810122479e+01
1.460000000000000000e+02,1.536077716133348225e+01
1.605000000000000000e+02,1.884988034230205756e+01
1.765000000000000000e+02,1.837499377945597701e+01
1.925000000000000000e+02,2.120586398988472965e+01
2.095000000000000000e+02,1.554221753722291588e+01
2.255000000000000000e+02,2.512922428992547808e+01
2.410000000000000000e+02,2.535654912866472799e+01
2.575000000000000000e+02,2.707937565962376425e+01
2.750000000000000000e+02,2.554195228045508159e+01
2.900000000000000000e+02,2.233813282843288306e+01
3.050000000000000000e+02,2.765739226822905650e+01
3.220000000000000000e+02,3.253926792900468712e+01
3.385000000000000000e+02,3.192402279810258747e+01
3.540000000000000000e+02,3.638898777231974435e+01
3.690000000000000000e+02,5.272288127072442165e+01
3.845000000000000000e+02,3.593100329395917925e+01
3.990000000000000000e+02,4.285996380307292952e+01
4.140000000000000000e+02,4.429785679041470559e+01
4.300000000000000000e+02,3.296972749696637806e+01
4.455000000000000000e+02,4.442549054293363042e+01
4.620000000000000000e+02,4.277097565354077346e+01
4.765000000000000000e+02,4.783089566769336187e+01
4.930000000000000000e+02,3.584711354422803709e+01
5.080000000000000000e+02,3.600235664502306321e+01
5.225000000000000000e+02,4.494298846835956596e+01
5.390000000000000000e+02,3.434782875001327085e+01
5.535000000000000000e+02,3.542258951471085737e+01
5.685000000000000000e+02,2.950961220774771476e+01
5.855000000000000000e+02,3.075558631413397848e+01
5.995000000000000000e+02,3.110047580625004926e+01
6.165000000000000000e+02,2.992829424208098033e+01
6.330000000000000000e+02,2.944645401495688830e+01
6.455000000000000000e+02,2.982697853046205339e+01
6.610000000000000000e+02,3.384483692008295463e+01
6.740000000000000000e+02,2.867008524749218168e+01
6.920000000000000000e+02,2.628277255104050170e+01
7.045000000000000000e+02,3.299840479683112449e+01
7.205000000000000000e+02,3.136327703733597261e+01
7.365000000000000000e+02,2.694491661802102200e+01
7.530000000000000000e+02,2.548454254752369152e+01
7.685000000000000000e+02,2.729326789008563026e+01
7.825000000000000000e+02,2.579522470051912464e+01
1.350000000000000000e+01,2.413252633022238136e+00
3.150000000000000000e+01,1.877863207103061871e+00
4.650000000000000000e+01,3.195269790990793002e+00
6.400000000000000000e+01,5.286665744397585520e+00
8.050000000000000000e+01,3.787385953170121056e+00
9.500000000000000000e+01,5.907276081635963294e+00
1.130000000000000000e+02,6.079267120352638720e+00
1.280000000000000000e+02,6.185053237485935718e+00
1.445000000000000000e+02,5.261671165251960325e+00
1.610000000000000000e+02,5.742478692358304215e+00
1.745000000000000000e+02,1.083889803408395736e+01
1.900000000000000000e+02,6.516461598172016423e+00
2.095000000000000000e+02,8.530389000129495969e+00
2.240000000000000000e+02,8.463885185842590531e+00
2.400000000000000000e+02,1.157865985161702405e+01
2.550000000000000000e+02,1.012791230932234221e+01
2.715000000000000000e+02,1.109080330277332571e+01
2.875000000000000000e+02,1.060913023097858066e+01
3.040000000000000000e+02,1.350934733926538378e+01
3.190000000000000000e+02,1.817406721275592574e+01
