signal_DN,var_single_DN2
3.380500000000000000e+03,3.136096728222678394e+03
6.725000000000000000e+03,5.367260870599501686e+03
1.006650000000000000e+04,7.801882010862535935e+03
1.354700000000000000e+04,9.289458640406384802e+03
3.384500000000000000e+03,2.994232438750416804e+03
6.731500000000000000e+03,5.367288827799005958e+03
1.006250000000000000e+04,7.506005033313920649e+03
1.352200000000000000e+04,9.531503025894233360e+03
3.421000000000000000e+03,2.995417972340624601e+03
6.778500000000000000e+03,5.417275684944742352e+03
1.007000000000000000e+04,7.497330953888307704e+03
1.352050000000000000e+04,9.419147522244285938e+03
3.427500000000000000e+03,3.008851977409744904e+03
6.797500000000000000e+03,5.410255239479555712e+03
1.003700000000000000e+04,7.352362751880935321e+03
1.348300000000000000e+04,9.161646452042239616e+03
3.400500000000000000e+03,3.055502307747129180e+03
6.746000000000000000e+03,5.292410741338537264e+03
1.002900000000000000e+04,7.322778544764495564e+03
1.346750000000000000e+04,9.301201817247436338e+03
3.357500000000000000e+03,3.037952281279044200e+03
6.700500000000000000e+03,5.318203014299533606e+03
1.002650000000000000e+04,7.369396637051882863e+03
1.346900000000000000e+04,9.226628505936927468e+03
3.368000000000000000e+03,2.971499698166685903e+03
6.734000000000000000e+03,5.393521871582509448e+03
1.002000000000000000e+04,7.565287059053015582e+03
1.347450000000000000e+04,9.334441168771030789e+03
3.389500000000000000e+03,3.070362769171380933e+03
6.724500000000000000e+03,5.430171310660706695e+03
9.994250000000000000e+03,7.409141561531537263e+03
1.343800000000000000e+04,9.356926241525605292e+03
3.364000000000000000e+03,3.042438566463869847e+03
6.679000000000000000e+03,5.355130961406903225e+03
9.957250000000000000e+03,7.456191072668792913e+03
1.340800000000000000e+04,9.371000125637809106e+03
