signal_DN,var_single_DN2
2.000000000000000000e+00,7.620599598378632322e-01
3.000000000000000000e+00,6.864680464676410354e-01
5.000000000000000000e+00,7.431313721029965125e-01
7.000000000000000000e+00,9.010681563891150825e-01
8.500000000000000000e+00,9.444259552826947957e-01
9.500000000000000000e+00,9.792565375052600940e-01
1.100000000000000000e+01,1.066924314222911674e+00
1.400000000000000000e+01,1.123591266795545662e+00
1.500000000000000000e+01,1.145948066452510128e+00
1.750000000000000000e+01,1.212150808474077746e+00
1.900000000000000000e+01,1.205397953942875189e+00
2.150000000000000000e+01,1.210053846017240309e+00
2.350000000000000000e+01,1.407378795945665839e+00
2.500000000000000000e+01,1.468090835640917247e+00
2.800000000000000000e+01,1.454547783953908047e+00
3.000000000000000000e+01,1.563044416224641742e+00
3.100000000000000000e+01,1.562035165080906784e+00
3.300000000000000000e+01,1.633643091208957676e+00
3.550000000000000000e+01,1.735804858946921048e+00
3.750000000000000000e+01,1.765432995384448978e+00
3.950000000000000000e+01,1.823344338688836164e+00
4.050000000000000000e+01,2.017174510376684715e+00
4.250000000000000000e+01,2.016602748429420000e+00
4.500000000000000000e+01,1.902643399615231656e+00
4.650000000000000000e+01,2.083544591871068441e+00
4.700000000000000000e+01,2.026833083671669478e+00
5.050000000000000000e+01,2.155772374018487092e+00
5.250000000000000000e+01,2.205850905964167108e+00
5.500000000000000000e+01,2.239945046836028908e+00
5.750000000000000000e+01,2.303796432145754913e+00
5.850000000000000000e+01,2.347443897874283536e+00
5.950000000000000000e+01,2.376240649255898507e+00
6.200000000000000000e+01,2.365231520933904985e+00
6.500000000000000000e+01,2.468665143158683684e+00
6.550000000000000000e+01,2.510749643418985766e+00
6.800000000000000000e+01,2.603193694001918690e+00
6.950000000000000000e+01,2.780634532084467647e+00
7.200000000000000000e+01,2.615330044864319081e+00
7.350000000000000000e+01,2.870255023752805279e+00
7.600000000000000000e+01,2.981109999768947194e+00
7.750000000000000000e+01,2.933997416523712154e+00
8.050000000000000000e+01,2.961344528301144585e+00
8.050000000000000000e+01,2.875405758747079155e+00
8.400000000000000000e+01,2.962733027124496932e+00
8.500000000000000000e+01,3.285663085281476992e+00
8.750000000000000000e+01,3.179832906859574315e+00
8.900000000000000000e+01,3.039885241580256636e+00
9.050000000000000000e+01,3.122257536358959307e+00
9.350000000000000000e+01,3.169148421929751436e+00
9.450000000000000000e+01,3.299524509559605523e+00
9.650000000000000000e+01,3.350377549122029563e+00
9.850000000000000000e+01,3.285112418254021449e+00
1.000000000000000000e+02,3.337582898621375804e+00
1.030000000000000000e+02,3.656428800152806247e+00
1.035000000000000000e+02,3.669646891326427074e+00
1.065000000000000000e+02,3.693048334160136115e+00
1.075000000000000000e+02,3.761820636807498452e+00
1.105000000000000000e+02,3.664577519987820331e+00
1.110000000000000000e+02,3.668692731462853907e+00
1.140000000000000000e+02,3.786343293894737450e+00
1.155000000000000000e+02,3.800088013568503342e+00
1.185000000000000000e+02,3.934618827182946976e+00
1.200000000000000000e+02,3.977632722325596504e+00
1.225000000000000000e+02,3.979706705185676707e+00
1.240000000000000000e+02,4.024127690205173025e+00
1.255000000000000000e+02,4.025205721702116435e+00
1.285000000000000000e+02,4.079147414698835128e+00
1.300000000000000000e+02,4.215582306901955789e+00
1.310000000000000000e+02,4.248364345090032579e+00
1.325000000000000000e+02,4.115336875209565370e+00
1.345000000000000000e+02,4.312296368786157075e+00
1.360000000000000000e+02,4.276261487229201741e+00
1.385000000000000000e+02,4.295316893265975544e+00
1.410000000000000000e+02,4.349773209519891104e+00
1.430000000000000000e+02,4.347078188638687557e+00
1.440000000000000000e+02,4.568839610153062836e+00
1.460000000000000000e+02,4.620599134148841713e+00
1.480000000000000000e+02,4.718683567404530876e+00
1.500000000000000000e+02,4.713620385194751350e+00
1.505000000000000000e+02,4.756393933128907570e+00
1.530000000000000000e+02,4.769696959003925762e+00
1.555000000000000000e+02,4.792360041316097607e+00
1.570000000000000000e+02,4.890441151543038600e+00
1.585000000000000000e+02,4.965674395463888224e+00
1.615000000000000000e+02,5.015748340562275587e+00
1.625000000000000000e+02,5.040991419166044984e+00
1.655000000000000000e+02,5.142671827319085232e+00
1.670000000000000000e+02,5.076238377668123469e+00
1.690000000000000000e+02,5.095092146605900929e+00
1.700000000000000000e+02,5.184984754564724518e+00
1.720000000000000000e+02,5.211121360063283525e+00
1.745000000000000000e+02,5.310706136866640392e+00
1.765000000000000000e+02,5.259093504578301825e+00
1.775000000000000000e+02,5.384722195113522680e+00
