signal_DN,var_single_DN2
2.525000000000000000e+02,6.087247827141796961e+02
5.385000000000000000e+02,8.096137368890116477e+02
8.190000000000000000e+02,9.922282637943568488e+02
1.049000000000000000e+03,1.157429228201891874e+03
1.319500000000000000e+03,1.345469062426880782e+03
1.607000000000000000e+03,1.509689807266278876e+03
1.854000000000000000e+03,1.711649370490173851e+03
2.119500000000000000e+03,1.875694485906212094e+03
2.381000000000000000e+03,2.067692656460878425e+03
2.646500000000000000e+03,2.231629752021626246e+03
2.906500000000000000e+03,2.418561010649289074e+03
3.152500000000000000e+03,2.560455342370898052e+03
3.407500000000000000e+03,2.729699092416608892e+03
3.664500000000000000e+03,2.904653374259168686e+03
3.924500000000000000e+03,3.000186907549890748e+03
4.195000000000000000e+03,3.282585070923998956e+03
4.426000000000000000e+03,3.365741500461222131e+03
4.699500000000000000e+03,3.537284561234636385e+03
