signal_DN,var_single_DN2
2.615000000000000000e+02,6.362031877504971362e+02
5.235000000000000000e+02,7.225545463061694136e+02
7.655000000000000000e+02,9.182850450933889306e+02
1.021000000000000000e+03,1.068907278849282420e+03
1.298500000000000000e+03,1.293053110651310590e+03
1.561000000000000000e+03,1.416025778768666896e+03
1.788000000000000000e+03,1.589115820203396197e+03
2.035250000000000000e+03,1.787091025586716341e+03
2.317500000000000000e+03,1.986533712023733870e+03
2.560500000000000000e+03,2.119945241115060526e+03
