signal_DN,var_single_DN2
2.000000000000000000e+00,5.405393220051042391e-01
4.500000000000000000e+00,5.851536347738566235e-01
5.500000000000000000e+00,6.271108650788471683e-01
8.000000000000000000e+00,6.769027146033826936e-01
9.500000000000000000e+00,7.214320646223321143e-01
1.250000000000000000e+01,7.580348122166014058e-01
1.400000000000000000e+01,7.952373532136235434e-01
1.550000000000000000e+01,8.889322317812395902e-01
1.700000000000000000e+01,9.338155490670120296e-01
1.900000000000000000e+01,9.752924317408068200e-01
2.100000000000000000e+01,1.021953365780770229e+00
2.350000000000000000e+01,1.057545069044708352e+00
2.450000000000000000e+01,1.109831634169747616e+00
2.650000000000000000e+01,1.147232449681224953e+00
2.750000000000000000e+01,1.176796761902553445e+00
3.050000000000000000e+01,1.223092915601109221e+00
3.200000000000000000e+01,1.263732530073575777e+00
3.400000000000000000e+01,1.308023650241872060e+00
3.450000000000000000e+01,1.419593512854701034e+00
3.650000000000000000e+01,1.457973210961155175e+00
3.950000000000000000e+01,1.501971695164577181e+00
4.050000000000000000e+01,1.554577112214369672e+00
4.300000000000000000e+01,1.590735027058602702e+00
4.400000000000000000e+01,1.610335544202350144e+00
4.700000000000000000e+01,1.670899451363607291e+00
4.900000000000000000e+01,1.698371044479381586e+00
5.000000000000000000e+01,1.754547844876499507e+00
5.100000000000000000e+01,1.795811719985852095e+00
5.350000000000000000e+01,1.838818130610283319e+00
5.500000000000000000e+01,1.862440420048678824e+00
5.700000000000000000e+01,1.918651027634248996e+00
5.950000000000000000e+01,2.027548655422283463e+00
6.200000000000000000e+01,2.073141539572910919e+00
6.300000000000000000e+01,2.125718317934783386e+00
6.550000000000000000e+01,2.154992835807306495e+00
6.600000000000000000e+01,2.209198850165126959e+00
6.800000000000000000e+01,2.253415212417137159e+00
6.950000000000000000e+01,2.297621614217722819e+00
7.200000000000000000e+01,2.336230227555501582e+00
7.350000000000000000e+01,2.381175566890071593e+00
7.550000000000000000e+01,2.436152975197680703e+00
7.950000000000000000e+01,2.469336260021229190e+00
8.050000000000000000e+01,2.492745144542507951e+00
8.200000000000000000e+01,2.552417636802462475e+00
8.450000000000000000e+01,2.567449816494276504e+00
8.600000000000000000e+01,2.611077900214755054e+00
8.700000000000000000e+01,2.751170745465422840e+00
8.950000000000000000e+01,2.811110624931803859e+00
9.100000000000000000e+01,2.845421282136966656e+00
9.300000000000000000e+01,2.888886333688412744e+00
9.600000000000000000e+01,2.914238975942151200e+00
9.700000000000000000e+01,2.956671188291140062e+00
9.850000000000000000e+01,3.011331899852214278e+00
1.005000000000000000e+02,3.064036389967761398e+00
1.015000000000000000e+02,3.080643301480043839e+00
1.035000000000000000e+02,3.148874907350091235e+00
1.500000000000000000e+00,5.267835771030600078e-01
4.000000000000000000e+00,5.924472458174786516e-01
5.000000000000000000e+00,6.292139138600518766e-01
7.500000000000000000e+00,6.841288097189600625e-01
1.000000000000000000e+01,7.147652091924654449e-01
1.200000000000000000e+01,7.538270790767804819e-01
1.300000000000000000e+01,7.883941558491684987e-01
1.550000000000000000e+01,8.159821781555787190e-01
1.600000000000000000e+01,9.196366385179097769e-01
1.900000000000000000e+01,9.614599873497116089e-01
2.000000000000000000e+01,1.009739994644266003e+00
2.250000000000000000e+01,1.062458862375858626e+00
2.450000000000000000e+01,1.113955420565681198e+00
2.550000000000000000e+01,1.138062194688522322e+00
2.650000000000000000e+01,1.170472259273722004e+00
3.000000000000000000e+01,1.227613919334589854e+00
3.100000000000000000e+01,1.258398165242421873e+00
3.350000000000000000e+01,1.299458794442938325e+00
3.550000000000000000e+01,1.399784220789594746e+00
3.600000000000000000e+01,1.443711511182572904e+00
3.950000000000000000e+01,1.490236173586878099e+00
4.000000000000000000e+01,1.538986834742625875e+00
4.300000000000000000e+01,1.581824750964517801e+00
4.450000000000000000e+01,1.631009979278627675e+00
4.600000000000000000e+01,1.664101407965077772e+00
4.800000000000000000e+01,1.726710491247859247e+00
4.950000000000000000e+01,1.760940943932628899e+00
5.150000000000000000e+01,1.799052345050866641e+00
5.300000000000000000e+01,1.831805918010228629e+00
5.400000000000000000e+01,1.879059384765745966e+00
5.700000000000000000e+01,2.003025073657736410e+00
5.950000000000000000e+01,2.045530751533480185e+00
6.150000000000000000e+01,2.086474789405955654e+00
6.300000000000000000e+01,2.128144676758803922e+00
6.500000000000000000e+01,2.166659181851568583e+00
6.700000000000000000e+01,2.206846450354747358e+00
6.900000000000000000e+01,2.256768280889527745e+00
6.950000000000000000e+01,2.281765961828829514e+00
7.150000000000000000e+01,2.335122945395434524e+00
7.350000000000000000e+01,2.374276451613163808e+00
7.600000000000000000e+01,2.434067685357824029e+00
7.850000000000000000e+01,2.462910504944260559e+00
7.900000000000000000e+01,2.485213347843057807e+00
8.100000000000000000e+01,2.543724680444710451e+00
8.250000000000000000e+01,2.571955261411587035e+00
8.450000000000000000e+01,2.608127360840459374e+00
8.700000000000000000e+01,2.761930402247655181e+00
8.850000000000000000e+01,2.805741820701306288e+00
9.100000000000000000e+01,2.833599494804845520e+00
9.250000000000000000e+01,2.868296264812161045e+00
9.450000000000000000e+01,2.915077744222346556e+00
9.500000000000000000e+01,2.952163419200872774e+00
9.850000000000000000e+01,2.993408080644882396e+00
1.005000000000000000e+02,3.056526434104402945e+00
1.005000000000000000e+02,3.080926545617725054e+00
1.030000000000000000e+02,3.118885986828753065e+00
1.000000000000000000e+00,5.213554174921807283e-01
2.000000000000000000e+00,5.728843939332803892e-01
5.000000000000000000e+00,6.287559354630021247e-01
6.500000000000000000e+00,6.681224653633117683e-01
9.500000000000000000e+00,7.138876198214043622e-01
1.050000000000000000e+01,7.477249507820847851e-01
1.200000000000000000e+01,7.929193209902214434e-01
1.350000000000000000e+01,8.179830975840651774e-01
1.550000000000000000e+01,9.230883378423868635e-01
1.850000000000000000e+01,9.817398678640582022e-01
1.900000000000000000e+01,1.012174971387833411e+00
2.100000000000000000e+01,1.043950596904719363e+00
2.350000000000000000e+01,1.113392612898069345e+00
2.500000000000000000e+01,1.152905188319413021e+00
2.700000000000000000e+01,1.192659019332571457e+00
2.950000000000000000e+01,1.228336730073385841e+00
3.200000000000000000e+01,1.267205223855280893e+00
3.300000000000000000e+01,1.305562124538644175e+00
3.550000000000000000e+01,1.405909773203434021e+00
3.650000000000000000e+01,1.446128295253455320e+00
