signal_DN,var_single_DN2
2.000000000000000000e+00,7.811575040925002877e-01
4.500000000000000000e+00,7.972542321942905907e-01
5.500000000000000000e+00,9.456150232578027781e-01
8.000000000000000000e+00,9.649251408926647899e-01
9.500000000000000000e+00,8.223139468713595024e-01
1.250000000000000000e+01,1.004836894335498831e+00
1.400000000000000000e+01,1.071699638432816126e+00
1.550000000000000000e+01,1.039163532460812611e+00
1.700000000000000000e+01,1.266767859935247209e+00
1.900000000000000000e+01,1.162229997079567756e+00
2.100000000000000000e+01,1.222145397279429835e+00
2.350000000000000000e+01,1.251865080016809406e+00
2.450000000000000000e+01,1.233323268526125727e+00
2.650000000000000000e+01,1.306509457336923363e+00
2.750000000000000000e+01,1.466759374562830232e+00
3.050000000000000000e+01,1.504544454199328030e+00
3.200000000000000000e+01,1.528001084289560607e+00
3.400000000000000000e+01,1.571750460972414443e+00
3.450000000000000000e+01,1.635191067774006912e+00
3.650000000000000000e+01,1.669490412057779372e+00
3.950000000000000000e+01,1.745353027940578894e+00
4.050000000000000000e+01,1.795250472929527330e+00
4.300000000000000000e+01,1.721398427584338142e+00
4.400000000000000000e+01,1.779762030434365538e+00
4.700000000000000000e+01,1.892097990414233655e+00
4.900000000000000000e+01,1.902730131220297993e+00
5.000000000000000000e+01,2.065054698660440557e+00
5.100000000000000000e+01,2.040262908520695806e+00
5.350000000000000000e+01,2.044594794187975850e+00
5.500000000000000000e+01,2.198747895982921197e+00
5.700000000000000000e+01,2.198950673932136723e+00
5.950000000000000000e+01,2.264365717578741055e+00
6.200000000000000000e+01,2.262366712997454954e+00
6.300000000000000000e+01,2.317532974140142699e+00
6.550000000000000000e+01,2.401139805705611696e+00
6.600000000000000000e+01,2.384195070888310397e+00
6.800000000000000000e+01,2.462837992296543987e+00
6.950000000000000000e+01,2.546062518035491440e+00
7.200000000000000000e+01,2.570701201956644422e+00
7.350000000000000000e+01,2.583942941716547814e+00
7.550000000000000000e+01,2.835271948175868584e+00
7.950000000000000000e+01,2.762078267029994816e+00
8.050000000000000000e+01,2.790870046395990567e+00
8.200000000000000000e+01,2.772651725490982155e+00
8.450000000000000000e+01,2.801363591191606606e+00
8.600000000000000000e+01,2.889736321357869286e+00
8.700000000000000000e+01,2.949834970726907368e+00
8.950000000000000000e+01,2.951620860262310408e+00
9.100000000000000000e+01,3.025583199231643761e+00
9.300000000000000000e+01,3.084695836780285916e+00
9.600000000000000000e+01,3.066400404536584912e+00
9.700000000000000000e+01,3.126297189644089869e+00
9.850000000000000000e+01,3.175396272321610702e+00
1.005000000000000000e+02,3.234956855528415165e+00
1.015000000000000000e+02,3.285540747811346751e+00
1.035000000000000000e+02,3.299553179171394568e+00
1.500000000000000000e+00,7.698432114416137173e-01
4.000000000000000000e+00,8.187119176065644766e-01
5.000000000000000000e+00,9.447789765914234028e-01
7.500000000000000000e+00,1.063407842175337015e+00
1.000000000000000000e+01,9.178663567809612900e-01
1.200000000000000000e+01,1.030437857931585155e+00
1.300000000000000000e+01,1.178142277627361345e+00
1.550000000000000000e+01,1.041693122705437347e+00
1.600000000000000000e+01,1.271410210568942434e+00
1.900000000000000000e+01,1.277704735551752124e+00
2.000000000000000000e+01,1.176647180051423325e+00
2.250000000000000000e+01,1.189404233015944445e+00
2.450000000000000000e+01,1.453289072247808456e+00
2.550000000000000000e+01,1.252531339018023937e+00
2.650000000000000000e+01,1.520880202644366186e+00
3.000000000000000000e+01,1.460743604026600195e+00
3.100000000000000000e+01,1.771427086929006522e+00
3.350000000000000000e+01,1.649477255809296938e+00
3.550000000000000000e+01,1.578400309372380628e+00
3.600000000000000000e+01,1.791975434946440959e+00
3.950000000000000000e+01,1.750788693983096778e+00
4.000000000000000000e+01,1.882200419889825449e+00
4.300000000000000000e+01,1.763773862962407568e+00
4.450000000000000000e+01,1.815740803089173072e+00
4.600000000000000000e+01,1.905420867717022793e+00
4.800000000000000000e+01,2.049494495680758366e+00
4.950000000000000000e+01,2.010587156084802540e+00
5.150000000000000000e+01,2.175376086108638862e+00
5.300000000000000000e+01,2.081048291708007092e+00
5.400000000000000000e+01,2.227213894328012866e+00
5.700000000000000000e+01,2.308368319059440843e+00
5.950000000000000000e+01,2.331614738537672871e+00
6.150000000000000000e+01,2.343465638868594159e+00
6.300000000000000000e+01,2.335399915617821787e+00
6.500000000000000000e+01,2.406812305510546146e+00
6.700000000000000000e+01,2.440969040177486615e+00
6.900000000000000000e+01,2.469901353116582765e+00
6.950000000000000000e+01,2.563639109620838408e+00
7.150000000000000000e+01,2.722616506110536516e+00
7.350000000000000000e+01,2.524745050944020353e+00
7.600000000000000000e+01,2.942688098195439750e+00
7.850000000000000000e+01,2.868943168066096394e+00
7.900000000000000000e+01,2.763990195724733478e+00
8.100000000000000000e+01,2.945137584045286250e+00
8.250000000000000000e+01,2.797602433052174931e+00
8.450000000000000000e+01,2.889951373861636252e+00
8.700000000000000000e+01,3.118173291689713356e+00
8.850000000000000000e+01,3.026880399106953501e+00
9.100000000000000000e+01,3.105232920597649660e+00
9.250000000000000000e+01,3.260190811858624471e+00
9.450000000000000000e+01,3.052591236514334394e+00
9.500000000000000000e+01,3.217352542336490373e+00
9.850000000000000000e+01,3.128168790142336952e+00
1.005000000000000000e+02,3.233017099130304217e+00
1.005000000000000000e+02,3.345139941114723570e+00
1.030000000000000000e+02,3.393549163957774173e+00
1.000000000000000000e+00,8.137726487563700095e-01
2.000000000000000000e+00,9.263611459146349203e-01
5.000000000000000000e+00,1.006072816662803904e+00
6.500000000000000000e+00,9.712888295546944217e-01
9.500000000000000000e+00,9.925028272984809385e-01
1.050000000000000000e+01,1.032094198875907587e+00
1.200000000000000000e+01,1.208616831282486093e+00
1.350000000000000000e+01,1.078557792978651175e+00
1.550000000000000000e+01,1.169695999250584872e+00
1.850000000000000000e+01,1.430077865621369293e+00
1.900000000000000000e+01,1.217726603276818809e+00
2.100000000000000000e+01,1.437070137436252226e+00
2.350000000000000000e+01,1.574370044653013112e+00
2.500000000000000000e+01,1.403032378651569045e+00
2.700000000000000000e+01,1.781066728339806948e+00
2.950000000000000000e+01,1.566832394759378744e+00
3.200000000000000000e+01,1.723083056413907910e+00
3.300000000000000000e+01,1.701735306595149710e+00
3.550000000000000000e+01,1.694303561576327111e+00
3.650000000000000000e+01,1.801376682150525266e+00
3.850000000000000000e+01,1.810507028304239263e+00
3.950000000000000000e+01,2.023793795068212997e+00
4.200000000000000000e+01,2.013966918747110313e+00
4.450000000000000000e+01,1.861700764561955213e+00
4.600000000000000000e+01,2.007703386738662221e+00
4.850000000000000000e+01,2.004883867009032983e+00
4.900000000000000000e+01,2.299905751825070510e+00
5.150000000000000000e+01,2.441959286391929052e+00
5.300000000000000000e+01,2.250939170743043505e+00
5.500000000000000000e+01,2.278546194941308833e+00
5.700000000000000000e+01,2.556820924172218401e+00
5.950000000000000000e+01,2.277808400131915434e+00
6.050000000000000000e+01,2.289677825021172897e+00
6.300000000000000000e+01,2.488091265902879545e+00
6.400000000000000000e+01,2.391579630746826002e+00
6.750000000000000000e+01,2.757712955846781444e+00
7.000000000000000000e+01,3.087322307890006279e+00
7.050000000000000000e+01,2.866548462577251044e+00
7.200000000000000000e+01,3.040484959278380916e+00
7.350000000000000000e+01,2.547666569811144033e+00
7.650000000000000000e+01,2.952977286048159122e+00
7.750000000000000000e+01,3.014980123205007967e+00
7.950000000000000000e+01,2.825161024415154376e+00
8.150000000000000000e+01,3.429478816005809616e+00
8.250000000000000000e+01,3.255625023900789117e+00
8.450000000000000000e+01,3.154532830983443503e+00
8.650000000000000000e+01,3.236718206032660028e+00
8.750000000000000000e+01,3.202509945830818161e+00
9.000000000000000000e+01,3.376304105273466583e+00
9.250000000000000000e+01,3.418424615728534288e+00
9.350000000000000000e+01,3.123488021173981721e+00
9.450000000000000000e+01,3.436935029118663554e+00
9.750000000000000000e+01,3.355289776800404411e+00
1.000000000000000000e+02,3.377589650987284475e+00
1.015000000000000000e+02,3.332349826078589761e+00
1.030000000000000000e+02,3.352787262954449066e+00
2.000000000000000000e+00,7.414394271024520311e-01
1.500000000000000000e+00,8.999384513153679821e-01
5.000000000000000000e+00,1.097336071371767474e+00
6.500000000000000000e+00,1.037143255667652753e+00
8.000000000000000000e+00,9.565335690611359576e-01
9.500000000000000000e+00,1.094422949512351195e+00
1.200000000000000000e+01,1.125756804668261113e+00
1.300000000000000000e+01,1.208029661117469677e+00
1.600000000000000000e+01,1.184597888743492700e+00
1.800000000000000000e+01,1.303072673938349801e+00
1.900000000000000000e+01,1.288534501689394318e+00
2.050000000000000000e+01,1.393236272733983094e+00
2.300000000000000000e+01,1.702564685193766358e+00
2.600000000000000000e+01,1.401662424005148511e+00
2.700000000000000000e+01,1.655456817932447589e+00
2.950000000000000000e+01,1.502793081075546544e+00
3.150000000000000000e+01,1.585705588600400562e+00
3.300000000000000000e+01,1.848230679509986984e+00
3.450000000000000000e+01,1.692667578581530163e+00
3.700000000000000000e+01,2.003822321700012399e+00
3.850000000000000000e+01,1.723550534846869597e+00
4.100000000000000000e+01,1.854205105390293706e+00
4.200000000000000000e+01,2.158675429853765149e+00
4.450000000000000000e+01,1.897774375533624935e+00
4.600000000000000000e+01,2.146427701731868698e+00
4.850000000000000000e+01,1.923612056334188969e+00
4.950000000000000000e+01,1.910491828130743031e+00
5.100000000000000000e+01,2.122754464930864948e+00
5.350000000000000000e+01,2.304308535340187980e+00
5.550000000000000000e+01,2.219937053079250155e+00
5.700000000000000000e+01,2.405145727687099555e+00
5.850000000000000000e+01,2.373905172550040632e+00
6.050000000000000000e+01,2.333766553377486286e+00
6.250000000000000000e+01,2.561491231831449333e+00
6.400000000000000000e+01,2.365821319182429772e+00
6.650000000000000000e+01,2.553401209411132466e+00
6.900000000000000000e+01,3.145187944409653991e+00
7.100000000000000000e+01,2.744191010922364171e+00
7.200000000000000000e+01,3.015623790250492764e+00
7.350000000000000000e+01,2.847580559452149274e+00
7.600000000000000000e+01,2.998077071353887124e+00
7.650000000000000000e+01,2.906493161474976272e+00
8.050000000000000000e+01,2.891474677256026915e+00
8.100000000000000000e+01,3.272617618055722932e+00
8.350000000000000000e+01,3.290724245284342597e+00
8.450000000000000000e+01,3.069710963390340108e+00
8.600000000000000000e+01,3.585408247870133014e+00
8.800000000000000000e+01,3.322887755739183380e+00
9.050000000000000000e+01,3.251789593463564554e+00
9.250000000000000000e+01,3.236776160584069917e+00
9.400000000000000000e+01,3.157908784169423999e+00
9.500000000000000000e+01,3.614216248621611616e+00
9.800000000000000000e+01,3.412668862631947686e+00
1.005000000000000000e+02,3.297444828483372614e+00
1.020000000000000000e+02,3.405341659447562286e+00
1.040000000000000000e+02,3.592420112257515452e+00
3.000000000000000000e+00,7.966013374162892458e-01
3.500000000000000000e+00,9.963900260789824159e-01
3.500000000000000000e+00,1.049658015201820005e+00
7.000000000000000000e+00,9.156813763535234241e-01
8.000000000000000000e+00,9.599170379764646599e-01
9.500000000000000000e+00,1.138051943241468633e+00
1.250000000000000000e+01,1.070826385137290782e+00
1.450000000000000000e+01,1.202778930701181581e+00
1.650000000000000000e+01,1.290323479396692674e+00
1.850000000000000000e+01,1.159722043317102269e+00
2.000000000000000000e+01,1.278212348915038099e+00
2.150000000000000000e+01,1.402702238815898950e+00
2.350000000000000000e+01,1.456152035404823186e+00
2.650000000000000000e+01,1.413952753706815280e+00
2.800000000000000000e+01,1.543357690123970949e+00
2.950000000000000000e+01,1.542516014019540638e+00
3.150000000000000000e+01,1.582914816995607321e+00
3.350000000000000000e+01,1.534252366323617167e+00
3.450000000000000000e+01,1.725274563566132624e+00
3.750000000000000000e+01,1.709230550897421264e+00
3.900000000000000000e+01,1.833844402650595118e+00
4.100000000000000000e+01,1.919979536913770435e+00
4.250000000000000000e+01,1.784037851793144336e+00
4.450000000000000000e+01,2.002083547276403142e+00
4.600000000000000000e+01,1.827407828945733392e+00
4.800000000000000000e+01,2.011999845208824134e+00
5.000000000000000000e+01,2.139009456345933646e+00
5.150000000000000000e+01,2.149603733862418320e+00
5.350000000000000000e+01,2.248040748826546587e+00
