signal_DN,var_single_DN2
5.350000000000000000e+01,2.806353073519757046e+00
1.070000000000000000e+02,3.846399400730872831e+00
1.615000000000000000e+02,5.843662816599572984e+00
2.135000000000000000e+02,6.806680212891556891e+00
2.660000000000000000e+02,7.664506225167179387e+00
3.185000000000000000e+02,9.200759846429757971e+00
3.705000000000000000e+02,9.920345633309842981e+00
4.235000000000000000e+02,1.124565381637493466e+01
4.750000000000000000e+02,1.200251682122056529e+01
5.260000000000000000e+02,1.325479777056601272e+01
5.760000000000000000e+02,1.456578452498205856e+01
6.290000000000000000e+02,1.575435497100192350e+01
6.805000000000000000e+02,1.680617147156690550e+01
7.300000000000000000e+02,1.746319654462038784e+01
7.810000000000000000e+02,1.873505879993102852e+01
8.310000000000000000e+02,1.960590099026090982e+01
8.810000000000000000e+02,2.057012625650905946e+01
9.295000000000000000e+02,2.153296548093151586e+01
9.810000000000000000e+02,2.258661186573819890e+01
1.028500000000000000e+03,2.315952334655559852e+01
1.077500000000000000e+03,2.389152598100779912e+01
1.127000000000000000e+03,2.481178107273193234e+01
1.175500000000000000e+03,2.608944618928560999e+01
1.224000000000000000e+03,2.632142170406212500e+01
1.272000000000000000e+03,2.717534858609999660e+01
1.320500000000000000e+03,2.777811142558631730e+01
1.369000000000000000e+03,2.838242933231303411e+01
