signal_DN,var_single_DN2
1.453073120117187500e+01,1.077058502326279310e+00
2.940760803222656250e+01,1.530728099630238370e+00
4.471354675292968750e+01,1.924589582506448293e+00
5.925926208496093750e+01,2.261718589380773636e+00
7.373625183105468750e+01,2.664170234322116748e+00
8.992987060546875000e+01,2.996161426497534030e+00
1.043790168762207031e+02,3.359553502164097427e+00
1.191218872070312500e+02,3.774272826299833294e+00
1.335707550048828125e+02,4.071258994896065353e+00
1.490208587646484375e+02,4.485138949419922305e+00
1.635613174438476562e+02,4.861226485140256237e+00
1.788726272583007812e+02,5.147050817860327143e+00
1.928259124755859375e+02,5.543708139581827510e+00
2.079820899963378906e+02,5.858231276743538274e+00
2.222300415039062500e+02,6.274004389156930372e+00
2.372489929199218750e+02,6.673224720249082864e+00
2.520895996093750000e+02,6.973881435035014675e+00
2.667720031738281250e+02,7.280913206802230420e+00
2.816366348266601562e+02,7.667233418684744173e+00
2.960990905761718750e+02,7.988256915592998553e+00
3.108082580566406250e+02,8.364196608649038467e+00
3.254498291015625000e+02,8.550757872013306837e+00
3.395224456787109375e+02,9.115765296853947319e+00
3.543071441650390625e+02,9.243983324107684751e+00
3.687448730468750000e+02,9.783684021798759289e+00
3.832998199462890625e+02,9.983012541050346300e+00
3.977295722961425781e+02,1.048955338616285538e+01
4.124529762268066406e+02,1.067946157408612962e+01
4.269805450439453125e+02,1.111044192806021869e+01
4.417224578857421875e+02,1.137033127671373833e+01
4.558874511718750000e+02,1.190092920427257184e+01
4.705971984863281250e+02,1.217002727017175800e+01
4.848148956298828125e+02,1.242098267058288741e+01
4.997186889648437500e+02,1.294731653491498413e+01
5.140526885986328125e+02,1.298507695221546321e+01
5.285620040893554688e+02,1.342723872708668686e+01
5.427633819580078125e+02,1.368831329459592538e+01
5.573773269653320312e+02,1.395136016674140400e+01
5.710760269165039062e+02,1.431254721799164287e+01
5.853533935546875000e+02,1.449703600421501726e+01
5.997484207153320312e+02,1.510706061079400975e+01
6.146006011962890625e+02,1.505914245972252807e+01
6.281040115356445312e+02,1.553443079737236054e+01
6.433450660705566406e+02,1.612969548275711418e+01
6.570171661376953125e+02,1.607282805140489401e+01
6.718572845458984375e+02,1.637127723635438414e+01
6.863429412841796875e+02,1.655045452554739427e+01
6.999830932617187500e+02,1.709470133780479983e+01
7.143881530761718750e+02,1.714172864782764805e+01
7.283880920410156250e+02,1.732098961887572841e+01
1.451029968261718750e+01,1.163021580811295586e+00
3.013429260253906250e+01,1.535955971497581007e+00
4.490686798095703125e+01,1.819787882353839148e+00
5.980392456054687500e+01,2.227372895476193992e+00
7.470439147949218750e+01,2.578361896429978373e+00
8.975932312011718750e+01,2.993289542777270995e+00
1.046558723449707031e+02,3.366718756636819965e+00
1.194893188476562500e+02,3.791624115215179280e+00
1.339164428710937500e+02,4.069288217130773155e+00
1.492066345214843750e+02,4.552171849662991931e+00
1.640220947265625000e+02,4.889982422986475896e+00
1.787601547241210938e+02,5.195783352258969146e+00
1.926945037841796875e+02,5.749687990692020634e+00
2.077585830688476562e+02,6.122967686113291563e+00
2.223927612304687500e+02,6.409729499871608560e+00
2.373716888427734375e+02,6.878166595168409891e+00
2.521873474121093750e+02,7.279473977436976107e+00
2.668616714477539062e+02,7.709751464638128660e+00
2.821250915527343750e+02,7.785078556635887104e+00
2.961073837280273438e+02,8.224665038637162695e+00
3.110103454589843750e+02,8.716137730113311832e+00
3.254545898437500000e+02,8.784069030522314137e+00
3.401990509033203125e+02,9.536749796295831416e+00
3.545550842285156250e+02,9.898601059274266589e+00
3.688451538085937500e+02,1.029524883460902984e+01
3.834833374023437500e+02,1.062558671656350739e+01
3.984891471862792969e+02,1.093190779012023839e+01
4.131477813720703125e+02,1.140618541159493660e+01
4.274231262207031250e+02,1.184856440831456581e+01
4.419406890869140625e+02,1.221341681321233885e+01
4.564921493530273438e+02,1.275359012795155422e+01
4.708833923339843750e+02,1.323775567501794015e+01
4.853958740234375000e+02,1.387476114875173572e+01
5.003445129394531250e+02,1.448398538701308169e+01
5.141417083740234375e+02,1.453958879981173169e+01
5.289444351196289062e+02,1.463631480612829527e+01
5.431343688964843750e+02,1.494825724085338514e+01
5.578070297241210938e+02,1.459941997634759225e+01
5.715414047241210938e+02,1.493625240508018592e+01
5.860398864746093750e+02,1.496281306388849863e+01
6.001853332519531250e+02,1.607839914384731372e+01
6.148164062500000000e+02,1.615133587193831843e+01
6.292457351684570312e+02,1.659693586411261990e+01
6.439673690795898438e+02,1.640565054190074790e+01
6.575782165527343750e+02,1.674442005554525181e+01
6.723564605712890625e+02,1.710339186851987847e+01
6.861396484375000000e+02,1.783065070560739684e+01
7.008425292968750000e+02,1.774191483512800716e+01
7.150105895996093750e+02,1.799934218883350567e+01
7.290535278320312500e+02,1.818259022185524287e+01
1.460937500000000000e+01,1.265657319345199650e+00
3.024272155761718750e+01,1.574946140185939036e+00
4.433556365966796875e+01,1.899853912632348374e+00
6.010551452636718750e+01,2.282146729756547199e+00
7.502821350097656250e+01,2.600135352623720753e+00
8.913739013671875000e+01,3.077061273843175737e+00
1.041634063720703125e+02,3.539649797571370549e+00
1.192767791748046875e+02,4.126797852926541665e+00
1.340945129394531250e+02,4.485500160535313086e+00
1.485468902587890625e+02,4.648056283683328793e+00
1.640618896484375000e+02,4.927028849306025471e+00
1.786276359558105469e+02,5.958907366982594489e+00
1.928193511962890625e+02,5.883412469504485820e+00
2.077943267822265625e+02,6.183381621494884683e+00
2.222767181396484375e+02,6.588749079602145287e+00
2.371935729980468750e+02,7.275524819712992475e+00
2.519860076904296875e+02,7.344126948154740653e+00
2.668879699707031250e+02,7.759269511224998972e+00
