signal_DN,var_single_DN2
3.304306640625000000e+03,2.729036087152191612e+03
6.572333984375000000e+03,4.930988862064126806e+03
9.773429687500000000e+03,6.930953879768846491e+03
1.297505615234375000e+04,8.781892636805576331e+03
3.299026123046875000e+03,2.725955418541835570e+03
6.575953125000000000e+03,4.807222475781998583e+03
9.778947753906250000e+03,6.764041379685381798e+03
1.298715307617187500e+04,8.497879141155466641e+03
3.290177978515625000e+03,2.731357244580706265e+03
6.551141113281250000e+03,4.818591956056833624e+03
9.754813476562500000e+03,6.761909878748544543e+03
1.296972729492187500e+04,8.433341567620233036e+03
3.297688964843750000e+03,2.721984746234805243e+03
6.541716796875000000e+03,4.880661260792033318e+03
9.754231933593750000e+03,6.807643193141248958e+03
1.296740478515625000e+04,8.495208510245365687e+03
3.296183349609375000e+03,2.708370399382289179e+03
6.555976074218750000e+03,4.845597665854181287e+03
9.764157714843750000e+03,6.804256470904627349e+03
1.296696826171875000e+04,8.405494328185468476e+03
3.292557128906250000e+03,2.705990401966977515e+03
6.557362060546875000e+03,4.836319276064720725e+03
9.756655761718750000e+03,6.857511337705347614e+03
1.294867333984375000e+04,8.473749747027801277e+03
3.296613769531250000e+03,2.681881583204768503e+03
6.553651611328125000e+03,4.916518637854454028e+03
9.764645996093750000e+03,6.918183750477663125e+03
1.295270507812500000e+04,8.578629354503314971e+03
3.297480468750000000e+03,2.687263986551543439e+03
6.563016113281250000e+03,4.938667738774634017e+03
9.775727050781250000e+03,6.810540695485858123e+03
1.296295263671875000e+04,8.611109655919710349e+03
3.297551757812500000e+03,2.820393582567636713e+03
6.556274414062500000e+03,4.893950759793536236e+03
9.767101318359375000e+03,6.824391538061750907e+03
1.295010766601562500e+04,8.554342961550484688e+03
