signal_DN,var_single_DN2
1.916023559570312500e+02,4.961018767099703837e+02
3.799801635742187500e+02,6.358500027810994197e+02
5.802067260742187500e+02,7.612219224085143878e+02
7.697888183593750000e+02,9.228856424109731051e+02
9.725768432617187500e+02,1.039413618670874712e+03
1.157078369140625000e+03,1.172004934589988579e+03
1.355258911132812500e+03,1.320302297446220791e+03
1.550848022460937500e+03,1.439219174146645400e+03
1.728788574218750000e+03,1.528477810068162398e+03
1.929565063476562500e+03,1.684339339461601867e+03
2.044503173828125000e+02,5.028149531763720574e+02
3.984470825195312500e+02,6.470204692199806686e+02
5.794996948242187500e+02,7.723544424301738900e+02
7.824003906250000000e+02,9.538464469240265089e+02
9.642118530273437500e+02,1.041761033394587230e+03
1.152400390625000000e+03,1.175740822676432572e+03
1.347571533203125000e+03,1.299193960639259103e+03
1.547329711914062500e+03,1.457003655410708006e+03
1.720958984375000000e+03,1.532768181585660614e+03
1.915129760742187500e+03,1.664517926129193484e+03
1.932883300781250000e+02,5.641141927154093310e+02
3.907707519531250000e+02,6.500237772072650841e+02
5.702867431640625000e+02,7.976784167612883039e+02
7.811103515625000000e+02,9.713217503095677330e+02
9.584094238281250000e+02,1.115447389588043961e+03
1.154403320312500000e+03,1.195048373704855749e+03
1.329568359375000000e+03,1.286655087529615230e+03
1.524202636718750000e+03,1.423171636425327506e+03
1.719471923828125000e+03,1.617781434754153906e+03
1.908195800781250000e+03,1.696874869928471298e+03
1.781523742675781250e+02,5.118185416298517794e+02
3.778461914062500000e+02,6.450120490820233954e+02
5.693748779296875000e+02,7.821796092493627839e+02
7.672290039062500000e+02,9.210199181848795433e+02
9.541477050781250000e+02,1.137955829200177959e+03
1.141617919921875000e+03,1.197664981309928862e+03
1.328030517578125000e+03,1.311891161947000910e+03
1.509908447265625000e+03,1.441572122761888977e+03
1.715845031738281250e+03,1.582514629251611723e+03
1.907467956542968750e+03,1.703375486715312718e+03
1.737998352050781250e+02,5.412045691983473716e+02
3.819327392578125000e+02,6.462213105008427192e+02
5.716228027343750000e+02,7.970283710990860300e+02
7.582199707031250000e+02,9.180409356410200417e+02
9.445521125793457031e+02,1.056621058317500456e+03
1.128854858398437500e+03,1.176873106207452338e+03
1.338570922851562500e+03,1.288696760384201070e+03
1.504405273437500000e+03,1.408317792649113699e+03
1.697075012207031250e+03,1.561665917743934415e+03
1.900048461914062500e+03,1.696809431115682173e+03
1.879141540527343750e+02,5.205824524309766730e+02
3.806866455078125000e+02,6.586494762037760893e+02
5.597309875488281250e+02,7.961374389814659480e+02
7.503837890625000000e+02,9.221629313517303217e+02
9.446895637512207031e+02,1.087186878343093213e+03
1.141344848632812500e+03,1.183015092563812459e+03
1.332187377929687500e+03,1.314556101901470356e+03
1.509638427734375000e+03,1.452175446889957129e+03
1.694475036621093750e+03,1.566550702349225958e+03
1.902001403808593750e+03,1.697407399908209982e+03
1.792207946777343750e+02,5.504636106440176491e+02
3.618454589843750000e+02,6.616217859389930709e+02
5.437261047363281250e+02,7.681059698637214979e+02
7.459216308593750000e+02,9.807153621515855093e+02
9.356225280761718750e+02,1.057380804290085280e+03
1.128356140136718750e+03,1.141629361411065929e+03
1.318734375000000000e+03,1.302473543413240122e+03
1.512945434570312500e+03,1.450401930645243056e+03
1.698838562011718750e+03,1.517479992875387325e+03
1.889434814453125000e+03,1.646405527360414453e+03
1.757094726562500000e+02,5.329457256613960681e+02
3.673039550781250000e+02,6.820042751663744411e+02
5.572495117187500000e+02,7.648931656414059717e+02
7.443710937500000000e+02,9.060095823635600709e+02
9.381270446777343750e+02,1.024639812316683447e+03
1.132143432617187500e+03,1.147110830170763620e+03
1.309806152343750000e+03,1.290290354203198376e+03
1.510861877441406250e+03,1.399858112595347620e+03
1.697947631835937500e+03,1.524906162204337534e+03
1.880211303710937500e+03,1.662236018347061872e+03
1.990961914062500000e+02,5.260428504667343077e+02
3.875512695312500000e+02,6.378438702073830200e+02
5.649730529785156250e+02,7.571680625054594884e+02
7.485966796875000000e+02,8.996812860845760724e+02
9.419844970703125000e+02,1.012727623414506866e+03
1.140121520996093750e+03,1.162300322625369745e+03
1.312676757812500000e+03,1.294341252461083513e+03
1.507810485839843750e+03,1.382058840281024686e+03
1.699650024414062500e+03,1.522118599794868487e+03
1.890450561523437500e+03,1.653055405908617786e+03
