signal_DN,var_single_DN2
3.500000000000000000e+01,1.605157755640884032e+00
6.900000000000000000e+01,2.414896551579090112e+00
1.035000000000000000e+02,3.269703731725086548e+00
1.370000000000000000e+02,4.087208848596231903e+00
1.695000000000000000e+02,5.042947936582847568e+00
2.035000000000000000e+02,5.973857825062544258e+00
2.355000000000000000e+02,6.900404440616862090e+00
2.685000000000000000e+02,7.722459515968796318e+00
2.995000000000000000e+02,8.647088032343690500e+00
3.315000000000000000e+02,9.626952874028699370e+00
3.625000000000000000e+02,1.042302077055414600e+01
3.945000000000000000e+02,1.143520429096693292e+01
4.250000000000000000e+02,1.224894913944337205e+01
4.570000000000000000e+02,1.323308690968933732e+01
4.855000000000000000e+02,1.428841421539573986e+01
5.150000000000000000e+02,1.509726624619188229e+01
5.460000000000000000e+02,1.613817255348247315e+01
5.730000000000000000e+02,1.700116807780371886e+01
6.035000000000000000e+02,1.766716339280167247e+01
6.330000000000000000e+02,1.863755936814079917e+01
6.610000000000000000e+02,1.951277662068079977e+01
6.890000000000000000e+02,2.050175379433787981e+01
7.175000000000000000e+02,2.118876397917154719e+01
7.455000000000000000e+02,2.168409004753080893e+01
7.750000000000000000e+02,2.249363372475477263e+01
8.020000000000000000e+02,2.273638781435666445e+01
8.310000000000000000e+02,2.298590195920431967e+01
8.580000000000000000e+02,2.298119194907542351e+01
8.860000000000000000e+02,2.294443983044277502e+01
9.145000000000000000e+02,2.273964022426081755e+01
9.425000000000000000e+02,2.248975078394623139e+01
9.710000000000000000e+02,2.176579153975570691e+01
1.000000000000000000e+03,2.152871156083915238e+01
1.028500000000000000e+03,2.130906001097820024e+01
1.058000000000000000e+03,2.103586045022584372e+01
1.086500000000000000e+03,2.099619678011486457e+01
1.117500000000000000e+03,2.107759945262941059e+01
1.147500000000000000e+03,2.103972605045298039e+01
1.177000000000000000e+03,2.124119556699693590e+01
1.206500000000000000e+03,2.154060428911141045e+01
1.239000000000000000e+03,2.189095034180370902e+01
1.269500000000000000e+03,2.251926555848899270e+01
1.300500000000000000e+03,2.301058485477891224e+01
1.332500000000000000e+03,2.357057778073635745e+01
1.362500000000000000e+03,2.412581073714777702e+01
1.394500000000000000e+03,2.515632115551489889e+01
1.427500000000000000e+03,2.572881433099700743e+01
1.459500000000000000e+03,2.638235054291736148e+01
1.492000000000000000e+03,2.740042966816061920e+01
1.524000000000000000e+03,2.810903012725116668e+01
1.557500000000000000e+03,2.857116367138356239e+01
1.588500000000000000e+03,2.904258489432027091e+01
1.622000000000000000e+03,2.959957581136275095e+01
1.653250000000000000e+03,2.964319223498621270e+01
1.685500000000000000e+03,2.965659591177118415e+01
1.716500000000000000e+03,2.944410694103647685e+01
1.747500000000000000e+03,2.887596008518088908e+01
1.778500000000000000e+03,2.856944360130384908e+01
1.809500000000000000e+03,2.854922278502952793e+01
1.839500000000000000e+03,2.850119352640618686e+01
1.870500000000000000e+03,2.840750152509484749e+01
1.899000000000000000e+03,2.847106073790773451e+01
1.928000000000000000e+03,2.834681706067480533e+01
1.957000000000000000e+03,2.851072843382551625e+01
1.985500000000000000e+03,2.848892134341180693e+01
2.013000000000000000e+03,2.861435321740580662e+01
2.040500000000000000e+03,2.857837126589947729e+01
2.068250000000000000e+03,2.867691925928833285e+01
2.095500000000000000e+03,2.877583158708999633e+01
2.123500000000000000e+03,2.886696502790119467e+01
2.150000000000000000e+03,2.888915235351808519e+01
2.176000000000000000e+03,2.883544173784625286e+01
2.202000000000000000e+03,2.894483825174891933e+01
2.228500000000000000e+03,2.896814870648461593e+01
2.254000000000000000e+03,2.943668469120401454e+01
2.279500000000000000e+03,2.899091111976601454e+01
2.304000000000000000e+03,2.945273398269179310e+01
2.329500000000000000e+03,2.899037332516893528e+01
2.354000000000000000e+03,2.941587087494258057e+01
2.377500000000000000e+03,2.893632330505027994e+01
2.401500000000000000e+03,2.896049796173572233e+01
2.427000000000000000e+03,2.881368663317307011e+01
2.448500000000000000e+03,2.869956465294672654e+01
2.474000000000000000e+03,2.864271843107237814e+01
2.496500000000000000e+03,2.857369608569943509e+01
2.520500000000000000e+03,2.841312251595947558e+01
2.542500000000000000e+03,2.820664431440146913e+01
2.565500000000000000e+03,2.806825392329815827e+01
2.586500000000000000e+03,2.802022398096125855e+01
2.609250000000000000e+03,2.787756199938964485e+01
2.631500000000000000e+03,2.775342057593145739e+01
2.653000000000000000e+03,2.760563086517447218e+01
2.674500000000000000e+03,2.744163901021248719e+01
2.697000000000000000e+03,2.713129688895835301e+01
2.718000000000000000e+03,2.650791596725165533e+01
2.739000000000000000e+03,2.624393040769093943e+01
2.760500000000000000e+03,2.604204887889835973e+01
2.781500000000000000e+03,2.568788922686616871e+01
2.803500000000000000e+03,2.533970992401819800e+01
2.825000000000000000e+03,2.495102259910996878e+01
2.847000000000000000e+03,2.453719176660156620e+01
2.869500000000000000e+03,2.361266160980197881e+01
2.891000000000000000e+03,2.317447234999395178e+01
2.912500000000000000e+03,2.268049819995756522e+01
2.935000000000000000e+03,2.181807414744744378e+01
2.957500000000000000e+03,2.123153456241199777e+01
2.978000000000000000e+03,2.075032610279132683e+01
3.001000000000000000e+03,2.014638034496586627e+01
3.023000000000000000e+03,1.943605910192875186e+01
3.045000000000000000e+03,1.890482323373973372e+01
3.066500000000000000e+03,1.849086062244672490e+01
3.088500000000000000e+03,1.801669075726390545e+01
3.110000000000000000e+03,1.726287042454491427e+01
3.132500000000000000e+03,1.689318039806155980e+01
3.153500000000000000e+03,1.667851657128993281e+01
3.173500000000000000e+03,1.645791544874120760e+01
3.193250000000000000e+03,1.614800830110885244e+01
3.213500000000000000e+03,1.549886473666383679e+01
3.234000000000000000e+03,1.541713009526982603e+01
