n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
1.980700000000000000e+04,1.980800000000000000e+04,4.232232600075474238e+01,5.298572364205205165e-01,7.431840105920493045e+01,9.890000000000000000e+02,2.870000000000000000e+02
1.980800000000000000e+04,1.980900000000000000e+04,4.248716101824626890e+01,8.279120323420388061e-01,7.811802084218921038e+01,9.870000000000000000e+02,2.870000000000000000e+02
1.980900000000000000e+04,1.981000000000000000e+04,4.158927667316223875e+01,8.218009521561238095e-01,7.781300546359770465e+01,9.865000000000000000e+02,2.870000000000000000e+02
1.981000000000000000e+04,1.981100000000000000e+04,4.243937701000546525e+01,3.348451325297213677e-01,6.113146816392548999e+01,9.860000000000000000e+02,2.870000000000000000e+02
1.981100000000000000e+04,1.981200000000000000e+04,4.241945340432494049e+01,3.885707372839797280e-01,6.429213645581926073e+01,9.860000000000000000e+02,2.870000000000000000e+02
1.981200000000000000e+04,1.981300000000000000e+04,4.289666759948723040e+01,4.576228924600507231e-01,6.991245445703856376e+01,9.880000000000000000e+02,2.870000000000000000e+02
1.981300000000000000e+04,1.981400000000000000e+04,4.279682730239225918e+01,6.397535717016473722e-01,7.770592386469742507e+01,9.865000000000000000e+02,2.870000000000000000e+02
1.981400000000000000e+04,1.981500000000000000e+04,4.265712121134980350e+01,3.005480730064167827e-01,5.893252719649861149e+01,9.810000000000000000e+02,2.870000000000000000e+02
1.981500000000000000e+04,1.981600000000000000e+04,4.309113632373588132e+01,6.755925331578707116e-01,7.350573794352258972e+01,9.795000000000000000e+02,2.870000000000000000e+02
1.981600000000000000e+04,1.981700000000000000e+04,4.262671314291983293e+01,5.511275894120603036e-01,6.830314316933264251e+01,9.820000000000000000e+02,2.870000000000000000e+02
