signal_DN,var_single_DN2
4.485000000000000000e+02,9.169034527333291180e+02
8.720000000000000000e+02,1.507866445811355334e+03
1.305500000000000000e+03,1.899911281702632550e+03
1.771500000000000000e+03,1.807621959210326168e+03
2.236000000000000000e+03,2.469955026103009914e+03
2.642000000000000000e+03,2.975559211184105607e+03
3.088500000000000000e+03,2.980435757994883716e+03
3.540000000000000000e+03,3.193614784876631347e+03
3.993500000000000000e+03,3.596155377459207557e+03
4.434000000000000000e+03,3.955356206133251362e+03
4.840500000000000000e+03,4.149732634120126022e+03
5.262500000000000000e+03,4.747538901617503143e+03
5.702500000000000000e+03,4.773495654521861979e+03
6.141500000000000000e+03,5.123151675612436520e+03
6.576500000000000000e+03,5.592165308477596227e+03
6.996500000000000000e+03,5.746712516530198627e+03
7.431000000000000000e+03,6.052059129190563908e+03
7.842500000000000000e+03,6.553845575837366596e+03
8.284500000000000000e+03,6.811840469729538199e+03
8.700000000000000000e+03,6.809246960062348080e+03
9.144000000000000000e+03,7.153611034852757257e+03
9.548500000000000000e+03,7.508451203277851164e+03
1.000750000000000000e+04,7.667683269522215596e+03
1.044550000000000000e+04,8.193602783326183271e+03
1.083700000000000000e+04,8.184935299787568511e+03
1.129450000000000000e+04,8.581584867625766492e+03
1.171550000000000000e+04,8.686731541978946552e+03
1.211050000000000000e+04,9.031829051848786548e+03
1.251350000000000000e+04,9.293930300496236669e+03
1.297400000000000000e+04,9.449933062031703230e+03
1.337350000000000000e+04,9.678705946556945491e+03
1.381700000000000000e+04,1.032945140583446664e+04
1.423750000000000000e+04,1.009238372394094040e+04
1.464300000000000000e+04,1.062582009536626356e+04
1.508000000000000000e+04,1.076154455420961494e+04
1.549800000000000000e+04,1.095771852672128080e+04
1.591650000000000000e+04,1.127038803925529464e+04
1.633000000000000000e+04,1.157880116778014417e+04
1.677250000000000000e+04,1.211649232565224520e+04
1.719000000000000000e+04,1.172973886752715771e+04
1.761250000000000000e+04,1.239305051685363105e+04
1.803900000000000000e+04,1.214456747562897908e+04
1.843750000000000000e+04,1.244187041024887367e+04
1.883200000000000000e+04,1.260568173900381771e+04
1.927900000000000000e+04,1.277412054998596432e+04
1.969650000000000000e+04,1.301766072990445173e+04
2.009600000000000000e+04,1.328734377637231046e+04
2.050300000000000000e+04,1.336419976380275511e+04
2.091000000000000000e+04,1.372697470133841125e+04
2.131500000000000000e+04,1.374901455422209801e+04
2.174300000000000000e+04,1.411589541662629199e+04
2.210850000000000000e+04,1.414817858753632208e+04
2.251750000000000000e+04,1.449805540414039388e+04
2.293450000000000000e+04,1.434976850347567597e+04
2.333650000000000000e+04,1.457620206935189708e+04
2.377000000000000000e+04,1.474007959531482265e+04
3.945000000000000000e+02,7.587474015529747930e+02
8.505000000000000000e+02,1.498411520243219229e+03
1.302500000000000000e+03,1.653984855711495356e+03
1.786500000000000000e+03,1.786747236127978795e+03
2.171500000000000000e+03,2.238816918917229032e+03
2.610000000000000000e+03,2.557793369606983106e+03
3.052000000000000000e+03,3.069997223289296471e+03
3.517000000000000000e+03,3.382056531203571467e+03
3.954500000000000000e+03,3.545145018445623009e+03
4.387500000000000000e+03,3.906561067263955465e+03
4.820500000000000000e+03,4.074600606298682123e+03
5.226000000000000000e+03,4.721382751505203487e+03
5.682500000000000000e+03,5.013917757891575093e+03
6.117500000000000000e+03,5.143890214341058709e+03
6.532500000000000000e+03,5.541554426940755548e+03
6.962500000000000000e+03,5.771295846699467802e+03
7.413500000000000000e+03,6.119019915904157642e+03
7.851500000000000000e+03,6.593049014817958778e+03
8.267000000000000000e+03,7.025928069390800374e+03
8.672000000000000000e+03,6.835808944168208654e+03
9.104000000000000000e+03,7.306252022781662163e+03
9.546000000000000000e+03,7.449446780852779739e+03
9.967000000000000000e+03,7.669224283614237720e+03
1.041300000000000000e+04,8.074166855192331241e+03
1.079800000000000000e+04,8.368577934796840054e+03
1.124350000000000000e+04,8.356335227160056093e+03
1.168550000000000000e+04,8.603009317563641162e+03
1.210350000000000000e+04,9.039093498322037703e+03
1.248350000000000000e+04,9.216391975501210254e+03
1.293600000000000000e+04,9.357424094974749096e+03
1.334500000000000000e+04,9.694120493566328150e+03
1.377850000000000000e+04,1.021390986513813732e+04
1.420750000000000000e+04,1.018378232237277552e+04
1.463300000000000000e+04,1.059314398353099932e+04
1.506000000000000000e+04,1.055655811401693245e+04
1.546100000000000000e+04,1.086593625112015070e+04
1.589250000000000000e+04,1.112977424337633238e+04
1.630400000000000000e+04,1.185188127421614809e+04
1.672450000000000000e+04,1.181177584461993865e+04
1.713500000000000000e+04,1.189925467617522372e+04
1.754950000000000000e+04,1.242106787096393236e+04
1.799250000000000000e+04,1.215439199743451172e+04
1.833950000000000000e+04,1.239939603286293095e+04
1.878550000000000000e+04,1.255788182638623584e+04
1.920350000000000000e+04,1.285508367215489307e+04
1.962100000000000000e+04,1.294031759356569637e+04
2.004425000000000000e+04,1.314026653373747831e+04
2.047050000000000000e+04,1.328751954972264866e+04
2.086550000000000000e+04,1.350305030180731592e+04
2.122100000000000000e+04,1.356776286888483446e+04
2.165925000000000000e+04,1.379720781655126848e+04
2.202400000000000000e+04,1.403015871050819806e+04
2.247650000000000000e+04,1.430343037044313860e+04
2.288500000000000000e+04,1.429026762603451971e+04
2.331500000000000000e+04,1.473630176671325898e+04
2.371600000000000000e+04,1.477311801446699610e+04
3.760000000000000000e+02,1.065775531722211099e+03
8.510000000000000000e+02,1.861111760378945519e+03
1.292000000000000000e+03,1.821849233829575724e+03
1.764000000000000000e+03,2.352478550846881262e+03
2.137000000000000000e+03,2.320367949232194405e+03
2.608500000000000000e+03,2.727210904025484524e+03
3.035500000000000000e+03,3.143334886823447505e+03
3.486500000000000000e+03,3.329735298594430333e+03
3.914500000000000000e+03,4.066231046003306801e+03
4.381500000000000000e+03,4.051684113706070093e+03
4.799000000000000000e+03,4.351313044377021470e+03
5.199500000000000000e+03,4.716579308195397061e+03
5.678500000000000000e+03,5.420620347622854752e+03
6.102500000000000000e+03,5.218436612477138624e+03
6.492000000000000000e+03,5.916359329621371216e+03
6.964000000000000000e+03,6.007781929509002111e+03
7.396500000000000000e+03,6.363086959615523483e+03
7.837000000000000000e+03,6.591639184194262270e+03
8.228000000000000000e+03,6.657137758537403897e+03
8.694500000000000000e+03,6.973786859255466879e+03
9.108500000000000000e+03,7.889053479406816223e+03
9.526000000000000000e+03,7.540024770379198344e+03
9.932500000000000000e+03,7.718950747566187601e+03
1.040250000000000000e+04,8.120179961400098364e+03
