signal_DN,var_single_DN2
4.485000000000000000e+02,9.169034527333291180e+02
8.720000000000000000e+02,1.507866445811355334e+03
1.305500000000000000e+03,1.899911281702632550e+03
1.771500000000000000e+03,1.807621959210326168e+03
2.236000000000000000e+03,2.469955026103009914e+03
2.642000000000000000e+03,2.975559211184105607e+03
3.088500000000000000e+03,2.980435757994883716e+03
3.540000000000000000e+03,3.193614784876631347e+03
3.993500000000000000e+03,3.596155377459207557e+03
4.434000000000000000e+03,3.955356206133251362e+03
4.840500000000000000e+03,4.149732634120126022e+03
5.262500000000000000e+03,4.747538901617503143e+03
5.702500000000000000e+03,4.773495654521861979e+03
6.141500000000000000e+03,5.123151675612436520e+03
6.576500000000000000e+03,5.592165308477596227e+03
6.996500000000000000e+03,5.746712516530198627e+03
7.431000000000000000e+03,6.052059129190563908e+03
7.842500000000000000e+03,6.553845575837366596e+03
8.284500000000000000e+03,6.811840469729538199e+03
8.700000000000000000e+03,6.809246960062348080e+03
9.144000000000000000e+03,7.153611034852757257e+03
9.548500000000000000e+03,7.508451203277851164e+03
1.000750000000000000e+04,7.667683269522215596e+03
1.044550000000000000e+04,8.193602783326183271e+03
1.083700000000000000e+04,8.184935299787568511e+03
1.129450000000000000e+04,8.581584867625766492e+03
1.171550000000000000e+04,8.686731541978946552e+03
1.211050000000000000e+04,9.031829051848786548e+03
1.251350000000000000e+04,9.293930300496236669e+03
1.297400000000000000e+04,9.449933062031703230e+03
1.337350000000000000e+04,9.678705946556945491e+03
1.381700000000000000e+04,1.032945140583446664e+04
1.423750000000000000e+04,1.009238372394094040e+04
1.464300000000000000e+04,1.062582009536626356e+04
1.508000000000000000e+04,1.076154455420961494e+04
1.549800000000000000e+04,1.095771852672128080e+04
1.591650000000000000e+04,1.127038803925529464e+04
1.633000000000000000e+04,1.157880116778014417e+04
1.677250000000000000e+04,1.211649232565224520e+04
1.719000000000000000e+04,1.172973886752715771e+04
1.761250000000000000e+04,1.239305051685363105e+04
1.803900000000000000e+04,1.214456747562897908e+04
1.843750000000000000e+04,1.244187041024887367e+04
1.883200000000000000e+04,1.260568173900381771e+04
1.927900000000000000e+04,1.277412054998596432e+04
1.969650000000000000e+04,1.301766072990445173e+04
2.009600000000000000e+04,1.328734377637231046e+04
2.050300000000000000e+04,1.336419976380275511e+04
2.091000000000000000e+04,1.372697470133841125e+04
2.131500000000000000e+04,1.374901455422209801e+04
2.174300000000000000e+04,1.411589541662629199e+04
2.210850000000000000e+04,1.414817858753632208e+04
2.251750000000000000e+04,1.449805540414039388e+04
2.293450000000000000e+04,1.434976850347567597e+04
2.333650000000000000e+04,1.457620206935189708e+04
2.377000000000000000e+04,1.474007959531482265e+04
