frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
1.000000000000000000e+00,1.048575999999999953e+00,-1.600000000000000000e+01,1.154700538379251462e+00,-6.666666666666665186e-02,-1.500000000000000000e+01
2.000000000000000000e+00,2.097151999999999905e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00
3.000000000000000000e+00,3.145728000000000080e+00,1.600000000000000000e+01,2.081665999466133066e+00,-6.666666666666665186e-02,1.500000000000000000e+01
4.000000000000000000e+00,4.194303999999999810e+00,3.000000000000000000e+01,1.527525231651946536e+00,0.000000000000000000e+00,3.000000000000000000e+01
5.000000000000000000e+00,5.242879999999999541e+00,4.300000000000000000e+01,4.012895878705717223e+01,4.444444444444439757e-02,4.500000000000000000e+01
6.000000000000000000e+00,6.291456000000000159e+00,6.200000000000000000e+01,3.957692930652065399e+01,-3.333333333333343695e-02,6.000000000000000000e+01
7.000000000000000000e+00,7.340031999999999890e+00,7.600000000000000000e+01,3.868246803570492176e+01,-1.333333333333341919e-02,7.500000000000000000e+01
8.000000000000000000e+00,8.388607999999999620e+00,9.000000000000000000e+01,3.897435053981015329e+01,0.000000000000000000e+00,9.000000000000000000e+01
9.000000000000000000e+00,9.437184000000000239e+00,1.050000000000000000e+02,3.869539162915053510e+01,0.000000000000000000e+00,1.050000000000000000e+02
1.000000000000000000e+01,1.048575999999999908e+01,1.210000000000000000e+02,3.905124837953326988e+01,-8.333333333333303727e-03,1.200000000000000000e+02
1.100000000000000000e+01,1.153433599999999970e+01,1.340000000000000000e+02,3.984971769034255118e+01,7.407407407407418098e-03,1.350000000000000000e+02
1.200000000000000000e+01,1.258291200000000032e+01,1.500000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+02
1.300000000000000000e+01,1.363148799999999916e+01,1.660000000000000000e+02,3.927255190757703929e+01,-6.060606060606099632e-03,1.650000000000000000e+02
1.400000000000000000e+01,1.468006399999999978e+01,1.830000000000000000e+02,3.789898855290643809e+01,-1.666666666666660745e-02,1.800000000000000000e+02
1.500000000000000000e+01,1.572863999999999862e+01,1.980000000000000000e+02,3.869539162915053510e+01,-1.538461538461532996e-02,1.950000000000000000e+02
1.600000000000000000e+01,1.677721599999999924e+01,2.120000000000000000e+02,3.873413653785680566e+01,-9.523809523809489974e-03,2.100000000000000000e+02
1.700000000000000000e+01,1.782579199999999986e+01,2.260000000000000000e+02,3.957692930652064689e+01,-4.444444444444473064e-03,2.250000000000000000e+02
1.800000000000000000e+01,1.887436800000000048e+01,2.410000000000000000e+02,3.784617990409775956e+01,-4.166666666666651864e-03,2.400000000000000000e+02
1.900000000000000000e+01,1.992294399999999754e+01,2.530000000000000000e+02,3.868246803570492176e+01,7.843137254901932920e-03,2.550000000000000000e+02
2.000000000000000000e+01,2.097151999999999816e+01,2.650000000000000000e+02,4.156921938165305619e+01,1.851851851851848973e-02,2.700000000000000000e+02
2.100000000000000000e+01,2.202009599999999878e+01,2.830000000000000000e+02,3.984971769034255118e+01,7.017543859649144622e-03,2.850000000000000000e+02
2.200000000000000000e+01,2.306867199999999940e+01,3.000000000000000000e+02,4.135617648348712549e+01,0.000000000000000000e+00,3.000000000000000000e+02
2.300000000000000000e+01,2.411724800000000002e+01,3.130000000000000000e+02,4.130778780488412139e+01,6.349206349206326649e-03,3.150000000000000000e+02
2.400000000000000000e+01,2.516582400000000064e+01,3.290000000000000000e+02,4.012895878705717934e+01,3.030303030303049816e-03,3.300000000000000000e+02
2.500000000000000000e+01,2.621439999999999770e+01,3.420000000000000000e+02,3.955165398985651848e+01,8.695652173912993277e-03,3.450000000000000000e+02
2.600000000000000000e+01,2.726297599999999832e+01,3.550000000000000000e+02,4.301550108197431399e+01,1.388888888888883955e-02,3.600000000000000000e+02
2.700000000000000000e+01,2.831155199999999894e+01,3.740000000000000000e+02,3.927255190757704639e+01,2.666666666666706043e-03,3.750000000000000000e+02
2.800000000000000000e+01,2.936012799999999956e+01,3.870000000000000000e+02,4.015387071420803267e+01,7.692307692307664979e-03,3.900000000000000000e+02
2.900000000000000000e+01,3.040870400000000018e+01,4.010000000000000000e+02,4.012895878705717934e+01,9.876543209876520457e-03,4.050000000000000000e+02
3.000000000000000000e+01,3.145727999999999724e+01,4.160000000000000000e+02,4.012895878705717223e+01,9.523809523809489974e-03,4.200000000000000000e+02
3.100000000000000000e+01,3.250585600000000142e+01,4.310000000000000000e+02,4.104063027456246715e+01,9.195402298850630096e-03,4.350000000000000000e+02
3.200000000000000000e+01,3.355443199999999848e+01,4.480000000000000000e+02,3.962743157628732149e+01,4.444444444444473064e-03,4.500000000000000000e+02
3.300000000000000000e+01,3.460300799999999555e+01,4.630000000000000000e+02,3.927255190757704639e+01,4.301075268817178276e-03,4.650000000000000000e+02
3.400000000000000000e+01,3.565158399999999972e+01,4.770000000000000000e+02,3.839704849768186534e+01,6.249999999999977796e-03,4.800000000000000000e+02
3.500000000000000000e+01,3.670015999999999678e+01,4.880000000000000000e+02,4.128357219685977242e+01,1.414141414141412145e-02,4.950000000000000000e+02
3.600000000000000000e+01,3.774873600000000096e+01,5.040000000000000000e+02,3.984971769034255118e+01,1.176470588235289938e-02,5.100000000000000000e+02
3.700000000000000000e+01,3.879731199999999802e+01,5.200000000000000000e+02,3.927255190757704639e+01,9.523809523809489974e-03,5.250000000000000000e+02
3.800000000000000000e+01,3.984588799999999509e+01,5.350000000000000000e+02,3.900000000000000000e+01,9.259259259259300379e-03,5.400000000000000000e+02
3.900000000000000000e+01,4.089446399999999926e+01,5.490000000000000000e+02,3.955165398985652558e+01,1.081081081081081141e-02,5.550000000000000000e+02
