frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
1.000000000000000000e+00,5.242880000000000429e+00,-1.934000000000000000e+03,6.680381725620175359e+01,-6.219964300425639969e-02,-1.820750000000000000e+03
2.000000000000000000e+00,1.048576000000000086e+01,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00
3.000000000000000000e+00,1.572864000000000217e+01,1.828500000000000000e+03,3.959271818571356505e+01,-4.256487711107981298e-03,1.820750000000000000e+03
4.000000000000000000e+00,2.097152000000000172e+01,3.641500000000000000e+03,1.468275632615801918e+01,0.000000000000000000e+00,3.641500000000000000e+03
5.000000000000000000e+00,2.621440000000000126e+01,5.436500000000000000e+03,1.147097787171317584e+01,4.714174561764816751e-03,5.462250000000000000e+03
6.000000000000000000e+00,3.145728000000000435e+01,7.237000000000000000e+03,5.330650366825170750e+01,6.316078539063574304e-03,7.283000000000000000e+03
7.000000000000000000e+00,3.670016000000000389e+01,9.029000000000000000e+03,6.376976817688247934e+01,8.210902100782679902e-03,9.103750000000000000e+03
8.000000000000000000e+00,4.194304000000000343e+01,1.075700000000000000e+04,7.490160211904682797e+01,1.533250949700215582e-02,1.092450000000000000e+04
9.000000000000000000e+00,4.718592000000000297e+01,1.251400000000000000e+04,6.490826860526578912e+01,1.814401443675095482e-02,1.274525000000000000e+04
1.000000000000000000e+01,5.242880000000000251e+01,1.424300000000000000e+04,7.254136750847753490e+01,2.217492791432107424e-02,1.456600000000000000e+04
1.100000000000000000e+01,5.767168000000000205e+01,1.597300000000000000e+04,8.428572437449496135e+01,2.524905792789911008e-02,1.638675000000000000e+04
1.200000000000000000e+01,6.291456000000000870e+01,1.764800000000000000e+04,8.774821935515272742e+01,3.072909515309629747e-02,1.820750000000000000e+04
1.300000000000000000e+01,6.815744000000000824e+01,1.936400000000000000e+04,1.208128718307780360e+02,3.316565351441091991e-02,2.002825000000000000e+04
1.400000000000000000e+01,7.340032000000000778e+01,2.101700000000000000e+04,1.254123199689727386e+02,3.807954597464413560e-02,2.184900000000000000e+04
1.500000000000000000e+01,7.864320000000000732e+01,2.267900000000000000e+04,1.374836353898164987e+02,4.185722282660353510e-02,2.366975000000000000e+04
1.600000000000000000e+01,8.388608000000000686e+01,2.431500000000000000e+04,1.357113972123687518e+02,4.611521939546103788e-02,2.549050000000000000e+04
1.700000000000000000e+01,8.912896000000000640e+01,2.594400000000000000e+04,1.167907673291571911e+02,5.006178772483871331e-02,2.731125000000000000e+04
1.800000000000000000e+01,9.437184000000000594e+01,2.762500000000000000e+04,1.481893495948117447e+02,5.173005629548266260e-02,2.913200000000000000e+04
1.900000000000000000e+01,9.961472000000000548e+01,2.923600000000000000e+04,9.833912412327725860e+01,5.546356947282549132e-02,3.095275000000000000e+04
2.000000000000000000e+01,1.048576000000000050e+02,3.081800000000000000e+04,1.253239136531146301e+02,5.966710909728900614e-02,3.277350000000000000e+04
2.100000000000000000e+01,1.101004800000000046e+02,3.241550000000000000e+04,1.346721327273513396e+02,6.298011952853432849e-02,3.459425000000000000e+04
2.200000000000000000e+01,1.153433600000000041e+02,3.402400000000000000e+04,1.567452816940061382e+02,6.565975559522174709e-02,3.641500000000000000e+04
2.300000000000000000e+01,1.205862400000000036e+02,3.549800000000000000e+04,6.542361958803563482e+01,7.160183859346291868e-02,3.823575000000000000e+04
2.400000000000000000e+01,1.258291200000000174e+02,3.608600000000000000e+04,1.129051962193650951e+02,9.912248948360435907e-02,4.005650000000000000e+04
2.500000000000000000e+01,1.310720000000000027e+02,3.608600000000000000e+04,1.129051962193650951e+02,1.382910768973607540e-01,4.187725000000000000e+04
2.600000000000000000e+01,1.363148800000000165e+02,3.608600000000000000e+04,1.129051962193650951e+02,1.741956153599707458e-01,4.369800000000000000e+04
2.700000000000000000e+01,1.415577600000000018e+02,3.608600000000000000e+04,1.129051962193650951e+02,2.072277907455718493e-01,4.551875000000000000e+04
2.800000000000000000e+01,1.468006400000000156e+02,3.608600000000000000e+04,1.129051962193650951e+02,2.377190295630499106e-01,4.733950000000000000e+04
2.900000000000000000e+01,1.520435200000000009e+02,3.608600000000000000e+04,1.129051962193650951e+02,2.659516580977517863e-01,4.916025000000000000e+04
3.000000000000000000e+01,1.572864000000000146e+02,3.608600000000000000e+04,1.129051962193650951e+02,2.921676703085462901e-01,5.098100000000000000e+04
3.100000000000000000e+01,1.625292800000000000e+02,3.608600000000000000e+04,1.129051962193650951e+02,3.165756816772171689e-01,5.280175000000000000e+04
3.200000000000000000e+01,1.677721600000000137e+02,3.608600000000000000e+04,1.129051962193650951e+02,3.393564922879765966e-01,5.462250000000000000e+04
3.300000000000000000e+01,1.730150400000000275e+02,3.608600000000000000e+04,1.129051962193650951e+02,3.606675731819127817e-01,5.644325000000000000e+04
3.400000000000000000e+01,1.782579200000000128e+02,3.608600000000000000e+04,1.129051962193650951e+02,3.806467115199779760e-01,5.826400000000000000e+04
3.500000000000000000e+01,1.835008000000000266e+02,3.608600000000000000e+04,1.129051962193650951e+02,3.994149929890695727e-01,6.008475000000000000e+04
3.600000000000000000e+01,1.887436800000000119e+02,3.608600000000000000e+04,1.129051962193650951e+02,4.170792579011557422e-01,6.190550000000000000e+04
3.700000000000000000e+01,1.939865600000000256e+02,3.608600000000000000e+04,1.129051962193650951e+02,4.337341362468370987e-01,6.372625000000000000e+04
3.800000000000000000e+01,1.992294400000000110e+02,3.608600000000000000e+04,1.129051962193650951e+02,4.494637435733137565e-01,6.554700000000000000e+04
3.900000000000000000e+01,2.044723200000000247e+02,3.608600000000000000e+04,1.129051962193650951e+02,4.643431018551161804e-01,6.736775000000000000e+04
4.000000000000000000e+01,2.097152000000000100e+02,3.608600000000000000e+04,1.129051962193650951e+02,4.784393360168236464e-01,6.918850000000000000e+04
4.100000000000000000e+01,2.149580800000000238e+02,3.608600000000000000e+04,1.129051962193650951e+02,4.918126863753665701e-01,7.100925000000000000e+04
4.200000000000000000e+01,2.202009600000000091e+02,3.608600000000000000e+04,1.129051962193650951e+02,5.045173692159824475e-01,7.283000000000000000e+04
4.300000000000000000e+01,2.254438400000000229e+02,3.608600000000000000e+04,1.129051962193650951e+02,5.166023114302267238e-01,7.465075000000000000e+04
4.400000000000000000e+01,2.306867200000000082e+02,3.608600000000000000e+04,1.129051962193650951e+02,5.281117802056976007e-01,7.647150000000000000e+04
4.500000000000000000e+01,2.359296000000000220e+02,3.608600000000000000e+04,1.129051962193650951e+02,5.390859248520767366e-01,7.829225000000000000e+04
4.600000000000000000e+01,2.411724800000000073e+02,3.608600000000000000e+04,1.129051962193650951e+02,5.495612447418021240e-01,8.011300000000000000e+04
4.700000000000000000e+01,2.464153600000000210e+02,3.608600000000000000e+04,1.129051962193650951e+02,5.595709948586510274e-01,8.193375000000000000e+04
4.800000000000000000e+01,2.516582400000000348e+02,3.608600000000000000e+04,1.129051962193650951e+02,5.691455384486803215e-01,8.375450000000000000e+04
4.900000000000000000e+01,2.569011200000000485e+02,3.608600000000000000e+04,1.129051962193650951e+02,5.783126546518999600e-01,8.557525000000000000e+04
5.000000000000000000e+01,2.621440000000000055e+02,3.608600000000000000e+04,1.129051962193650951e+02,5.870978076799853174e-01,8.739600000000000000e+04
5.100000000000000000e+01,2.673868800000000192e+02,3.608600000000000000e+04,1.129051962193650951e+02,5.955243830334551181e-01,8.921675000000000000e+04
5.200000000000000000e+01,2.726297600000000330e+02,3.608600000000000000e+04,1.129051962193650951e+02,6.036138953727858691e-01,9.103750000000000000e+04
5.300000000000000000e+01,2.778726400000000467e+02,3.608600000000000000e+04,1.129051962193650951e+02,6.113861719341038281e-01,9.285825000000000000e+04
5.400000000000000000e+01,2.831155200000000036e+02,3.608600000000000000e+04,1.129051962193650951e+02,6.188595147815250108e-01,9.467900000000000000e+04
