frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
1.000000000000000000e+00,5.825422222222221835e-01,-4.000000000000000000e+01,1.000000000000000000e+00,-6.666666666666665186e-02,-3.750000000000000000e+01
2.000000000000000000e+00,1.165084444444444367e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00
3.000000000000000000e+00,1.747626666666666662e+00,3.800000000000000000e+01,1.527525231651946536e+00,-1.333333333333341919e-02,3.750000000000000000e+01
4.000000000000000000e+00,2.330168888888888734e+00,7.500000000000000000e+01,1.732050807568877193e+00,0.000000000000000000e+00,7.500000000000000000e+01
5.000000000000000000e+00,2.912711111111110807e+00,1.150000000000000000e+02,2.516611478423583570e+00,-2.222222222222214327e-02,1.125000000000000000e+02
6.000000000000000000e+00,3.495253333333333323e+00,1.530000000000000000e+02,4.509249752822894308e+00,-2.000000000000001776e-02,1.500000000000000000e+02
7.000000000000000000e+00,4.077795555555555396e+00,1.930000000000000000e+02,6.000000000000000000e+00,-2.933333333333343340e-02,1.875000000000000000e+02
8.000000000000000000e+00,4.660337777777777468e+00,2.330000000000000000e+02,7.211102550927978250e+00,-3.555555555555556246e-02,2.250000000000000000e+02
9.000000000000000000e+00,5.242879999999999541e+00,2.730000000000000000e+02,9.848857801796103928e+00,-4.000000000000003553e-02,2.625000000000000000e+02
1.000000000000000000e+01,5.825422222222221613e+00,3.130000000000000000e+02,1.234233905438241052e+01,-4.333333333333322379e-02,3.000000000000000000e+02
1.100000000000000000e+01,6.407964444444443686e+00,3.530000000000000000e+02,1.530795000427337804e+01,-4.592592592592592560e-02,3.375000000000000000e+02
1.200000000000000000e+01,6.990506666666666646e+00,3.940000000000000000e+02,1.908751773629387571e+01,-5.066666666666663765e-02,3.750000000000000000e+02
1.300000000000000000e+01,7.573048888888888719e+00,4.330000000000000000e+02,2.116601048851672573e+01,-4.969696969696979494e-02,4.125000000000000000e+02
1.400000000000000000e+01,8.155591111111110791e+00,4.740000000000000000e+02,2.433105012119287736e+01,-5.333333333333323267e-02,4.500000000000000000e+02
1.500000000000000000e+01,8.738133333333331976e+00,5.120000000000000000e+02,2.696293752542552724e+01,-5.025641025641025550e-02,4.875000000000000000e+02
1.600000000000000000e+01,9.320675555555554936e+00,5.510000000000000000e+02,2.919474838619667167e+01,-4.952380952380952550e-02,5.250000000000000000e+02
1.700000000000000000e+01,9.903217777777777897e+00,5.900000000000000000e+02,3.262412195497885392e+01,-4.888888888888898165e-02,5.625000000000000000e+02
1.800000000000000000e+01,1.048575999999999908e+01,6.280000000000000000e+02,3.464101615137754919e+01,-4.666666666666663410e-02,6.000000000000000000e+02
1.900000000000000000e+01,1.106830222222222204e+01,6.650000000000000000e+02,3.695041722813604679e+01,-4.313725490196085310e-02,6.375000000000000000e+02
2.000000000000000000e+01,1.165084444444444323e+01,7.010000000000000000e+02,3.955165398985652558e+01,-3.851851851851861852e-02,6.750000000000000000e+02
2.100000000000000000e+01,1.223338666666666619e+01,7.360000000000000000e+02,4.158124577258357846e+01,-3.298245614035089091e-02,7.125000000000000000e+02
2.200000000000000000e+01,1.281592888888888737e+01,7.710000000000000000e+02,4.361574639202375892e+01,-2.800000000000002487e-02,7.500000000000000000e+02
2.300000000000000000e+01,1.339847111111111033e+01,8.060000000000000000e+02,4.534681172181053910e+01,-2.349206349206345301e-02,7.875000000000000000e+02
2.400000000000000000e+01,1.398101333333333329e+01,8.400000000000000000e+02,4.743767841424507736e+01,-1.818181818181807685e-02,8.250000000000000000e+02
2.500000000000000000e+01,1.456355555555555448e+01,8.750000000000000000e+02,4.938623289946298200e+01,-1.449275362318847016e-02,8.625000000000000000e+02
2.600000000000000000e+01,1.514609777777777744e+01,9.110000000000000000e+02,5.197114584074513033e+01,-1.222222222222213439e-02,9.000000000000000000e+02
2.700000000000000000e+01,1.572863999999999862e+01,9.430000000000000000e+02,5.315386470740705249e+01,-5.866666666666686680e-03,9.375000000000000000e+02
2.800000000000000000e+01,1.631118222222222158e+01,9.780000000000000000e+02,5.603867711976553068e+01,-3.076923076922977174e-03,9.750000000000000000e+02
2.900000000000000000e+01,1.689372444444444454e+01,1.010000000000000000e+03,5.750072463311512649e+01,2.469135802469102359e-03,1.012500000000000000e+03
3.000000000000000000e+01,1.747626666666666395e+01,1.042000000000000000e+03,5.896609195122227476e+01,7.619047619047636388e-03,1.050000000000000000e+03
3.100000000000000000e+01,1.805880888888888691e+01,1.074000000000000000e+03,5.865435476870693066e+01,1.241379310344825626e-02,1.087500000000000000e+03
3.200000000000000000e+01,1.864135111111110987e+01,1.107000000000000000e+03,6.043453758682475296e+01,1.600000000000001421e-02,1.125000000000000000e+03
3.300000000000000000e+01,1.922389333333333283e+01,1.139000000000000000e+03,6.216376221990858397e+01,2.021505376344090443e-02,1.162500000000000000e+03
3.400000000000000000e+01,1.980643555555555579e+01,1.171000000000000000e+03,6.127261487266014939e+01,2.416666666666666963e-02,1.200000000000000000e+03
3.500000000000000000e+01,2.038897777777777520e+01,1.201000000000000000e+03,6.222807512155051057e+01,2.949494949494946283e-02,1.237500000000000000e+03
3.600000000000000000e+01,2.097151999999999816e+01,1.232000000000000000e+03,6.230837289910027721e+01,3.372549019607840037e-02,1.275000000000000000e+03
3.700000000000000000e+01,2.155406222222222112e+01,1.263000000000000000e+03,6.190584248141150425e+01,3.771428571428570020e-02,1.312500000000000000e+03
3.800000000000000000e+01,2.213660444444444408e+01,1.295000000000000000e+03,6.158733636065128536e+01,4.074074074074074403e-02,1.350000000000000000e+03
