frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
1.000000000000000000e+00,5.242880000000000429e+00,-6.575000000000000000e+03,8.058819392442046592e+02,5.108962332226874015e-02,-6.929000000000000000e+03
2.000000000000000000e+00,1.048576000000000086e+01,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00
3.000000000000000000e+00,1.572864000000000217e+01,7.050000000000000000e+03,3.284308146322449034e+02,-1.746283735026699091e-02,6.929000000000000000e+03
4.000000000000000000e+00,2.097152000000000172e+01,1.385800000000000000e+04,4.817158913716673396e+02,0.000000000000000000e+00,1.385800000000000000e+04
5.000000000000000000e+00,2.621440000000000126e+01,2.046700000000000000e+04,1.035110380587500458e+03,1.539423678260454231e-02,2.078700000000000000e+04
6.000000000000000000e+00,3.145728000000000435e+01,2.725600000000000000e+04,1.564046418748497445e+03,1.659691153124553953e-02,2.771600000000000000e+04
7.000000000000000000e+00,3.670016000000000389e+01,3.301500000000000000e+04,1.660830153868841535e+03,4.704863616683507832e-02,3.464500000000000000e+04
8.000000000000000000e+00,4.194304000000000343e+01,3.556900000000000000e+04,1.608211024710376705e+03,1.444412373117813786e-01,4.157400000000000000e+04
9.000000000000000000e+00,4.718592000000000297e+01,3.556900000000000000e+04,1.608211024710376705e+03,2.666639176958126578e-01,4.850300000000000000e+04
1.000000000000000000e+01,5.242880000000000251e+01,3.556900000000000000e+04,1.608211024710376705e+03,3.583309279838360339e-01,5.543200000000000000e+04
1.100000000000000000e+01,5.767168000000000205e+01,3.556900000000000000e+04,1.608211024710376705e+03,4.296274915411876227e-01,6.236100000000000000e+04
1.200000000000000000e+01,6.291456000000000870e+01,3.556900000000000000e+04,1.608211024710376705e+03,4.866647423870688050e-01,6.929000000000000000e+04
1.300000000000000000e+01,6.815744000000000824e+01,3.556900000000000000e+04,1.608211024710376705e+03,5.333315839882444287e-01,7.621900000000000000e+04
1.400000000000000000e+01,7.340032000000000778e+01,3.556900000000000000e+04,1.608211024710376705e+03,5.722206186558906893e-01,8.314800000000000000e+04
1.500000000000000000e+01,7.864320000000000732e+01,3.556900000000000000e+04,1.608211024710376705e+03,6.051267249131297987e-01,9.007700000000000000e+04
1.600000000000000000e+01,8.388608000000000686e+01,3.556900000000000000e+04,1.608211024710376705e+03,6.333319588479062734e-01,9.700600000000000000e+04
1.700000000000000000e+01,8.912896000000000640e+01,3.556900000000000000e+04,1.608211024710376705e+03,6.577764949247125736e-01,1.039350000000000000e+05
1.800000000000000000e+01,9.437184000000000594e+01,3.556900000000000000e+04,1.608211024710376705e+03,6.791654639919180170e-01,1.108640000000000000e+05
