signal_DN,var_single_DN2
2.450000000000000000e+01,4.432816648811354732e+00
5.500000000000000000e+01,3.662812345089997645e+00
8.200000000000000000e+01,5.569271643604650102e+00
1.105000000000000000e+02,5.037969495890749272e+00
1.425000000000000000e+02,5.030492575860626481e+00
1.680000000000000000e+02,6.023439495368457131e+00
1.975000000000000000e+02,6.761963998039581369e+00
2.275000000000000000e+02,6.899408368685820747e+00
2.530000000000000000e+02,7.637708996971975139e+00
2.830000000000000000e+02,8.748742961115887340e+00
3.080000000000000000e+02,9.175499465971251212e+00
3.370000000000000000e+02,9.857972758920574563e+00
3.655000000000000000e+02,1.148537701083627915e+01
3.945000000000000000e+02,1.114259765578871431e+01
4.215000000000000000e+02,1.297039159688610077e+01
4.505000000000000000e+02,1.260148409537063507e+01
4.750000000000000000e+02,1.439401042712430190e+01
5.050000000000000000e+02,1.443850056371000079e+01
5.330000000000000000e+02,1.427914769044020993e+01
5.575000000000000000e+02,1.689297074644066043e+01
5.885000000000000000e+02,1.537721906854205933e+01
6.145000000000000000e+02,1.575671592178558811e+01
6.395000000000000000e+02,1.702258330861741342e+01
6.705000000000000000e+02,1.868449922627275228e+01
6.960000000000000000e+02,1.903257444525415210e+01
7.260000000000000000e+02,1.865182203047010390e+01
7.505000000000000000e+02,1.923708903109049118e+01
2.900000000000000000e+01,6.497456741405963854e+00
5.450000000000000000e+01,8.894280505039665385e+00
8.500000000000000000e+01,4.509735317985244407e+00
1.130000000000000000e+02,1.867165396612913142e+01
1.430000000000000000e+02,7.043650253475282064e+00
1.700000000000000000e+02,1.023207054517061287e+01
1.990000000000000000e+02,1.659089001560019838e+01
2.275000000000000000e+02,6.922815713168713359e+00
2.560000000000000000e+02,1.431307236185258347e+01
2.845000000000000000e+02,1.314753068197657626e+01
3.100000000000000000e+02,1.261023897586118814e+01
3.395000000000000000e+02,1.776921767740101288e+01
3.640000000000000000e+02,1.383506077032989090e+01
3.945000000000000000e+02,1.461575701803043792e+01
4.205000000000000000e+02,2.166508716763853570e+01
4.525000000000000000e+02,1.317336161944861850e+01
4.790000000000000000e+02,1.913858473878656596e+01
5.080000000000000000e+02,2.055942763421619190e+01
5.340000000000000000e+02,1.440811079812766593e+01
5.605000000000000000e+02,2.508154551400847154e+01
5.915000000000000000e+02,1.756357192625408814e+01
6.150000000000000000e+02,2.469135296940390845e+01
6.430000000000000000e+02,2.719851432254996837e+01
6.705000000000000000e+02,1.754127268362370273e+01
6.985000000000000000e+02,2.489770563266314340e+01
7.255000000000000000e+02,2.656148179741985516e+01
7.520000000000000000e+02,2.144288594144698124e+01
2.900000000000000000e+01,1.437222313594837075e+01
5.500000000000000000e+01,1.015927052669239217e+01
8.650000000000000000e+01,5.455676794697081000e+00
1.150000000000000000e+02,1.944378788954233173e+01
1.420000000000000000e+02,6.050243012112781926e+00
1.715000000000000000e+02,9.978449375491974749e+00
1.990000000000000000e+02,2.059892728189572608e+01
2.275000000000000000e+02,7.644420716067819477e+00
2.570000000000000000e+02,1.718270212735801294e+01
2.835000000000000000e+02,1.677603972335688809e+01
3.145000000000000000e+02,1.015926562404966127e+01
3.420000000000000000e+02,2.067104900410622648e+01
3.665000000000000000e+02,1.609131874799249928e+01
3.950000000000000000e+02,1.576986062652718878e+01
4.210000000000000000e+02,2.524960303203410561e+01
4.525000000000000000e+02,1.336364830242513868e+01
4.795000000000000000e+02,2.393555676719171643e+01
