n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
4.544000000000000000e+03,4.545000000000000000e+03,3.862117508785439668e+01,1.487868571352837788e-01,2.998422736973168767e+01,1.775000000000000000e+02,9.600000000000000000e+01
4.544000000000000000e+03,4.546000000000000000e+03,3.956330512045722259e+01,1.718948955005770718e-01,3.188263795745191231e+01,1.780000000000000000e+02,9.600000000000000000e+01
4.544000000000000000e+03,4.547000000000000000e+03,3.887436203441885851e+01,1.714466919675333156e-01,3.101065854182322212e+01,1.780000000000000000e+02,9.600000000000000000e+01
4.544000000000000000e+03,4.548000000000000000e+03,3.777335484938988941e+01,1.191633571724172586e-01,2.975013961325495870e+01,1.775000000000000000e+02,9.600000000000000000e+01
4.545000000000000000e+03,4.546000000000000000e+03,3.986876716087074612e+01,1.359963978929307205e-01,2.803327570417637915e+01,1.785000000000000000e+02,9.600000000000000000e+01
4.545000000000000000e+03,4.547000000000000000e+03,3.945345178939250275e+01,1.435526380411340786e-01,2.823918703988643841e+01,1.785000000000000000e+02,9.600000000000000000e+01
4.545000000000000000e+03,4.548000000000000000e+03,3.868157340193561566e+01,1.370572838960601447e-01,2.750133595185316793e+01,1.780000000000000000e+02,9.600000000000000000e+01
4.546000000000000000e+03,4.547000000000000000e+03,4.037379749556582453e+01,1.456121582174998985e-01,2.877993709828914248e+01,1.790000000000000000e+02,9.600000000000000000e+01
4.546000000000000000e+03,4.548000000000000000e+03,3.915543210292526055e+01,1.224316614066559561e-01,2.808758030153332896e+01,1.785000000000000000e+02,9.600000000000000000e+01
4.547000000000000000e+03,4.548000000000000000e+03,3.987518508585164767e+01,1.300680935753878165e-01,2.937524678927943000e+01,1.785000000000000000e+02,9.600000000000000000e+01
