n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
4.539000000000000000e+03,4.540000000000000000e+03,1.498074870867124542e+00,1.158409298748947804e-02,3.196364571786514119e+01,4.699500000000000000e+03,2.000000000000000000e+01
4.539000000000000000e+03,4.541000000000000000e+03,1.490639061454225311e+00,2.737196111560468229e-02,3.436544831674179790e+01,4.633500000000000000e+03,2.000000000000000000e+01
4.539000000000000000e+03,4.542000000000000000e+03,1.457608621071244448e+00,1.787387234630640614e-02,3.237833316906151282e+01,4.622500000000000000e+03,2.000000000000000000e+01
4.539000000000000000e+03,4.543000000000000000e+03,1.454677724346357115e+00,1.884418780728430720e-02,3.161900230085482733e+01,4.602500000000000000e+03,2.000000000000000000e+01
4.540000000000000000e+03,4.541000000000000000e+03,1.547113538865418692e+00,3.529668825041828994e-02,3.648966045122983104e+01,4.645000000000000000e+03,2.000000000000000000e+01
4.540000000000000000e+03,4.542000000000000000e+03,1.485338547180916624e+00,2.833373564410378298e-02,3.304156701380617278e+01,4.634000000000000000e+03,2.000000000000000000e+01
4.540000000000000000e+03,4.543000000000000000e+03,1.492259738350731224e+00,1.882037251360248187e-02,3.202790617928745576e+01,4.614000000000000000e+03,2.000000000000000000e+01
4.541000000000000000e+03,4.542000000000000000e+03,1.513277245419956785e+00,1.253235990363827865e-02,3.290266817861475346e+01,4.568000000000000000e+03,2.000000000000000000e+01
4.541000000000000000e+03,4.543000000000000000e+03,1.496759093677614949e+00,3.404768179005389361e-02,3.283955438053718723e+01,4.548000000000000000e+03,2.000000000000000000e+01
4.542000000000000000e+03,4.543000000000000000e+03,1.455986725548205518e+00,2.500882333815821271e-02,3.172571509574664006e+01,4.537000000000000000e+03,2.000000000000000000e+01
