signal_DN,var_single_DN2
2.000000000000000000e+00,7.558437897295825492e-01
3.000000000000000000e+00,8.210262133899630665e-01
1.100000000000000000e+01,1.150537067775801114e+00
1.150000000000000000e+01,1.110470889548522688e+00
1.550000000000000000e+01,1.293287381785360290e+00
1.500000000000000000e+01,1.299769098919211219e+00
1.900000000000000000e+01,1.480664212420085946e+00
1.750000000000000000e+01,1.450060862424175312e+00
1.900000000000000000e+01,1.409873474157272932e+00
2.050000000000000000e+01,1.431016300133290287e+00
2.350000000000000000e+01,1.667051521787595858e+00
2.450000000000000000e+01,1.787763287818669777e+00
2.650000000000000000e+01,1.773676205621993018e+00
2.600000000000000000e+01,1.714003923215975389e+00
2.750000000000000000e+01,1.803245689329104451e+00
2.900000000000000000e+01,1.815879982906532852e+00
3.050000000000000000e+01,1.763757982180620631e+00
2.900000000000000000e+01,1.829751609930989620e+00
3.250000000000000000e+01,1.843863664210840803e+00
3.300000000000000000e+01,1.860993588462030779e+00
3.450000000000000000e+01,1.857282706174693265e+00
3.500000000000000000e+01,1.868312585603603804e+00
3.600000000000000000e+01,1.823299298849445638e+00
3.700000000000000000e+01,1.861906215169646162e+00
3.800000000000000000e+01,1.860829974506340800e+00
3.950000000000000000e+01,1.905789270233287258e+00
3.950000000000000000e+01,2.053117191004246056e+00
4.150000000000000000e+01,2.050452247684222851e+00
4.100000000000000000e+01,2.036628904656657468e+00
4.350000000000000000e+01,2.068434734365619310e+00
4.350000000000000000e+01,2.121697823550221074e+00
4.650000000000000000e+01,2.121737496720367933e+00
4.650000000000000000e+01,2.178717438109096793e+00
4.750000000000000000e+01,2.213585212438021976e+00
4.900000000000000000e+01,2.214775773201399733e+00
5.100000000000000000e+01,2.159330287844305474e+00
5.300000000000000000e+01,2.205465870853851929e+00
5.200000000000000000e+01,2.217537003817598329e+00
5.400000000000000000e+01,2.195391502468262424e+00
5.450000000000000000e+01,2.247906970912912250e+00
5.600000000000000000e+01,2.294054439997243566e+00
5.550000000000000000e+01,2.311037623321714030e+00
5.600000000000000000e+01,2.304183841507768005e+00
5.900000000000000000e+01,2.295449480267698128e+00
6.000000000000000000e+01,2.446627038475717608e+00
6.050000000000000000e+01,2.457544682076964193e+00
6.150000000000000000e+01,2.464462709275824892e+00
6.350000000000000000e+01,2.448812808488090464e+00
6.400000000000000000e+01,2.482872937791908541e+00
6.550000000000000000e+01,2.506850053648487453e+00
6.700000000000000000e+01,2.558000987379618341e+00
6.750000000000000000e+01,2.531149378177492970e+00
6.850000000000000000e+01,2.540914150166891261e+00
7.050000000000000000e+01,2.573369493582715162e+00
7.150000000000000000e+01,2.551486095315407265e+00
7.100000000000000000e+01,2.731102747910857609e+00
7.250000000000000000e+01,2.608460401374144588e+00
7.550000000000000000e+01,2.752932844887581165e+00
7.550000000000000000e+01,2.616046904212477209e+00
7.700000000000000000e+01,2.747612007839963510e+00
7.650000000000000000e+01,2.766216451356477091e+00
7.900000000000000000e+01,2.740033990433713651e+00
7.950000000000000000e+01,2.793112899125511195e+00
8.100000000000000000e+01,2.829831740740171853e+00
8.250000000000000000e+01,2.804087828709536989e+00
8.450000000000000000e+01,2.857223462228026367e+00
8.350000000000000000e+01,2.841314687970605490e+00
8.550000000000000000e+01,2.817611110486180959e+00
8.650000000000000000e+01,2.851869785542210600e+00
8.800000000000000000e+01,2.915200777306547586e+00
8.850000000000000000e+01,2.907467794305295783e+00
8.950000000000000000e+01,2.931467087271181438e+00
9.000000000000000000e+01,3.005068884527263950e+00
9.200000000000000000e+01,2.950722138650705428e+00
9.250000000000000000e+01,3.025291542728286043e+00
9.400000000000000000e+01,3.037738448734306207e+00
9.600000000000000000e+01,3.073489040953483631e+00
9.600000000000000000e+01,3.087996549767101584e+00
9.700000000000000000e+01,3.096142893592543466e+00
9.800000000000000000e+01,3.095694309547693646e+00
1.000000000000000000e+02,3.161221258854694405e+00
1.005000000000000000e+02,3.138557100881783857e+00
1.005000000000000000e+02,3.139693709915378328e+00
1.020000000000000000e+02,3.150193261478904549e+00
1.050000000000000000e+02,3.179092933461120651e+00
1.055000000000000000e+02,3.146168094695878104e+00
1.060000000000000000e+02,3.168296896743553859e+00
1.070000000000000000e+02,3.202597712801280139e+00
1.080000000000000000e+02,3.223774680527736081e+00
1.095000000000000000e+02,3.219975040798371602e+00
1.105000000000000000e+02,3.252326008083183062e+00
1.120000000000000000e+02,3.269580701368669295e+00
1.115000000000000000e+02,3.241361678101400745e+00
1.140000000000000000e+02,3.323340175439724486e+00
1.140000000000000000e+02,3.299090072705672227e+00
1.155000000000000000e+02,3.372246097054217184e+00
1.155000000000000000e+02,3.555695161988742026e+00
1.185000000000000000e+02,3.429106985356027426e+00
1.190000000000000000e+02,3.417653499753138480e+00
1.200000000000000000e+02,3.387970320954359238e+00
1.215000000000000000e+02,3.618781103484600248e+00
1.215000000000000000e+02,3.616946566960480780e+00
1.220000000000000000e+02,3.591882056976375637e+00
1.240000000000000000e+02,3.591286325346120911e+00
1.260000000000000000e+02,3.633498884231468828e+00
1.265000000000000000e+02,3.582656121107319347e+00
1.270000000000000000e+02,3.681031787910525210e+00
1.280000000000000000e+02,3.656819091647625530e+00
1.290000000000000000e+02,3.673431574525531484e+00
1.300000000000000000e+02,3.716911521313739364e+00
1.315000000000000000e+02,3.702362249307729947e+00
1.335000000000000000e+02,3.778708424099479934e+00
1.335000000000000000e+02,3.763025263013356714e+00
1.345000000000000000e+02,3.787406146569109566e+00
1.365000000000000000e+02,3.771090805917412858e+00
1.360000000000000000e+02,3.773303790667596136e+00
1.365000000000000000e+02,3.833260416155658490e+00
1.390000000000000000e+02,3.898704827998301425e+00
1.385000000000000000e+02,3.876806078269177558e+00
1.415000000000000000e+02,3.809782126645057776e+00
1.430000000000000000e+02,3.883971825108476938e+00
1.430000000000000000e+02,3.879853826764000146e+00
1.430000000000000000e+02,3.915379079609510260e+00
1.450000000000000000e+02,3.940424308926607555e+00
1.460000000000000000e+02,3.926823421529663793e+00
1.480000000000000000e+02,4.001689760634157267e+00
1.495000000000000000e+02,3.987940410361072718e+00
1.485000000000000000e+02,3.965625564781306789e+00
1.505000000000000000e+02,3.987430068062361332e+00
1.525000000000000000e+02,4.030826048543561413e+00
1.535000000000000000e+02,4.072331007110209455e+00
1.550000000000000000e+02,4.016212884657989868e+00
1.545000000000000000e+02,4.038826936295960124e+00
1.560000000000000000e+02,4.088451322315037828e+00
1.565000000000000000e+02,4.084632978874313203e+00
1.585000000000000000e+02,4.188026043818600108e+00
1.590000000000000000e+02,4.153556565414302071e+00
1.605000000000000000e+02,4.207587848889383864e+00
1.615000000000000000e+02,4.159588826901023495e+00
1.625000000000000000e+02,4.203649618958959167e+00
1.645000000000000000e+02,4.185817440032089998e+00
1.665000000000000000e+02,4.212285121623358108e+00
1.655000000000000000e+02,4.284405453112754891e+00
1.665000000000000000e+02,4.358883336334837821e+00
1.680000000000000000e+02,4.310968558183104982e+00
1.700000000000000000e+02,4.361353098780999638e+00
1.700000000000000000e+02,4.305851664319289007e+00
1.710000000000000000e+02,4.351876740124651199e+00
1.725000000000000000e+02,4.518245406170349199e+00
1.735000000000000000e+02,4.354692554565122720e+00
