n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
4.544000000000000000e+03,4.545000000000000000e+03,3.836628974196765540e+01,3.162764924448279724e-01,3.445418301051469001e+01,1.775000000000000000e+02,9.600000000000000000e+01
4.544000000000000000e+03,4.546000000000000000e+03,3.924179221762339864e+01,3.730205134042037241e-01,3.714492797098364463e+01,1.780000000000000000e+02,9.600000000000000000e+01
4.544000000000000000e+03,4.547000000000000000e+03,3.863256769237162302e+01,4.201721888428773810e-01,3.568507591739277274e+01,1.780000000000000000e+02,9.600000000000000000e+01
4.544000000000000000e+03,4.548000000000000000e+03,3.746774977279164887e+01,3.208307699891721487e-01,3.495100930034971753e+01,1.775000000000000000e+02,9.600000000000000000e+01
4.545000000000000000e+03,4.546000000000000000e+03,4.084354713463950759e+01,4.435832097963212650e-01,3.723301502253470829e+01,1.785000000000000000e+02,9.600000000000000000e+01
4.545000000000000000e+03,4.547000000000000000e+03,3.938171454245953385e+01,4.464878216448768256e-01,3.486663530027808378e+01,1.785000000000000000e+02,9.600000000000000000e+01
4.545000000000000000e+03,4.548000000000000000e+03,3.826641195794587702e+01,2.750893465836978802e-01,3.260705375830190889e+01,1.780000000000000000e+02,9.600000000000000000e+01
4.546000000000000000e+03,4.547000000000000000e+03,3.967118420735546636e+01,4.037809486426809924e-01,3.620636352724088169e+01,1.790000000000000000e+02,9.600000000000000000e+01
4.546000000000000000e+03,4.548000000000000000e+03,4.017794439663849460e+01,5.792121226044895099e-01,3.859552916575906778e+01,1.785000000000000000e+02,9.600000000000000000e+01
4.547000000000000000e+03,4.548000000000000000e+03,3.993479744673509657e+01,5.814676606764681566e-01,3.787444361048172681e+01,1.785000000000000000e+02,9.600000000000000000e+01
