signal_DN,var_single_DN2
2.000000000000000000e+00,1.113483235167622709e+00
3.000000000000000000e+00,1.248213703182918577e+00
1.100000000000000000e+01,1.446538391832212112e+00
1.150000000000000000e+01,1.633223868668123080e+00
1.550000000000000000e+01,1.673500579979168901e+00
1.500000000000000000e+01,1.737581744676942597e+00
1.900000000000000000e+01,2.095477386763863858e+00
1.750000000000000000e+01,1.795845635423357178e+00
1.900000000000000000e+01,1.814665071215440628e+00
2.050000000000000000e+01,2.289993242834125198e+00
2.350000000000000000e+01,2.218371905809360278e+00
2.450000000000000000e+01,2.358506148690121318e+00
2.650000000000000000e+01,2.772936579366602761e+00
2.600000000000000000e+01,2.137388020994109183e+00
2.750000000000000000e+01,2.265574917170276592e+00
2.900000000000000000e+01,3.353748020032758959e+00
3.050000000000000000e+01,2.318742798486778334e+00
2.900000000000000000e+01,2.472988275519703016e+00
3.250000000000000000e+01,2.275296380916692396e+00
3.300000000000000000e+01,2.271810905209958431e+00
3.450000000000000000e+01,2.342570277973965887e+00
3.500000000000000000e+01,2.501227098104037871e+00
3.600000000000000000e+01,2.946242673900696829e+00
3.700000000000000000e+01,2.911041212729318151e+00
3.800000000000000000e+01,2.583055951943361350e+00
3.950000000000000000e+01,2.546186157765850222e+00
3.950000000000000000e+01,2.883243217955626214e+00
4.150000000000000000e+01,2.611935189991489104e+00
4.100000000000000000e+01,3.166322332310443244e+00
4.350000000000000000e+01,3.424428610086674318e+00
4.350000000000000000e+01,2.810827032734251496e+00
4.650000000000000000e+01,3.403110586129671766e+00
4.650000000000000000e+01,3.567959794605865209e+00
4.750000000000000000e+01,2.873799427623062286e+00
4.900000000000000000e+01,4.017616153213558583e+00
5.100000000000000000e+01,2.935196194644762890e+00
5.300000000000000000e+01,2.979752908996411875e+00
5.200000000000000000e+01,3.166270953882057704e+00
5.400000000000000000e+01,2.927143475890173541e+00
5.450000000000000000e+01,3.678051574533317769e+00
5.600000000000000000e+01,3.434552908983306452e+00
5.550000000000000000e+01,3.205787644921961999e+00
5.600000000000000000e+01,2.812303194431890585e+00
5.900000000000000000e+01,3.137748605479015129e+00
6.000000000000000000e+01,3.810240641162576214e+00
6.050000000000000000e+01,3.668673453984704569e+00
6.150000000000000000e+01,3.175949484446139781e+00
6.350000000000000000e+01,3.671133914998157000e+00
6.400000000000000000e+01,3.627212201517806101e+00
