signal_DN,var_single_DN2
2.525000000000000000e+02,6.087247827141796961e+02
5.385000000000000000e+02,8.096137368890116477e+02
8.190000000000000000e+02,9.922282637943568488e+02
1.049000000000000000e+03,1.157429228201891874e+03
1.319500000000000000e+03,1.345469062426880782e+03
1.607000000000000000e+03,1.509689807266278876e+03
1.854000000000000000e+03,1.711649370490173851e+03
2.119500000000000000e+03,1.875694485906212094e+03
2.381000000000000000e+03,2.067692656460878425e+03
2.646500000000000000e+03,2.231629752021626246e+03
2.906500000000000000e+03,2.418561010649289074e+03
3.152500000000000000e+03,2.560455342370898052e+03
3.407500000000000000e+03,2.729699092416608892e+03
3.664500000000000000e+03,2.904653374259168686e+03
3.924500000000000000e+03,3.000186907549890748e+03
4.195000000000000000e+03,3.282585070923998956e+03
4.426000000000000000e+03,3.365741500461222131e+03
4.699500000000000000e+03,3.537284561234636385e+03
2.290000000000000000e+02,7.522652858511081604e+02
4.825000000000000000e+02,8.184577545498527797e+02
7.820000000000000000e+02,1.120844419573884352e+03
1.006500000000000000e+03,1.234352264376053427e+03
1.298000000000000000e+03,1.335325200582623665e+03
1.556500000000000000e+03,1.555875712895335937e+03
1.831000000000000000e+03,1.742532131599081595e+03
2.084000000000000000e+03,1.886054112257224915e+03
2.341500000000000000e+03,2.140160893099414807e+03
2.602000000000000000e+03,2.233175477217161188e+03
2.859000000000000000e+03,2.560067814522069057e+03
3.129500000000000000e+03,2.670848573215784654e+03
3.350500000000000000e+03,2.817715340060802191e+03
3.620500000000000000e+03,2.967970919023347960e+03
3.887500000000000000e+03,3.078269254072867170e+03
4.126000000000000000e+03,3.261788047672037919e+03
4.366000000000000000e+03,3.435817996373540609e+03
4.633500000000000000e+03,3.713912286141637196e+03
2.270000000000000000e+02,5.904025771068124868e+02
5.005000000000000000e+02,7.726067203809349166e+02
7.665000000000000000e+02,1.091655607409511504e+03
1.017500000000000000e+03,1.197835981085201183e+03
1.287000000000000000e+03,1.344311021652831869e+03
1.553500000000000000e+03,1.550961651383812750e+03
1.823500000000000000e+03,1.766113124322764861e+03
2.077000000000000000e+03,1.935549092042491566e+03
2.336000000000000000e+03,2.076861480664258124e+03
2.584000000000000000e+03,2.263148108443102046e+03
2.836500000000000000e+03,2.474060429841049427e+03
3.119000000000000000e+03,2.617418080469388315e+03
3.369000000000000000e+03,2.839115568117937983e+03
3.602500000000000000e+03,2.955476984231101142e+03
3.852000000000000000e+03,3.085636940446827793e+03
4.110000000000000000e+03,3.329116417135339816e+03
4.366500000000000000e+03,3.401241798819974520e+03
4.622500000000000000e+03,3.686457879728435273e+03
2.245000000000000000e+02,6.180181214460272940e+02
4.920000000000000000e+02,8.273561135415801573e+02
7.750000000000000000e+02,1.035383008195635512e+03
1.015500000000000000e+03,1.147494322308514484e+03
1.313000000000000000e+03,1.328702170012067199e+03
1.577500000000000000e+03,1.525085495216392928e+03
1.823000000000000000e+03,1.774923713019368734e+03
2.079500000000000000e+03,1.878471380627818462e+03
2.335500000000000000e+03,2.079003233146790990e+03
2.587500000000000000e+03,2.238227072329405473e+03
2.849000000000000000e+03,2.476291969104956024e+03
3.126000000000000000e+03,2.600943248466777277e+03
3.351500000000000000e+03,2.805805564300353126e+03
3.623500000000000000e+03,3.024963342262984497e+03
3.858500000000000000e+03,3.062677690190615976e+03
4.108000000000000000e+03,3.283414051801538335e+03
4.342500000000000000e+03,3.401662613549230628e+03
4.602500000000000000e+03,3.579239593548401899e+03
2.525000000000000000e+02,7.418046451355527324e+02
5.200000000000000000e+02,8.595744265551985563e+02
7.880000000000000000e+02,1.015693331787646457e+03
1.035500000000000000e+03,1.308065451175292310e+03
1.287500000000000000e+03,1.360409986585129445e+03
1.570500000000000000e+03,1.509239243940585311e+03
1.828000000000000000e+03,1.731196336817885367e+03
2.085500000000000000e+03,1.896967954380898846e+03
2.351500000000000000e+03,2.077565924817209179e+03
2.620500000000000000e+03,2.228777996714612073e+03
2.876500000000000000e+03,2.525958766990821914e+03
3.105000000000000000e+03,2.739898175716979040e+03
3.343000000000000000e+03,2.676189274317486706e+03
3.619000000000000000e+03,2.840114864599018347e+03
3.877000000000000000e+03,2.997077099854494008e+03
4.127000000000000000e+03,3.200264705308020439e+03
4.375000000000000000e+03,3.419920483465676625e+03
4.645000000000000000e+03,3.571490984841605496e+03
2.505000000000000000e+02,6.212095383423139765e+02
5.380000000000000000e+02,8.531502419422505454e+02
7.725000000000000000e+02,1.028317053684175562e+03
1.046500000000000000e+03,1.233849441789307321e+03
1.276500000000000000e+03,1.363056436862963665e+03
1.567500000000000000e+03,1.538217010728596733e+03
1.820500000000000000e+03,1.711733957825082825e+03
2.078500000000000000e+03,1.997847191060737259e+03
2.346000000000000000e+03,2.017282919904231903e+03
2.602500000000000000e+03,2.261817783148651870e+03
2.854000000000000000e+03,2.409700046624696370e+03
3.094500000000000000e+03,2.617630780480185877e+03
3.361500000000000000e+03,2.683866589519652280e+03
3.601000000000000000e+03,2.842447046701167892e+03
3.841500000000000000e+03,3.017406727679088362e+03
4.111000000000000000e+03,3.393063015063642979e+03
4.375500000000000000e+03,3.369563132217611383e+03
4.634000000000000000e+03,3.566522180999385910e+03
2.480000000000000000e+02,5.852114181672782252e+02
5.295000000000000000e+02,8.762315040143030274e+02
7.810000000000000000e+02,9.867300148474018897e+02
1.044500000000000000e+03,1.188016460147511452e+03
1.302500000000000000e+03,1.310875234607844504e+03
1.591500000000000000e+03,1.490564081744459372e+03
1.820000000000000000e+03,1.706675153564183347e+03
2.081000000000000000e+03,1.820157602006825527e+03
2.345500000000000000e+03,2.013194648109148602e+03
2.606000000000000000e+03,2.168454167978092755e+03
2.866500000000000000e+03,2.419114768775945777e+03
3.101500000000000000e+03,2.607408424582947646e+03
3.344000000000000000e+03,2.671076109908030048e+03
3.622000000000000000e+03,2.936572438069209056e+03
3.848000000000000000e+03,3.009322556928066206e+03
4.109000000000000000e+03,3.196274400626887655e+03
4.351500000000000000e+03,3.369403490745852650e+03
4.614000000000000000e+03,3.484170971420305250e+03
2.270000000000000000e+02,6.640987174258417554e+02
4.820000000000000000e+02,7.740718964856012008e+02
7.355000000000000000e+02,9.700927296655424925e+02
1.004000000000000000e+03,1.171738278103495986e+03
1.255000000000000000e+03,1.298258091356678051e+03
1.517000000000000000e+03,1.479918805822350123e+03
1.797500000000000000e+03,1.662788428702548117e+03
2.043000000000000000e+03,1.829195357836088078e+03
2.306500000000000000e+03,1.978029575438697520e+03
2.558000000000000000e+03,2.153860574634805744e+03
2.806500000000000000e+03,2.313611766464345237e+03
3.071500000000000000e+03,2.487473352009556493e+03
3.304500000000000000e+03,2.636066114109755290e+03
3.557000000000000000e+03,2.803409944677198382e+03
3.804500000000000000e+03,2.984085225119727511e+03
4.042000000000000000e+03,3.204342525253715394e+03
4.315500000000000000e+03,3.288751621412214718e+03
4.568000000000000000e+03,3.463197988173025806e+03
2.245000000000000000e+02,6.893933723407948264e+02
4.735000000000000000e+02,8.194339106369445744e+02
7.440000000000000000e+02,9.857894474685845125e+02
1.002000000000000000e+03,1.133618062833251543e+03
1.281000000000000000e+03,1.325558971319370585e+03
1.541000000000000000e+03,1.494475997291256135e+03
1.797000000000000000e+03,1.649628818475198159e+03
2.045500000000000000e+03,1.829092583682335544e+03
2.306000000000000000e+03,2.134525847031432932e+03
2.561500000000000000e+03,2.159779840879387393e+03
2.819000000000000000e+03,2.324770268730457701e+03
3.078500000000000000e+03,2.534249710314760250e+03
3.287000000000000000e+03,2.633922778294191176e+03
3.578000000000000000e+03,3.042772090070123340e+03
3.811000000000000000e+03,3.003532704716436911e+03
4.040000000000000000e+03,3.109199769840914996e+03
4.291500000000000000e+03,3.295143750493266452e+03
4.548000000000000000e+03,3.565313203331164459e+03
2.225000000000000000e+02,6.083596677186327497e+02
4.915000000000000000e+02,8.169004081286458359e+02
7.285000000000000000e+02,1.002859170462129669e+03
1.013000000000000000e+03,1.152094690410073781e+03
1.270000000000000000e+03,1.363165670670585541e+03
1.538000000000000000e+03,1.490278358076655422e+03
1.789500000000000000e+03,1.668352512596293082e+03
2.038500000000000000e+03,1.939648598036028716e+03
2.300500000000000000e+03,2.091664793490885131e+03
2.543500000000000000e+03,2.212908844529904854e+03
2.796500000000000000e+03,2.363844798076973802e+03
3.068000000000000000e+03,2.504264013060435445e+03
3.305500000000000000e+03,2.704270490494887781e+03
3.560000000000000000e+03,3.035371867260497311e+03
3.775500000000000000e+03,3.045926233869540283e+03
4.024000000000000000e+03,3.248820217214981312e+03
4.292000000000000000e+03,3.286282055237544682e+03
4.537000000000000000e+03,3.537016047681207056e+03
