signal_DN,var_single_DN2
-5.000000000000000000e-01,1.055286687218446984e+00
-5.000000000000000000e-01,1.134076939420883834e+00
1.500000000000000000e+00,1.170986035489195887e+00
1.500000000000000000e+00,1.725457235414411317e+00
2.000000000000000000e+00,1.162291724510794211e+00
3.500000000000000000e+00,1.393273395623132460e+00
4.500000000000000000e+00,1.295118172024803505e+00
5.500000000000000000e+00,1.475267199047689104e+00
7.000000000000000000e+00,1.288952907931586234e+00
7.000000000000000000e+00,1.541195016728236000e+00
8.500000000000000000e+00,1.537908190096282546e+00
9.500000000000000000e+00,1.575437916589386811e+00
9.500000000000000000e+00,1.411469936419390336e+00
1.100000000000000000e+01,1.550703154395221883e+00
1.150000000000000000e+01,1.534867545532175193e+00
1.350000000000000000e+01,1.579689759591788922e+00
1.500000000000000000e+01,1.470366897087450164e+00
1.550000000000000000e+01,1.514683622251334238e+00
1.650000000000000000e+01,1.783918899878820685e+00
1.650000000000000000e+01,1.908846568254519038e+00
1.950000000000000000e+01,2.113741552907319132e+00
1.800000000000000000e+01,1.871687158541874618e+00
1.900000000000000000e+01,1.859084875246934221e+00
2.100000000000000000e+01,1.493745481236426365e+00
2.350000000000000000e+01,1.569688810446994154e+00
2.350000000000000000e+01,1.635734550329557502e+00
2.400000000000000000e+01,1.767442224340434187e+00
2.550000000000000000e+01,2.093321225753078885e+00
2.700000000000000000e+01,1.877629843266512388e+00
2.700000000000000000e+01,2.063010470627260950e+00
2.750000000000000000e+01,2.025371029572853754e+00
2.950000000000000000e+01,2.053725654207667173e+00
3.200000000000000000e+01,1.852263077143936121e+00
3.200000000000000000e+01,1.770976481216351095e+00
3.250000000000000000e+01,1.786375364258332654e+00
3.450000000000000000e+01,2.048267895459713550e+00
3.550000000000000000e+01,2.026748216117701062e+00
3.550000000000000000e+01,2.439477578788172174e+00
3.600000000000000000e+01,1.858039984538700784e+00
3.800000000000000000e+01,2.020671896600140460e+00
3.950000000000000000e+01,2.111170139259198386e+00
4.050000000000000000e+01,1.908492873330611905e+00
4.250000000000000000e+01,2.163238939507845071e+00
4.250000000000000000e+01,2.085964474321567064e+00
4.400000000000000000e+01,2.099083417817913855e+00
4.400000000000000000e+01,2.079787782371720795e+00
4.650000000000000000e+01,2.129721682808110028e+00
4.800000000000000000e+01,2.326939351819365065e+00
4.800000000000000000e+01,2.785385188632174547e+00
4.750000000000000000e+01,2.562424971104130478e+00
5.050000000000000000e+01,2.145354574558187455e+00
5.050000000000000000e+01,2.149421280057930872e+00
5.150000000000000000e+01,2.412863419815332477e+00
5.400000000000000000e+01,2.108041733022539166e+00
5.450000000000000000e+01,2.403654410072403547e+00
5.500000000000000000e+01,2.363096993846846239e+00
5.600000000000000000e+01,2.373075407615979238e+00
5.750000000000000000e+01,2.626275335810872136e+00
5.800000000000000000e+01,2.387676467990285101e+00
5.950000000000000000e+01,2.217076557989063446e+00
6.000000000000000000e+01,2.324500399943289164e+00
6.100000000000000000e+01,2.288319738617761168e+00
6.300000000000000000e+01,2.413320624257067060e+00
6.300000000000000000e+01,2.494803434235083550e+00
6.400000000000000000e+01,2.494017205680675087e+00
6.550000000000000000e+01,2.364889044134755647e+00
6.650000000000000000e+01,2.593125338205884756e+00
6.750000000000000000e+01,2.569940911620482105e+00
6.850000000000000000e+01,2.411737742846693511e+00
6.850000000000000000e+01,2.878927168522285918e+00
7.050000000000000000e+01,3.144255706534150097e+00
7.000000000000000000e+01,2.805377828100799942e+00
7.150000000000000000e+01,2.462634554514389951e+00
7.250000000000000000e+01,2.495073970338750780e+00
7.500000000000000000e+01,2.513440889500730524e+00
7.550000000000000000e+01,2.831087410193082299e+00
7.600000000000000000e+01,2.599751898051125831e+00
7.750000000000000000e+01,2.958503295863739613e+00
8.000000000000000000e+01,2.559512578374449898e+00
8.050000000000000000e+01,2.756062744179172519e+00
8.150000000000000000e+01,2.598429012775797631e+00
8.150000000000000000e+01,2.621846502294622461e+00
8.250000000000000000e+01,2.825974942786189992e+00
8.350000000000000000e+01,3.231888566641764715e+00
8.400000000000000000e+01,2.903923635842641016e+00
8.500000000000000000e+01,3.024144222702568108e+00
8.700000000000000000e+01,2.790931172559546702e+00
8.950000000000000000e+01,3.261500005776456934e+00
8.900000000000000000e+01,2.769540759425151766e+00
8.950000000000000000e+01,2.857970955090956000e+00
9.200000000000000000e+01,3.142376794138180607e+00
9.350000000000000000e+01,2.937265326374181917e+00
9.400000000000000000e+01,3.147594500050705513e+00
9.600000000000000000e+01,2.967814811228838057e+00
9.600000000000000000e+01,3.323638542617195046e+00
9.700000000000000000e+01,3.006450924178485806e+00
9.900000000000000000e+01,3.101020859528495599e+00
1.000000000000000000e+02,3.183959946850787759e+00
1.020000000000000000e+02,3.105252825116084026e+00
1.010000000000000000e+02,3.295678240680382842e+00
1.025000000000000000e+02,3.012927495671494871e+00
