signal_DN,var_single_DN2
2.610000000000000000e+02,6.213027911218790678e+02
5.295000000000000000e+02,7.571208065361870467e+02
7.705000000000000000e+02,9.874785693405715392e+02
1.029000000000000000e+03,1.107697016412186713e+03
1.307500000000000000e+03,1.314139978809934973e+03
1.567000000000000000e+03,1.463476856398622658e+03
1.808500000000000000e+03,1.644335225536612370e+03
2.054000000000000000e+03,1.812808061828899554e+03
2.339000000000000000e+03,1.969234498291826640e+03
2.582500000000000000e+03,2.127953090852562127e+03
2.510000000000000000e+02,5.538180818332416493e+02
5.345000000000000000e+02,7.633942163979205588e+02
7.455000000000000000e+02,9.595684808832985482e+02
1.016500000000000000e+03,1.105512397951514913e+03
1.272000000000000000e+03,1.262707523420706138e+03
1.530500000000000000e+03,1.508225382515827505e+03
1.775000000000000000e+03,1.599813737178166548e+03
2.013500000000000000e+03,1.766854905294941091e+03
2.267000000000000000e+03,1.959362958154568560e+03
2.534500000000000000e+03,2.148564742507393021e+03
2.365000000000000000e+02,6.488906745847086768e+02
5.065000000000000000e+02,7.807456522779860961e+02
7.465000000000000000e+02,1.000611719138063222e+03
1.013500000000000000e+03,1.084641951598885271e+03
1.256000000000000000e+03,1.339152326503065524e+03
1.492000000000000000e+03,1.517270228429354802e+03
1.755000000000000000e+03,1.687304082499184005e+03
2.003500000000000000e+03,1.873619934587881744e+03
2.272000000000000000e+03,2.034015586775512475e+03
2.536500000000000000e+03,2.248491051166419311e+03
2.320000000000000000e+02,6.902095457423121161e+02
4.860000000000000000e+02,7.876261003178103692e+02
7.470000000000000000e+02,1.037686273348095028e+03
1.007500000000000000e+03,1.122432585813787000e+03
1.248500000000000000e+03,1.418259417421793842e+03
1.492500000000000000e+03,1.491954795311293083e+03
1.747000000000000000e+03,1.610303909073016939e+03
2.009000000000000000e+03,1.885714025024907642e+03
2.246500000000000000e+03,2.040110771381817131e+03
2.511000000000000000e+03,2.156544749423087978e+03
2.340000000000000000e+02,6.565183637667108769e+02
4.845000000000000000e+02,7.573118367848969683e+02
7.420000000000000000e+02,9.037430514515892810e+02
1.018500000000000000e+03,1.082459533575764681e+03
1.235000000000000000e+03,1.253953933750992292e+03
1.479000000000000000e+03,1.418094489450659694e+03
1.756000000000000000e+03,1.592403877911656764e+03
1.991000000000000000e+03,1.694914628783974422e+03
2.228000000000000000e+03,1.929427376443552021e+03
2.506000000000000000e+03,2.150923362311360506e+03
2.525000000000000000e+02,6.203267322093220173e+02
4.915000000000000000e+02,7.356343338924514228e+02
7.460000000000000000e+02,8.893826921038564706e+02
1.014000000000000000e+03,1.063032320858178537e+03
1.232500000000000000e+03,1.254823817788758561e+03
1.476500000000000000e+03,1.391942341399683073e+03
1.727500000000000000e+03,1.630133758319611843e+03
1.952000000000000000e+03,1.718400806211491499e+03
2.230500000000000000e+03,1.947283701828290987e+03
2.469000000000000000e+03,2.180555504491027932e+03
2.560000000000000000e+02,5.591024088479450711e+02
5.045000000000000000e+02,7.163865521445356990e+02
7.450000000000000000e+02,8.864681275862888015e+02
9.945000000000000000e+02,1.077392576239265509e+03
1.245500000000000000e+03,1.243178671790281669e+03
1.478500000000000000e+03,1.381784340220631975e+03
1.727500000000000000e+03,1.595254633043435433e+03
1.968500000000000000e+03,1.752078465447726103e+03
2.230000000000000000e+03,1.907158371129136640e+03
2.448000000000000000e+03,2.058376052395509305e+03
2.185000000000000000e+02,6.397637042224780544e+02
4.950000000000000000e+02,7.120881065127615557e+02
7.290000000000000000e+02,8.762401264413068702e+02
9.815000000000000000e+02,1.071245118501600473e+03
1.213500000000000000e+03,1.238806290196957889e+03
1.462000000000000000e+03,1.419133390731621375e+03
1.702500000000000000e+03,1.678458300939329774e+03
1.973500000000000000e+03,1.749230949177900129e+03
2.226000000000000000e+03,1.929828119949116626e+03
2.466000000000000000e+03,2.092637317916630309e+03
2.155000000000000000e+02,6.706767063183253867e+02
4.830000000000000000e+02,7.554940415474462725e+02
7.230000000000000000e+02,9.178766471018864195e+02
9.790000000000000000e+02,1.433529974991062772e+03
1.215000000000000000e+03,1.280045014683863883e+03
1.454500000000000000e+03,1.598731435657449993e+03
1.685500000000000000e+03,1.842443090986566403e+03
1.964000000000000000e+03,1.812548142711576475e+03
2.194500000000000000e+03,2.034636417366677961e+03
2.445000000000000000e+03,2.141426195967541389e+03
