signal_DN,var_single_DN2
3.150000000000000000e+01,3.821357341178468481e+00
6.000000000000000000e+01,3.826501979006939447e+00
9.050000000000000000e+01,3.994831634435124457e+00
1.195000000000000000e+02,5.260339465312432239e+00
1.510000000000000000e+02,5.062594503126561563e+00
1.810000000000000000e+02,5.350555444259610383e+00
2.100000000000000000e+02,6.266367668743060726e+00
2.415000000000000000e+02,6.861964134987831976e+00
2.700000000000000000e+02,7.121511031965576777e+00
2.990000000000000000e+02,8.125321568668191219e+00
3.290000000000000000e+02,8.417088371204490826e+00
3.580000000000000000e+02,8.731876979007610728e+00
3.885000000000000000e+02,9.786687631898963957e+00
4.175000000000000000e+02,9.503922108805967994e+00
4.460000000000000000e+02,1.019228994358152107e+01
4.755000000000000000e+02,1.044312299629216589e+01
5.050000000000000000e+02,1.105655011979582625e+01
5.340000000000000000e+02,1.124094231859065118e+01
5.635000000000000000e+02,1.252824187432778480e+01
5.910000000000000000e+02,1.214075680970777782e+01
6.205000000000000000e+02,1.275327164902297206e+01
6.490000000000000000e+02,1.363116053843564757e+01
6.770000000000000000e+02,1.321658111550686066e+01
7.055000000000000000e+02,1.393467135173079186e+01
7.350000000000000000e+02,1.443085413095386116e+01
7.620000000000000000e+02,1.470992326396391014e+01
7.920000000000000000e+02,1.477060996298531492e+01
8.190000000000000000e+02,1.541149407830373264e+01
8.485000000000000000e+02,1.609024766763689129e+01
8.755000000000000000e+02,1.618230163911828257e+01
9.055000000000000000e+02,1.697364731810062466e+01
9.310000000000000000e+02,1.719069254640938027e+01
9.590000000000000000e+02,1.722486078350246785e+01
9.885000000000000000e+02,1.767780601964062015e+01
1.017000000000000000e+03,1.818936917024623057e+01
1.043000000000000000e+03,1.849915133992961103e+01
1.070500000000000000e+03,1.895232394999863601e+01
1.097500000000000000e+03,1.931645251161859278e+01
1.126000000000000000e+03,1.952047293447425602e+01
1.154000000000000000e+03,2.021910912415671291e+01
1.180000000000000000e+03,2.048971058466172934e+01
1.209000000000000000e+03,2.043856237946256726e+01
1.235000000000000000e+03,2.078329490660260603e+01
1.263000000000000000e+03,2.100057801799917101e+01
1.289500000000000000e+03,2.119985206330114380e+01
1.317500000000000000e+03,2.146689427469711475e+01
1.344000000000000000e+03,2.189922603942734369e+01
1.370000000000000000e+03,2.190097032918466269e+01
1.396000000000000000e+03,2.259254579749928382e+01
1.423000000000000000e+03,2.317672533434229720e+01
