signal_DN,var_single_DN2
1.450000000000000000e+01,1.058529154787087645e+00
3.000000000000000000e+01,1.482175686910133683e+00
4.750000000000000000e+01,1.898245888771283196e+00
6.250000000000000000e+01,2.371200604520898647e+00
8.000000000000000000e+01,2.802255229955706639e+00
9.350000000000000000e+01,3.135875874359231652e+00
1.115000000000000000e+02,3.648115824049795286e+00
1.280000000000000000e+02,4.024949484895357976e+00
1.425000000000000000e+02,4.315188297113881966e+00
1.580000000000000000e+02,4.843417682311001116e+00
1.730000000000000000e+02,5.260361141270377239e+00
1.885000000000000000e+02,5.728747422461784922e+00
2.060000000000000000e+02,6.111569315052102880e+00
2.215000000000000000e+02,6.465358579465039668e+00
2.380000000000000000e+02,6.918518779893280346e+00
2.550000000000000000e+02,7.361804691387278332e+00
2.690000000000000000e+02,7.730569361742289480e+00
2.855000000000000000e+02,8.220074654735757491e+00
3.000000000000000000e+02,8.588645014458714755e+00
3.195000000000000000e+02,8.967179822817705315e+00
3.340000000000000000e+02,9.462105983054792446e+00
3.485000000000000000e+02,9.810282186452074171e+00
3.660000000000000000e+02,1.013923784882487666e+01
3.815000000000000000e+02,1.047536859019572653e+01
3.990000000000000000e+02,1.103133615487301178e+01
4.130000000000000000e+02,1.136260935092219526e+01
4.280000000000000000e+02,1.174243418218458146e+01
4.465000000000000000e+02,1.203452090864146840e+01
4.625000000000000000e+02,1.260315189358469823e+01
4.755000000000000000e+02,1.293170619270089006e+01
4.920000000000000000e+02,1.326828080035466328e+01
5.075000000000000000e+02,1.357859301825805609e+01
5.245000000000000000e+02,1.387703532166070453e+01
5.420000000000000000e+02,1.449888548600027427e+01
5.555000000000000000e+02,1.484508790561088709e+01
5.715000000000000000e+02,1.517731405534096822e+01
5.875000000000000000e+02,1.553508350846501429e+01
6.030000000000000000e+02,1.609645347513781033e+01
6.195000000000000000e+02,1.642647606038970665e+01
6.340000000000000000e+02,1.683145571304579136e+01
6.500000000000000000e+02,1.712483826825726752e+01
6.675000000000000000e+02,1.732301037397221677e+01
6.825000000000000000e+02,1.767923195199670516e+01
6.985000000000000000e+02,1.829673474764504348e+01
7.125000000000000000e+02,1.870956351267034279e+01
7.305000000000000000e+02,1.893616799419135077e+01
7.440000000000000000e+02,1.920090957262165077e+01
7.610000000000000000e+02,1.962617548259481381e+01
7.775000000000000000e+02,2.016144238445993508e+01
7.925000000000000000e+02,2.046432140514433584e+01
1.600000000000000000e+01,1.036486208012229904e+00
3.200000000000000000e+01,1.474458889935967854e+00
4.950000000000000000e+01,1.858036669703523547e+00
6.500000000000000000e+01,2.318226213541872305e+00
8.000000000000000000e+01,2.815830603229910079e+00
9.600000000000000000e+01,3.144127703647016325e+00
1.110000000000000000e+02,3.668335960443780852e+00
1.290000000000000000e+02,3.987929323711572938e+00
1.440000000000000000e+02,4.323236555935459968e+00
1.575000000000000000e+02,4.879714910545732920e+00
1.730000000000000000e+02,5.247296455681706995e+00
1.915000000000000000e+02,5.708666624760564190e+00
2.100000000000000000e+02,6.088935063671231163e+00
2.245000000000000000e+02,6.488427597711057260e+00
2.400000000000000000e+02,6.988262114164618843e+00
2.565000000000000000e+02,7.367438459500328385e+00
2.720000000000000000e+02,7.709274574439081817e+00
2.870000000000000000e+02,8.252515155900866262e+00
3.005000000000000000e+02,8.599849438280861236e+00
3.175000000000000000e+02,8.980276717668862929e+00
3.350000000000000000e+02,9.481236527014221593e+00
3.495000000000000000e+02,9.891555537496520500e+00
3.655000000000000000e+02,1.019745043069603163e+01
3.800000000000000000e+02,1.049850722144918613e+01
3.990000000000000000e+02,1.104268214374570078e+01
4.130000000000000000e+02,1.134846933014566162e+01
4.285000000000000000e+02,1.170640903627039364e+01
4.485000000000000000e+02,1.207380775205040635e+01
4.635000000000000000e+02,1.259345516316903790e+01
4.770000000000000000e+02,1.286600062003671141e+01
