signal_DN,var_single_DN2
1.900000000000000000e+01,1.046874584305979461e+00
3.500000000000000000e+01,1.521166769024527188e+00
5.050000000000000000e+01,2.010448490840540003e+00
6.600000000000000000e+01,2.447597968806044300e+00
8.650000000000000000e+01,2.931175865854606322e+00
1.020000000000000000e+02,3.358790604696594073e+00
1.170000000000000000e+02,3.893255686306975161e+00
1.345000000000000000e+02,4.238166879301243029e+00
1.510000000000000000e+02,4.728805734174979847e+00
1.690000000000000000e+02,5.187386341704166348e+00
1.870000000000000000e+02,5.695706395080541995e+00
2.000000000000000000e+02,6.139858187583645766e+00
2.190000000000000000e+02,6.491355965672896744e+00
2.335000000000000000e+02,7.063583175642301093e+00
2.510000000000000000e+02,7.463167840441323087e+00
2.675000000000000000e+02,8.070233611842555277e+00
2.870000000000000000e+02,8.490063060037638110e+00
3.005000000000000000e+02,8.786859583122343054e+00
3.190000000000000000e+02,9.119870257502661559e+00
3.350000000000000000e+02,9.685962183956361216e+00
3.475000000000000000e+02,1.009989975495656722e+01
3.735000000000000000e+02,1.039680303204041678e+01
3.870000000000000000e+02,1.105443494412935834e+01
3.975000000000000000e+02,1.139885000188722586e+01
4.165000000000000000e+02,1.177492454262778310e+01
4.335000000000000000e+02,1.214006588944965337e+01
4.495000000000000000e+02,1.272783156151407269e+01
4.640000000000000000e+02,1.313022262594462397e+01
4.835000000000000000e+02,1.357793618196339303e+01
4.990000000000000000e+02,1.396045671376579733e+01
5.175000000000000000e+02,1.451035927618382182e+01
5.370000000000000000e+02,1.487340061203436647e+01
5.510000000000000000e+02,1.522048975531524206e+01
5.665000000000000000e+02,1.562438457314603824e+01
5.825000000000000000e+02,1.614197115756006085e+01
6.005000000000000000e+02,1.655894828929612572e+01
6.145000000000000000e+02,1.683054566352398851e+01
6.320000000000000000e+02,1.729948305228105454e+01
6.550000000000000000e+02,1.767630999829622951e+01
6.745000000000000000e+02,1.829397727423699038e+01
6.905000000000000000e+02,1.872076341176921943e+01
7.080000000000000000e+02,1.895417510041837872e+01
7.200000000000000000e+02,1.938228570754215596e+01
7.345000000000000000e+02,1.974686969581882678e+01
7.510000000000000000e+02,2.031913047127009264e+01
7.665000000000000000e+02,2.064086518036997120e+01
7.835000000000000000e+02,2.112394220130332556e+01
7.995000000000000000e+02,2.150228738359604463e+01
8.145000000000000000e+02,2.178963851995657564e+01
8.305000000000000000e+02,2.242346874666158385e+01
2.050000000000000000e+01,1.055554844198339559e+00
3.500000000000000000e+01,1.545709208476220953e+00
5.450000000000000000e+01,1.910057591894559703e+00
7.050000000000000000e+01,2.416357170554356504e+00
9.100000000000000000e+01,2.953908571926053384e+00
1.065000000000000000e+02,3.372386537714429977e+00
1.200000000000000000e+02,3.888516570394603189e+00
1.350000000000000000e+02,4.254043172573902076e+00
1.540000000000000000e+02,4.746392157426477354e+00
1.710000000000000000e+02,5.192353241088922822e+00
1.885000000000000000e+02,5.702448456765459639e+00
2.015000000000000000e+02,6.129829514471661689e+00
2.220000000000000000e+02,6.515803336942276758e+00
2.375000000000000000e+02,7.031484520716344555e+00
2.535000000000000000e+02,7.468899634441880764e+00
2.695000000000000000e+02,7.779176628521134340e+00
2.875000000000000000e+02,8.478497425262762732e+00
