signal_DN,var_single_DN2
2.800000000000000000e+01,1.544107301629886075e+00
5.150000000000000000e+01,2.438688406051612745e+00
7.950000000000000000e+01,3.255634006886458653e+00
1.040000000000000000e+02,3.617671670991461585e+00
1.300000000000000000e+02,4.107263993918836675e+00
1.590000000000000000e+02,4.822898562913370490e+00
1.820000000000000000e+02,5.893644427586287371e+00
2.100000000000000000e+02,6.267056493549701734e+00
2.360000000000000000e+02,7.241904761538267010e+00
2.615000000000000000e+02,7.476243927043362270e+00
2.885000000000000000e+02,8.190146585754421338e+00
3.150000000000000000e+02,9.213124166275033389e+00
3.410000000000000000e+02,9.507682945372431860e+00
3.635000000000000000e+02,1.039622400148658521e+01
3.915000000000000000e+02,1.067982457885729097e+01
4.175000000000000000e+02,1.137326254974392903e+01
4.430000000000000000e+02,1.228026846718344345e+01
4.685000000000000000e+02,1.293466567850467364e+01
4.950000000000000000e+02,1.349924486192530360e+01
5.195000000000000000e+02,1.486052161519799597e+01
5.460000000000000000e+02,1.447686940675613876e+01
5.705000000000000000e+02,1.479892192678569529e+01
5.965000000000000000e+02,1.530761562131891296e+01
6.225000000000000000e+02,1.610745503174127080e+01
6.485000000000000000e+02,1.723828352976234868e+01
6.740000000000000000e+02,1.709718077583750073e+01
7.000000000000000000e+02,1.773612543342790815e+01
2.500000000000000000e+01,2.223879776507901251e+00
5.250000000000000000e+01,3.136343954340285123e+00
7.850000000000000000e+01,4.136832079357922964e+00
1.045000000000000000e+02,4.022252344534991586e+00
1.290000000000000000e+02,4.290010729424204250e+00
1.595000000000000000e+02,5.031045911541712989e+00
1.860000000000000000e+02,6.396549758466661295e+00
2.090000000000000000e+02,6.352157443834886230e+00
2.365000000000000000e+02,7.578475519096490309e+00
2.615000000000000000e+02,7.447204390804042617e+00
2.885000000000000000e+02,8.422448905455063084e+00
3.160000000000000000e+02,1.003091043729994603e+01
3.405000000000000000e+02,9.743527485501244811e+00
3.660000000000000000e+02,1.029678624163779865e+01
3.920000000000000000e+02,1.094779054037377364e+01
4.190000000000000000e+02,1.140859042161931214e+01
4.440000000000000000e+02,1.217163303736277591e+01
4.705000000000000000e+02,1.300403146844025137e+01
4.955000000000000000e+02,1.434751555373276588e+01
5.215000000000000000e+02,1.479236690024123035e+01
5.475000000000000000e+02,1.463206506880355917e+01
5.715000000000000000e+02,1.535243077136292911e+01
5.985000000000000000e+02,1.562007653574930366e+01
6.240000000000000000e+02,1.612887783651120444e+01
6.470000000000000000e+02,1.675664949767121570e+01
6.750000000000000000e+02,1.720086761773482564e+01
7.000000000000000000e+02,1.873023993283025490e+01
2.600000000000000000e+01,3.036265983162344639e+00
5.550000000000000000e+01,3.299319215462726884e+00
8.000000000000000000e+01,5.725706181779068871e+00
1.075000000000000000e+02,4.103013640957371422e+00
1.320000000000000000e+02,6.859521794197980249e+00
1.585000000000000000e+02,4.940422620806796061e+00
1.875000000000000000e+02,8.823814756426585859e+00
2.110000000000000000e+02,6.988392626877318214e+00
2.390000000000000000e+02,1.039053360392997583e+01
2.635000000000000000e+02,8.532792189668315430e+00
2.900000000000000000e+02,9.561577051070893063e+00
3.160000000000000000e+02,9.632605017319336937e+00
3.420000000000000000e+02,1.182899382186237602e+01
3.690000000000000000e+02,1.058013286602789549e+01
3.955000000000000000e+02,1.126096147331328368e+01
4.205000000000000000e+02,1.226444690205828358e+01
4.450000000000000000e+02,1.441253831470680957e+01
4.730000000000000000e+02,1.302563517888816591e+01
4.990000000000000000e+02,1.517067378086566620e+01
5.250000000000000000e+02,1.451261290315725994e+01
5.490000000000000000e+02,1.629236425772326413e+01
5.740000000000000000e+02,1.698188423825489579e+01
6.005000000000000000e+02,1.664170222126211840e+01
6.270000000000000000e+02,1.643763999316637836e+01
6.485000000000000000e+02,1.766592528862374678e+01
6.765000000000000000e+02,1.845813409987743725e+01
7.025000000000000000e+02,2.083048156788840544e+01
2.900000000000000000e+01,2.730678707972809871e+00
5.550000000000000000e+01,2.905050001463907350e+00
8.100000000000000000e+01,3.677084197370258600e+00
1.090000000000000000e+02,4.053182949902714327e+00
1.340000000000000000e+02,5.176133279278403165e+00
1.585000000000000000e+02,5.299301549086525398e+00
1.865000000000000000e+02,7.041520139491435515e+00
2.120000000000000000e+02,7.789707143526777067e+00
2.390000000000000000e+02,8.308408081232375508e+00
2.650000000000000000e+02,8.030577878951296711e+00
2.900000000000000000e+02,9.942084005562234594e+00
3.155000000000000000e+02,8.906631528325783975e+00
