signal_DN,var_single_DN2
1.453073120117187500e+01,9.294800517495085401e-01
2.940760803222656250e+01,1.304212578277422097e+00
4.471354675292968750e+01,1.685992944440878771e+00
5.925926208496093750e+01,2.084399042414745384e+00
7.373625183105468750e+01,2.452385867840006561e+00
8.992987060546875000e+01,2.822040134335884964e+00
1.043790168762207031e+02,3.175525117051345880e+00
1.191218872070312500e+02,3.482866709440735953e+00
1.335707550048828125e+02,3.889568673717429981e+00
1.490208587646484375e+02,4.228655835291388776e+00
1.635613174438476562e+02,4.623776017921332304e+00
1.788726272583007812e+02,4.941462731519937535e+00
1.928259124755859375e+02,5.312782018155473018e+00
2.079820899963378906e+02,5.682342731992667595e+00
2.222300415039062500e+02,5.993472156073963220e+00
2.372489929199218750e+02,6.345443809191706919e+00
2.520895996093750000e+02,6.732572431365450250e+00
2.667720031738281250e+02,7.051555111469317794e+00
2.816366348266601562e+02,7.378578810150624889e+00
2.960990905761718750e+02,7.669351814007068668e+00
3.108082580566406250e+02,8.085712938893472312e+00
3.254498291015625000e+02,8.378161982519062079e+00
3.395224456787109375e+02,8.729426536584801610e+00
3.543071441650390625e+02,9.004170231098969523e+00
3.687448730468750000e+02,9.443392128864527280e+00
3.832998199462890625e+02,9.766353569533748669e+00
3.977295722961425781e+02,1.011101992673385830e+01
4.124529762268066406e+02,1.038709368626424379e+01
4.269805450439453125e+02,1.068362089662617542e+01
4.417224578857421875e+02,1.112248615967073562e+01
4.558874511718750000e+02,1.148241273946663732e+01
4.705971984863281250e+02,1.172466632775151041e+01
4.848148956298828125e+02,1.204869067231983060e+01
4.997186889648437500e+02,1.232938010479134228e+01
5.140526885986328125e+02,1.266339190863786435e+01
5.285620040893554688e+02,1.294407854120471058e+01
5.427633819580078125e+02,1.329652688006666317e+01
5.573773269653320312e+02,1.367005882016192331e+01
5.710760269165039062e+02,1.377031595980495560e+01
5.853533935546875000e+02,1.398172838444407340e+01
5.997484207153320312e+02,1.445194628350485466e+01
6.146006011962890625e+02,1.474383484078010831e+01
6.281040115356445312e+02,1.497962232320963238e+01
6.433450660705566406e+02,1.525256330181708719e+01
6.570171661376953125e+02,1.557332175056249568e+01
6.718572845458984375e+02,1.581284915636658006e+01
6.863429412841796875e+02,1.621345000518818580e+01
6.999830932617187500e+02,1.655822235774560980e+01
7.143881530761718750e+02,1.671313466072904674e+01
7.283880920410156250e+02,1.694993370819682710e+01
1.451029968261718750e+01,9.308290683196336346e-01
3.013429260253906250e+01,1.295608054060145786e+00
4.490686798095703125e+01,1.675977912093626898e+00
5.980392456054687500e+01,2.064155246261092813e+00
7.470439147949218750e+01,2.400405155875515728e+00
8.975932312011718750e+01,2.815971694916833190e+00
1.046558723449707031e+02,3.158514134134640550e+00
1.194893188476562500e+02,3.498815166795718579e+00
1.339164428710937500e+02,3.862077649517585698e+00
1.492066345214843750e+02,4.215269372879040688e+00
1.640220947265625000e+02,4.582465004728218716e+00
1.787601547241210938e+02,4.901794088124293403e+00
1.926945037841796875e+02,5.254214819280115023e+00
2.077585830688476562e+02,5.615162544273329281e+00
2.223927612304687500e+02,5.907023757854928725e+00
2.373716888427734375e+02,6.316933363288896430e+00
2.521873474121093750e+02,6.601136089659076944e+00
2.668616714477539062e+02,7.005042701979139252e+00
2.821250915527343750e+02,7.327340036228559228e+00
2.961073837280273438e+02,7.675514941337013397e+00
3.110103454589843750e+02,8.057358520351675324e+00
3.254545898437500000e+02,8.337866579581641346e+00
3.401990509033203125e+02,8.696699572605670170e+00
3.545550842285156250e+02,8.967240505509037618e+00
3.688451538085937500e+02,9.289386004242938810e+00
3.834833374023437500e+02,9.679892960545927849e+00
3.984891471862792969e+02,1.000482120967875943e+01
4.131477813720703125e+02,1.029300567901887042e+01
4.274231262207031250e+02,1.059130595802480457e+01
4.419406890869140625e+02,1.105317530684532912e+01
4.564921493530273438e+02,1.133550907399461671e+01
4.708833923339843750e+02,1.167583587421031410e+01
4.853958740234375000e+02,1.197072226719862265e+01
