signal_DN,var_single_DN2
3.156500000000000000e+03,2.875878694651824389e+03
6.294500000000000000e+03,5.089892384707011843e+03
9.326750000000000000e+03,7.033007495514152652e+03
1.248100000000000000e+04,8.859344784630407958e+03
3.142500000000000000e+03,2.831669876893288802e+03
6.297500000000000000e+03,4.878617460194446721e+03
9.331500000000000000e+03,6.817376523788849227e+03
1.246050000000000000e+04,8.561498226979616447e+03
3.133000000000000000e+03,2.869825702870659825e+03
6.241000000000000000e+03,4.903760393334020591e+03
9.295500000000000000e+03,6.947316358015943479e+03
1.241100000000000000e+04,8.586358973124768454e+03
3.145000000000000000e+03,2.822476080758329317e+03
6.204000000000000000e+03,4.972981924402344703e+03
9.298500000000000000e+03,6.934610692061082773e+03
1.240150000000000000e+04,8.593909180289605501e+03
3.151500000000000000e+03,2.815539668383385106e+03
6.257000000000000000e+03,5.026945501706910363e+03
9.327500000000000000e+03,6.972732327654081018e+03
1.240950000000000000e+04,8.518477842493361095e+03
3.153500000000000000e+03,2.830268367559193848e+03
6.252500000000000000e+03,5.030280552330533283e+03
9.307000000000000000e+03,6.987615847626196228e+03
1.237100000000000000e+04,8.566369729496142099e+03
3.132500000000000000e+03,2.826955420748700817e+03
6.224500000000000000e+03,5.198628063416990699e+03
9.295500000000000000e+03,7.059405502796417750e+03
1.238050000000000000e+04,8.653403722260947688e+03
3.127500000000000000e+03,2.851362329122916890e+03
6.249000000000000000e+03,5.182792289628911021e+03
9.305500000000000000e+03,6.930652409692719630e+03
1.238775000000000000e+04,8.653861548095404942e+03
3.129500000000000000e+03,3.129994620842202039e+03
6.229000000000000000e+03,5.047735848589933994e+03
9.292000000000000000e+03,6.967268337508632612e+03
1.235875000000000000e+04,8.709157807095980388e+03
