signal_DN,var_single_DN2
3.556500000000000000e+03,3.458664222163686645e+03
7.123500000000000000e+03,6.513349896701430225e+03
1.090250000000000000e+04,9.481266974586209471e+03
1.464650000000000000e+04,1.188549710988147308e+04
3.587500000000000000e+03,3.478745705914582231e+03
7.140000000000000000e+03,6.447319395544441250e+03
1.093150000000000000e+04,9.262581707004392229e+03
1.467650000000000000e+04,1.166225333285474699e+04
3.586000000000000000e+03,3.673694815085360460e+03
7.151500000000000000e+03,6.551676556552354668e+03
1.092250000000000000e+04,9.294327881695753604e+03
1.469100000000000000e+04,1.168637817503957922e+04
3.578000000000000000e+03,3.607160147214248354e+03
7.164500000000000000e+03,6.529452617815259146e+03
1.092900000000000000e+04,9.556358480708704519e+03
1.468950000000000000e+04,1.173008588285766564e+04
3.576500000000000000e+03,3.706345482837181407e+03
7.158500000000000000e+03,6.606578001020218835e+03
1.091700000000000000e+04,9.527534470186876206e+03
1.468250000000000000e+04,1.186193627974425181e+04
3.583000000000000000e+03,3.693327890221007237e+03
7.155500000000000000e+03,6.489717342510639355e+03
1.090700000000000000e+04,9.354189266366633092e+03
1.469150000000000000e+04,1.193300553648859204e+04
3.607500000000000000e+03,3.445864661141323722e+03
7.153000000000000000e+03,6.300029683615291106e+03
1.088700000000000000e+04,9.027526229130673528e+03
1.469450000000000000e+04,1.157027972276873516e+04
3.573000000000000000e+03,3.684534961710601237e+03
7.116000000000000000e+03,6.546326206182141505e+03
1.087900000000000000e+04,9.095367876788413923e+03
1.466900000000000000e+04,1.175582517627530797e+04
3.569500000000000000e+03,3.733106679599809922e+03
7.108500000000000000e+03,6.582152025551567021e+03
1.087500000000000000e+04,9.214915888535197155e+03
1.463400000000000000e+04,1.187152587064686850e+04
