signal_DN,var_single_DN2
3.691000000000000000e+03,3.975278792659374176e+03
7.515500000000000000e+03,6.924671086916313470e+03
1.145700000000000000e+04,9.878650006944792040e+03
1.536475000000000000e+04,1.264904507083610406e+04
3.704500000000000000e+03,4.053785230635953667e+03
7.501500000000000000e+03,6.761688923392961442e+03
1.145850000000000000e+04,9.945519576250353566e+03
1.536775000000000000e+04,1.273175380685531854e+04
3.720500000000000000e+03,3.688436525927381354e+03
7.521000000000000000e+03,6.974552778991462219e+03
1.147650000000000000e+04,9.965765230579481795e+03
1.537200000000000000e+04,1.265478437948008832e+04
3.690500000000000000e+03,3.635813532455066252e+03
7.496500000000000000e+03,7.069060774024936109e+03
1.142600000000000000e+04,9.895503414982149479e+03
1.534350000000000000e+04,1.277637163915156816e+04
3.697000000000000000e+03,3.934215937619866054e+03
7.517000000000000000e+03,7.326753637692590019e+03
1.142850000000000000e+04,1.011410923596906832e+04
1.535900000000000000e+04,1.282907988228450631e+04
3.709000000000000000e+03,3.862349590376767537e+03
7.526000000000000000e+03,7.050621331421011746e+03
1.146550000000000000e+04,1.007753262100056781e+04
1.537950000000000000e+04,1.272622187095911613e+04
3.707000000000000000e+03,3.771858258342907902e+03
7.498500000000000000e+03,6.942807697542883943e+03
1.145275000000000000e+04,1.005772651099494578e+04
1.535250000000000000e+04,1.288147318740588707e+04
3.718000000000000000e+03,3.971204434048645908e+03
7.491000000000000000e+03,6.874965666451551442e+03
1.141375000000000000e+04,9.770227771174124427e+03
1.536550000000000000e+04,1.255259290845337637e+04
3.713000000000000000e+03,3.864269070379882578e+03
7.466000000000000000e+03,6.854196329629381580e+03
1.143600000000000000e+04,9.947781967885342965e+03
1.539300000000000000e+04,1.278168681160382948e+04
