frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_deviation,initial_linear_model_DN
1.000000000000000000e+00,5.242880000000000429e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.825055555554968123e-01
2.000000000000000000e+00,1.048576000000000086e+01,1.905266611111110251e+02,1.928870253465820284e+01,0.000000000000000000e+00,1.905266611111110251e+02
3.000000000000000000e+00,1.572864000000000217e+01,3.745583055555553074e+02,3.187874380311243527e+01,1.605720965067758410e-02,3.806708166666666102e+02
4.000000000000000000e+00,2.097152000000000172e+01,5.804996666666665988e+02,4.050934960805447815e+01,1.696643381083950963e-02,5.708149722222220817e+02
5.000000000000000000e+00,2.621440000000000126e+01,7.668038777777783253e+02,4.166687991887612696e+01,7.680767319355519263e-03,7.609591277777775531e+02
6.000000000000000000e+00,3.145728000000000435e+01,9.582122277777771160e+02,4.001123960327063855e+01,7.474418992150955177e-03,9.511032833333332519e+02
7.000000000000000000e+00,3.670016000000000389e+01,1.134430522222222862e+03,4.510105371072414471e+01,5.973215303162193734e-03,1.141247438888888610e+03
8.000000000000000000e+00,4.194304000000000343e+01,1.317578511111110856e+03,4.220025200217813222e+01,1.037492154146979484e-02,1.331391594444444308e+03
9.000000000000000000e+00,4.718592000000000297e+01,1.498586566666668659e+03,5.149423102426224119e+01,1.508290773537912521e-02,1.521535749999999553e+03
1.000000000000000000e+01,5.242880000000000251e+01,1.697319905555556034e+03,4.736404101234140995e+01,8.389419045810697639e-03,1.711679905555555251e+03
1.100000000000000000e+01,5.767168000000000205e+01,1.867480672222221983e+03,4.220142535745653589e+01,1.805813144924894864e-02,1.901824061111110950e+03
1.200000000000000000e+01,6.291456000000000870e+01,2.091968216666666194e+03,4.827973371640234745e+01,2.220446049250313081e-16,2.091968216666666649e+03
