signal_DN,var_single_DN2
1.000000000000000000e+00,1.515150623293584964e+00
3.000000000000000000e+00,1.403870084786958516e+00
3.000000000000000000e+00,1.797568675951975781e+00
2.500000000000000000e+00,2.037443826506641020e+00
3.500000000000000000e+00,1.623419317839668086e+00
6.500000000000000000e+00,2.093632141818171366e+00
6.000000000000000000e+00,1.573921822159244366e+00
6.000000000000000000e+00,1.727010381169286291e+00
8.000000000000000000e+00,1.747185727710226510e+00
8.000000000000000000e+00,1.832237215270170916e+00
9.000000000000000000e+00,1.891845654280229994e+00
1.050000000000000000e+01,1.735106597139009388e+00
1.150000000000000000e+01,1.662008301043184977e+00
1.050000000000000000e+01,1.854546201488579626e+00
1.150000000000000000e+01,1.875249262002167239e+00
1.200000000000000000e+01,1.802337239157949744e+00
1.350000000000000000e+01,2.075552931188405115e+00
1.550000000000000000e+01,2.033672137412555703e+00
1.600000000000000000e+01,1.868068702659475999e+00
1.750000000000000000e+01,2.274348327546163340e+00
1.900000000000000000e+01,2.189576948684730517e+00
1.950000000000000000e+01,2.096457475051426655e+00
2.050000000000000000e+01,2.438258958096525486e+00
2.100000000000000000e+01,2.150081938822637095e+00
2.150000000000000000e+01,2.102978124884908873e+00
2.300000000000000000e+01,2.396468399660150350e+00
2.400000000000000000e+01,2.013399101031224880e+00
2.550000000000000000e+01,2.014302961214012644e+00
2.550000000000000000e+01,2.259736042740016160e+00
2.600000000000000000e+01,2.223835120150763789e+00
2.650000000000000000e+01,2.189981669912845152e+00
2.800000000000000000e+01,2.295782326004623286e+00
3.000000000000000000e+01,2.246441895687694146e+00
3.100000000000000000e+01,2.367728473374854925e+00
2.900000000000000000e+01,2.214183495495421372e+00
3.150000000000000000e+01,2.961690880052979313e+00
3.200000000000000000e+01,2.352253219713129617e+00
3.250000000000000000e+01,2.377205648960333040e+00
3.350000000000000000e+01,2.435846968549708169e+00
3.450000000000000000e+01,2.311684014403699194e+00
3.500000000000000000e+01,2.444708795296631987e+00
3.650000000000000000e+01,3.185741289912656260e+00
3.850000000000000000e+01,2.519511967170221745e+00
3.850000000000000000e+01,2.323484360113245994e+00
3.850000000000000000e+01,2.603207206746593005e+00
4.000000000000000000e+01,2.735270232250687439e+00
4.100000000000000000e+01,2.839269264636454793e+00
4.250000000000000000e+01,2.740403325150753577e+00
4.200000000000000000e+01,2.413623526842258116e+00
4.200000000000000000e+01,2.996561592431442822e+00
4.450000000000000000e+01,2.930576902415059415e+00
4.600000000000000000e+01,3.056026584098646470e+00
4.700000000000000000e+01,2.886681728854657347e+00
4.650000000000000000e+01,2.922022279073762885e+00
4.800000000000000000e+01,3.302396058712424143e+00
4.850000000000000000e+01,2.607228884399420910e+00
4.950000000000000000e+01,2.738054180030694784e+00
5.000000000000000000e+01,2.878226175571315881e+00
5.200000000000000000e+01,2.822589277947263220e+00
5.250000000000000000e+01,2.743359640793535892e+00
5.550000000000000000e+01,3.017525590147412284e+00
5.400000000000000000e+01,2.931825347981296570e+00
5.650000000000000000e+01,2.993780574457589605e+00
5.600000000000000000e+01,2.926007679159499553e+00
5.750000000000000000e+01,2.827598935449125328e+00
5.700000000000000000e+01,2.931315850167358406e+00
5.850000000000000000e+01,2.910559698542984908e+00
5.950000000000000000e+01,3.011336415512850806e+00
6.200000000000000000e+01,2.927803803728851850e+00
6.150000000000000000e+01,3.132243667970245671e+00
6.150000000000000000e+01,3.088937375716842570e+00
6.300000000000000000e+01,3.223439693443996834e+00
6.500000000000000000e+01,3.185142848025309892e+00
6.550000000000000000e+01,3.031193966193265421e+00
6.650000000000000000e+01,3.241697519631610902e+00
6.650000000000000000e+01,3.614168304862102055e+00
6.950000000000000000e+01,3.368346761784385190e+00
6.950000000000000000e+01,3.369570625414904264e+00
7.150000000000000000e+01,3.171079656083466869e+00
7.150000000000000000e+01,3.149988282546703378e+00
7.350000000000000000e+01,3.181464516420351440e+00
7.300000000000000000e+01,3.248117674788928433e+00
7.400000000000000000e+01,3.309467834671435682e+00
7.450000000000000000e+01,3.134702463507403447e+00
7.550000000000000000e+01,3.253680541705220808e+00
7.700000000000000000e+01,3.293376162070350333e+00
7.750000000000000000e+01,3.184101712997204014e+00
7.800000000000000000e+01,3.307158130734276114e+00
7.900000000000000000e+01,3.650376075709284684e+00
8.050000000000000000e+01,3.342448273854866869e+00
7.950000000000000000e+01,3.612467799468116691e+00
8.300000000000000000e+01,3.991090658712099337e+00
8.250000000000000000e+01,3.437900668926204606e+00
8.150000000000000000e+01,3.868165777585511389e+00
8.300000000000000000e+01,3.701423876680659308e+00
8.400000000000000000e+01,3.635615493914659435e+00
8.550000000000000000e+01,3.878647661628253918e+00
1.000000000000000000e+00,1.538381295582824659e+00
2.500000000000000000e+00,1.789405278203512140e+00
2.500000000000000000e+00,1.584852697710096292e+00
2.500000000000000000e+00,1.530853038327439686e+00
4.000000000000000000e+00,1.808865629424964760e+00
5.500000000000000000e+00,1.523652555155692756e+00
6.000000000000000000e+00,1.642058931115492060e+00
6.000000000000000000e+00,1.808404816307417118e+00
8.500000000000000000e+00,1.584930549752908480e+00
8.000000000000000000e+00,1.770273301892302253e+00
9.000000000000000000e+00,1.644279942235925995e+00
9.000000000000000000e+00,2.048034729404837329e+00
1.050000000000000000e+01,1.591267478048390194e+00
1.050000000000000000e+01,2.261992852509549401e+00
1.100000000000000000e+01,1.791187936949860227e+00
1.200000000000000000e+01,2.050718062058976887e+00
1.350000000000000000e+01,1.903456230208322886e+00
1.450000000000000000e+01,2.003784469494551690e+00
1.500000000000000000e+01,1.798865835815092851e+00
1.700000000000000000e+01,2.377100335796042962e+00
1.850000000000000000e+01,2.068142319646762317e+00
1.950000000000000000e+01,2.002727885155386467e+00
2.000000000000000000e+01,2.018435318834663317e+00
2.050000000000000000e+01,1.911837037922781368e+00
2.150000000000000000e+01,2.280355746054045785e+00
2.250000000000000000e+01,2.061741759311719324e+00
2.300000000000000000e+01,2.036003743634612562e+00
2.400000000000000000e+01,2.112724304184473656e+00
