signal_DN,var_single_DN2
5.000000000000000000e-01,1.264185396968817043e+00
-5.000000000000000000e-01,1.774055883127634070e+00
0.000000000000000000e+00,1.396225366879322749e+00
1.500000000000000000e+00,1.661624065509313075e+00
1.000000000000000000e+00,1.604375002067606637e+00
2.500000000000000000e+00,1.746538137605315955e+00
4.000000000000000000e+00,1.632915809672690122e+00
5.000000000000000000e+00,1.544131318393938468e+00
5.500000000000000000e+00,1.596854195796853171e+00
6.000000000000000000e+00,1.755550651957361374e+00
8.000000000000000000e+00,1.718537788267766597e+00
8.500000000000000000e+00,2.077361141108602371e+00
9.000000000000000000e+00,1.888146808579027391e+00
1.100000000000000000e+01,1.749925085186459839e+00
1.300000000000000000e+01,1.777262009599275716e+00
1.200000000000000000e+01,2.164002046347736297e+00
1.350000000000000000e+01,1.625721821676076706e+00
1.400000000000000000e+01,2.205091141040842473e+00
1.550000000000000000e+01,2.599693513775360287e+00
1.600000000000000000e+01,2.130835146123686741e+00
1.750000000000000000e+01,1.800198020037691027e+00
1.750000000000000000e+01,2.438397328044537016e+00
1.900000000000000000e+01,2.234026292315924422e+00
1.950000000000000000e+01,2.188618038365777618e+00
2.050000000000000000e+01,2.198866279208905095e+00
2.150000000000000000e+01,2.294178672879048975e+00
2.150000000000000000e+01,2.420493228623842974e+00
2.100000000000000000e+01,2.293875715277633454e+00
2.450000000000000000e+01,2.478172001798865320e+00
2.350000000000000000e+01,2.064721076162043367e+00
2.600000000000000000e+01,2.329940379896566327e+00
2.650000000000000000e+01,2.470131045698755745e+00
2.800000000000000000e+01,2.554609214176365661e+00
2.800000000000000000e+01,2.480790988667868291e+00
2.900000000000000000e+01,2.434133311410834999e+00
3.200000000000000000e+01,2.525385836103642756e+00
3.100000000000000000e+01,2.451168870896734298e+00
3.300000000000000000e+01,2.610569668576123714e+00
3.350000000000000000e+01,2.861310704149347295e+00
3.400000000000000000e+01,2.557506918266199136e+00
3.450000000000000000e+01,3.605319284179042238e+00
3.550000000000000000e+01,2.903163096203764670e+00
3.700000000000000000e+01,2.780281092159509804e+00
3.850000000000000000e+01,2.548613756766591631e+00
3.800000000000000000e+01,3.106117039648546019e+00
3.950000000000000000e+01,3.278815302716684421e+00
4.050000000000000000e+01,2.398524265165732139e+00
4.050000000000000000e+01,3.299612016786988455e+00
4.250000000000000000e+01,2.751820956250833561e+00
4.300000000000000000e+01,3.148622918571984286e+00
4.350000000000000000e+01,2.782758326436100216e+00
4.550000000000000000e+01,2.793173281129319729e+00
4.600000000000000000e+01,2.606495006706353479e+00
4.700000000000000000e+01,2.867748258724723609e+00
4.800000000000000000e+01,2.788750882058733893e+00
4.850000000000000000e+01,2.964045688362094477e+00
4.900000000000000000e+01,2.772567642630880069e+00
5.200000000000000000e+01,2.926175191547977672e+00
5.150000000000000000e+01,2.828463002852616981e+00
5.300000000000000000e+01,2.794210883223743114e+00
5.400000000000000000e+01,2.617979029330181007e+00
5.450000000000000000e+01,2.795216088851930181e+00
5.650000000000000000e+01,2.863232413618590932e+00
5.800000000000000000e+01,2.798205221979768620e+00
5.800000000000000000e+01,2.908423564164035025e+00
5.650000000000000000e+01,2.775771460756691233e+00
5.900000000000000000e+01,2.947216473304641760e+00
6.050000000000000000e+01,2.848383890498382698e+00
6.050000000000000000e+01,2.864053172511420886e+00
6.300000000000000000e+01,2.960657836342369009e+00
6.450000000000000000e+01,3.129639672396241412e+00
6.200000000000000000e+01,3.012816948365979908e+00
6.550000000000000000e+01,2.925744181609361227e+00
6.400000000000000000e+01,2.821162432592670744e+00
6.650000000000000000e+01,2.906284520008395766e+00
6.600000000000000000e+01,3.068260103733020827e+00
6.850000000000000000e+01,3.169613808486515527e+00
6.950000000000000000e+01,3.687548085506738182e+00
7.300000000000000000e+01,3.717310204274483443e+00
7.300000000000000000e+01,3.355623005418604254e+00
7.250000000000000000e+01,3.129036709618724821e+00
7.400000000000000000e+01,3.290698249973192269e+00
7.450000000000000000e+01,3.620452721682049457e+00
7.650000000000000000e+01,3.222855837990959316e+00
7.600000000000000000e+01,3.433353234388212716e+00
7.800000000000000000e+01,3.116811246106766298e+00
7.800000000000000000e+01,3.356462243588717698e+00
7.950000000000000000e+01,3.823706926993502897e+00
8.100000000000000000e+01,3.796073952978636701e+00
8.050000000000000000e+01,3.212713045435259485e+00
8.200000000000000000e+01,4.004117386289992808e+00
8.050000000000000000e+01,3.234572701221983149e+00
8.300000000000000000e+01,3.975821397483458419e+00
8.450000000000000000e+01,3.861617551409957549e+00
8.550000000000000000e+01,4.172341832302548070e+00
8.600000000000000000e+01,4.545480325269402933e+00
8.650000000000000000e+01,3.864060720143740024e+00
8.950000000000000000e+01,4.819836766000279660e+00
8.900000000000000000e+01,4.988977562794701726e+00
8.950000000000000000e+01,4.126165814134061804e+00
9.100000000000000000e+01,4.372800925633692160e+00
5.000000000000000000e-01,1.281909710002758329e+00
1.500000000000000000e+00,1.471995288413713521e+00
1.500000000000000000e+00,1.491530752579308006e+00
4.500000000000000000e+00,1.300203596430830721e+00
6.000000000000000000e+00,1.411860966145403351e+00
5.500000000000000000e+00,1.673167321177830624e+00
6.500000000000000000e+00,1.434437283192734336e+00
6.500000000000000000e+00,1.644455526320567573e+00
7.500000000000000000e+00,1.304605913322692379e+00
9.500000000000000000e+00,1.759028600712727597e+00
1.050000000000000000e+01,1.632428902294435602e+00
1.150000000000000000e+01,1.545108069785443794e+00
1.400000000000000000e+01,1.585462312099699567e+00
1.350000000000000000e+01,1.592889018850322191e+00
1.550000000000000000e+01,1.781759889095763105e+00
1.500000000000000000e+01,1.551318551865784157e+00
1.500000000000000000e+01,1.662640879229483781e+00
1.750000000000000000e+01,1.707650031269766222e+00
1.850000000000000000e+01,2.260431201401686963e+00
1.950000000000000000e+01,1.727342657576824037e+00
2.150000000000000000e+01,1.714313471983544224e+00
2.100000000000000000e+01,1.923516272906312663e+00
2.250000000000000000e+01,1.871638640989843339e+00
2.250000000000000000e+01,1.800370158263152387e+00
2.350000000000000000e+01,1.748678730527206904e+00
2.450000000000000000e+01,2.044580833144679310e+00
2.450000000000000000e+01,2.138416375290548732e+00
2.450000000000000000e+01,2.027735887896872757e+00
2.600000000000000000e+01,2.074495567101706239e+00
2.650000000000000000e+01,2.321961735531058224e+00
2.800000000000000000e+01,2.075847132457187438e+00
2.950000000000000000e+01,1.910490691779559880e+00
3.100000000000000000e+01,2.074844787077032571e+00
3.200000000000000000e+01,1.842386041023147181e+00
