signal_DN,var_single_DN2
1.167770385742187500e+00,6.315235335257542992e-01
2.566970825195312500e+00,6.737942943945769425e-01
4.008121490478515625e+00,7.145574263170267892e-01
5.333435058593750000e+00,7.721579476354093474e-01
6.834182739257812500e+00,8.315727409833599815e-01
8.157791137695312500e+00,8.743608535072721066e-01
9.557820796966552734e+00,9.307372217434565220e-01
1.103619384765625000e+01,9.745106485445644839e-01
1.242337036132812500e+01,1.057119114761115863e+00
1.397568511962890625e+01,1.072180945563550702e+00
1.539006805419921875e+01,1.149563481683612887e+00
1.668081665039062500e+01,1.196431095435038117e+00
1.809345245361328125e+01,1.238031666470659653e+00
1.969882202148437500e+01,1.304609502333889948e+00
2.101470947265625000e+01,1.371798040765729088e+00
2.253409194946289062e+01,1.380100176670532086e+00
2.384835815429687500e+01,1.438198811728959026e+00
2.538447570800781250e+01,1.499538920671457332e+00
2.686145782470703125e+01,1.518334838225145811e+00
2.831816101074218750e+01,1.585881489922143839e+00
2.972798156738281250e+01,1.609825980576996773e+00
3.118519020080566406e+01,1.652140444998610569e+00
3.253486442565917969e+01,1.695019736187152626e+00
3.391922378540039062e+01,1.733179573994581446e+00
3.541654968261718750e+01,1.799281769063975300e+00
3.695620727539062500e+01,1.829562797695696741e+00
3.824710083007812500e+01,1.891670630958590005e+00
3.970471191406250000e+01,1.941499184970023828e+00
4.134628295898437500e+01,1.987749932634764960e+00
4.268457031250000000e+01,2.055396435713939152e+00
4.412679290771484375e+01,2.072692680588055669e+00
4.545876121520996094e+01,2.111313804771684399e+00
4.689831542968750000e+01,2.144768835923921202e+00
4.849450683593750000e+01,2.184874282723118455e+00
4.984223175048828125e+01,2.246340983821483395e+00
5.130331420898437500e+01,2.282062461136693088e+00
5.296028137207031250e+01,2.315554587156366750e+00
5.430560493469238281e+01,2.381622108700901297e+00
5.570520973205566406e+01,2.413843954785168222e+00
5.718919372558593750e+01,2.454417807957141928e+00
5.863539123535156250e+01,2.518163979555770204e+00
6.001992225646972656e+01,2.557972190965444703e+00
6.143694305419921875e+01,2.590885227579820427e+00
6.296336364746093750e+01,2.618422031029495667e+00
6.430064392089843750e+01,2.638111103917172517e+00
6.587264251708984375e+01,2.721150710362668868e+00
6.717441940307617188e+01,2.735064510821139994e+00
6.856443786621093750e+01,2.792145503741125356e+00
7.016534423828125000e+01,2.833245314530456582e+00
7.150368881225585938e+01,2.862833427256105345e+00
7.291115188598632812e+01,2.921988526394295516e+00
7.439191818237304688e+01,2.944259005977783783e+00
7.591108703613281250e+01,2.986220425240925014e+00
7.722168731689453125e+01,3.036049101535834183e+00
7.887832641601562500e+01,3.050069855797376661e+00
8.025587463378906250e+01,3.124902834312397015e+00
1.339263916015625000e+00,6.198162238852749084e-01
2.817367553710937500e+00,6.909778737579278518e-01
4.313648223876953125e+00,7.018378152189713726e-01
5.784088134765625000e+00,7.354230580278031670e-01
7.201202392578125000e+00,7.884838092938958320e-01
8.757499694824218750e+00,8.452749363945033512e-01
1.009646606445312500e+01,8.692332164683050921e-01
1.153225708007812500e+01,9.051398984026021166e-01
1.309396362304687500e+01,9.263583107510998671e-01
1.444368743896484375e+01,9.837171785221611175e-01
1.594606781005859375e+01,1.012459226281366753e+00
1.724963378906250000e+01,1.035727987292802466e+00
1.869097900390625000e+01,1.089530242412827921e+00
2.044265747070312500e+01,1.121392979392022760e+00
2.180227661132812500e+01,1.159704996491136342e+00
2.327214431762695312e+01,1.173424351537194932e+00
2.456510925292968750e+01,1.242753791811380459e+00
2.617436218261718750e+01,1.248418006388130053e+00
2.764578247070312500e+01,1.282343508246727382e+00
2.905755615234375000e+01,1.337563817943087319e+00
3.049792480468750000e+01,1.380181560979238498e+00
3.201754188537597656e+01,1.405165735046112863e+00
3.331175041198730469e+01,1.432232217177837663e+00
3.479429244995117188e+01,1.484929348583574171e+00
3.628535461425781250e+01,1.569125822879949617e+00
3.775756835937500000e+01,1.566135064574671221e+00
3.904141235351562500e+01,1.610626309129229883e+00
4.055938720703125000e+01,1.649367025723708968e+00
4.213632202148437500e+01,1.695154567664667544e+00
4.345198059082031250e+01,1.757084914997498082e+00
4.489971923828125000e+01,1.758657682829883440e+00
4.631065368652343750e+01,1.783273074283834747e+00
4.781404113769531250e+01,1.832582844606402084e+00
4.929216003417968750e+01,1.875125348225663791e+00
5.072258758544921875e+01,1.891821914199078414e+00
5.226329040527343750e+01,1.922168803060190889e+00
5.369882202148437500e+01,1.960414608501499956e+00
5.513096046447753906e+01,2.035223424779484702e+00
5.648400115966796875e+01,2.027146390536671561e+00
5.801539611816406250e+01,2.076337957110243604e+00
5.946361935138702393e+01,2.149556396721908236e+00
6.101361846923828125e+01,2.166284704298119479e+00
6.240125274658203125e+01,2.192438094358746259e+00
6.378129959106445312e+01,2.253309152096529377e+00
6.522206115722656250e+01,2.255230083632276283e+00
6.685796356201171875e+01,2.310884325432475350e+00
6.825993728637695312e+01,2.353151617589001710e+00
6.958325195312500000e+01,2.361196150221895440e+00
7.114761352539062500e+01,2.407440993550474584e+00
7.261230087280273438e+01,2.405309361674548452e+00
7.411233901977539062e+01,2.445274872738565364e+00
7.542881393432617188e+01,2.533171695828977832e+00
7.688841247558593750e+01,2.558971245947337270e+00
7.833582305908203125e+01,2.572354446328469990e+00
7.984690856933593750e+01,2.624370459761324437e+00
8.124063110351562500e+01,2.670989965586691550e+00
1.470794677734375000e+00,6.237306349535903793e-01
2.872238159179687500e+00,6.667090274422307061e-01
4.334045410156250000e+00,7.343672435874266657e-01
5.869140625000000000e+00,7.154133154999954280e-01
7.251129150390625000e+00,7.728901950969837564e-01
8.798866271972656250e+00,8.276623819150987771e-01
1.023965454101562500e+01,8.584682771242351240e-01
1.157434082031250000e+01,8.994623561568613201e-01
1.314176940917968750e+01,9.180121357944721616e-01
1.455311584472656250e+01,9.575266932658307306e-01
1.598536872863769531e+01,9.944342968043892173e-01
1.745547866821289062e+01,1.032861834527788680e+00
1.880255126953125000e+01,1.089702826441634187e+00
2.054821777343750000e+01,1.109442620047229155e+00
2.190063476562500000e+01,1.136564479196003008e+00
2.328681564331054688e+01,1.196779529549156340e+00
2.467024230957031250e+01,1.260136945643864248e+00
2.619023132324218750e+01,1.283977407229218937e+00
2.774507141113281250e+01,1.285168057604559877e+00
2.906248474121093750e+01,1.367866645882457988e+00
3.056112670898437500e+01,1.409708947340509999e+00
3.216442871093750000e+01,1.423552230671420116e+00
3.354896545410156250e+01,1.444237827292496723e+00
3.516220855712890625e+01,1.508617629502708057e+00
3.649272155761718750e+01,1.528699469485601092e+00
3.795298004150390625e+01,1.550081847877671004e+00
3.927706909179687500e+01,1.605664693325659087e+00
4.081436157226562500e+01,1.639206388307414608e+00
4.217169570922851562e+01,1.659801355151372837e+00
4.364467620849609375e+01,1.731907636520409799e+00
4.516132354736328125e+01,1.740509522007629428e+00
4.659184265136718750e+01,1.827565926963211185e+00
