signal_DN,var_single_DN2
1.184310913085937500e+00,6.322258173277003346e-01
2.634918212890625000e+00,6.766063076128184806e-01
4.185344696044921875e+00,7.041124502641428196e-01
5.430770874023437500e+00,7.667837005021848062e-01
6.942165374755859375e+00,8.382904821658367922e-01
8.328140258789062500e+00,8.841974900709057561e-01
9.836830139160156250e+00,9.448779413707493191e-01
1.130140686035156250e+01,9.820936766561078057e-01
1.268734741210937500e+01,1.074791866589585920e+00
1.426771545410156250e+01,1.092237542343363232e+00
1.578840637207031250e+01,1.156706317013187491e+00
1.714668273925781250e+01,1.213483957581297901e+00
1.858070373535156250e+01,1.257744665792676519e+00
2.027868652343750000e+01,1.316360595654913812e+00
2.148080825805664062e+01,1.386573698705864777e+00
2.296552276611328125e+01,1.393977149967579710e+00
2.435756683349609375e+01,1.446549178602883678e+00
2.591342926025390625e+01,1.514512377684994693e+00
2.749721527099609375e+01,1.529888648676733798e+00
2.890683364868164062e+01,1.602767431857361702e+00
3.043414306640625000e+01,1.636428172092985633e+00
3.198780632019042969e+01,1.686757218304887118e+00
3.327978515625000000e+01,1.723843488740170571e+00
3.476287078857421875e+01,1.770812757740515941e+00
3.627643585205078125e+01,1.815837378795563728e+00
3.781960296630859375e+01,1.860690870858128898e+00
3.912579345703125000e+01,1.922989022804760584e+00
4.064624023437500000e+01,1.993642432378914808e+00
4.232492065429687500e+01,2.040644680500517616e+00
4.369567871093750000e+01,2.112099433197161424e+00
4.519931793212890625e+01,2.127739307559281645e+00
4.653788757324218750e+01,2.167714729028048737e+00
4.802705383300781250e+01,2.200677864140753393e+00
4.968479919433593750e+01,2.251882834816724355e+00
5.106207275390625000e+01,2.301663376144627904e+00
5.250253295898437500e+01,2.337787207825154479e+00
5.414513397216796875e+01,2.362497201212275577e+00
5.559132385253906250e+01,2.417875903892191314e+00
5.702955627441406250e+01,2.458235086150679205e+00
5.846412658691406250e+01,2.513247479271451645e+00
6.013745117187500000e+01,2.568899730364377909e+00
6.149082946777343750e+01,2.616310032996798096e+00
6.292085266113281250e+01,2.640454331477141814e+00
6.447517395019531250e+01,2.679908314610578213e+00
6.585762023925781250e+01,2.688216421865173622e+00
6.750014495849609375e+01,2.767812466086513989e+00
6.881223297119140625e+01,2.779133557970120627e+00
7.022341156005859375e+01,2.849249807776692567e+00
7.183222198486328125e+01,2.891312961906197021e+00
7.324678039550781250e+01,2.918218097364194019e+00
7.462591552734375000e+01,2.973893655664056723e+00
7.617336273193359375e+01,3.006886489705371091e+00
7.773529052734375000e+01,3.033841964836377247e+00
7.906321716308593750e+01,3.095306003292898733e+00
8.077540588378906250e+01,3.109532679824107415e+00
8.223530578613281250e+01,3.190501060272831424e+00
1.386856079101562500e+00,6.332215197143862273e-01
2.891113281250000000e+00,7.063053225426983994e-01
4.497722625732421875e+00,6.954002064759546853e-01
5.962554931640625000e+00,7.500877788975250926e-01
7.348876953125000000e+00,7.835386583776400293e-01
