signal_DN,var_single_DN2
1.954895019531250000e+02,4.812774850135673432e+02
3.886728515625000000e+02,6.260010061597527056e+02
5.931038818359375000e+02,7.500542071103681110e+02
7.879592285156250000e+02,9.194464644822286346e+02
9.954016113281250000e+02,1.037630238728833319e+03
1.184083251953125000e+03,1.155081435219820150e+03
1.386851562500000000e+03,1.335702315080244261e+03
1.587461914062500000e+03,1.453675750971650814e+03
1.768019775390625000e+03,1.541442537109481918e+03
1.973573974609375000e+03,1.690310303910767971e+03
2.085046386718750000e+02,4.810014974314096321e+02
4.072736816406250000e+02,6.263229349248018707e+02
5.925792236328125000e+02,7.467689117692191303e+02
8.004492187500000000e+02,9.344372406854603241e+02
9.874694824218750000e+02,1.037037737079920134e+03
1.179598876953125000e+03,1.163969277080468828e+03
1.379575439453125000e+03,1.284899206857506897e+03
1.583305664062500000e+03,1.457776573650535738e+03
1.760438842773437500e+03,1.528634184773173729e+03
1.959231445312500000e+03,1.670591120025315149e+03
1.982036132812500000e+02,5.082502396994673290e+02
3.994721679687500000e+02,6.242338671586544478e+02
5.833696289062500000e+02,7.587561188816298454e+02
7.980485839843750000e+02,9.169087007999985417e+02
9.816560058593750000e+02,1.051377168595882722e+03
1.180780639648437500e+03,1.148246577879845063e+03
1.360204711914062500e+03,1.270027468311026269e+03
1.558936767578125000e+03,1.428126104093531012e+03
1.759289672851562500e+03,1.574127694043889051e+03
1.953355224609375000e+03,1.690178369895789729e+03
1.835561523437500000e+02,4.888811471218064071e+02
3.868503417968750000e+02,6.286116743273244083e+02
5.829321289062500000e+02,7.600658639596942976e+02
7.850781250000000000e+02,9.240490646970855551e+02
9.768823242187500000e+02,1.069911794273247096e+03
1.168353637695312500e+03,1.163205471360494585e+03
1.358539428710937500e+03,1.312292162820840986e+03
1.545329833984375000e+03,1.444752136082376410e+03
1.756370788574218750e+03,1.573904681396413253e+03
1.952256591796875000e+03,1.691752443309198725e+03
1.791354980468750000e+02,5.316718496269064644e+02
3.918901367187500000e+02,6.335718995577353780e+02
5.852785644531250000e+02,7.917526526550072958e+02
7.767778320312500000e+02,9.189247533626289623e+02
9.667246093750000000e+02,1.052648429044181512e+03
1.156025634765625000e+03,1.166066187353974328e+03
1.369913330078125000e+03,1.292507205689498733e+03
1.539474121093750000e+03,1.412086051479793923e+03
1.736814147949218750e+03,1.570788934421702834e+03
1.943829345703125000e+03,1.698983012890337932e+03
1.939287109375000000e+02,5.042847207304023414e+02
3.909060058593750000e+02,6.462068182486906380e+02
5.734855957031250000e+02,7.817190576338351775e+02
7.695981445312500000e+02,9.215896872938152455e+02
9.680842285156250000e+02,1.087965030503338312e+03
1.168991699218750000e+03,1.183109610561720501e+03
1.364600830078125000e+03,1.323235121830679873e+03
1.545892333984375000e+03,1.449977497209382591e+03
1.734031616210937500e+03,1.569584550197174849e+03
1.946060058593750000e+03,1.703790811374819896e+03
1.838693847656250000e+02,5.105708518635319138e+02
3.707928466796875000e+02,6.315343131713914318e+02
5.571494140625000000e+02,7.601925755700141281e+02
7.639184570312500000e+02,9.702409670014649237e+02
9.590217285156250000e+02,1.066146708247303422e+03
1.156270996093750000e+03,1.139162444398556772e+03
1.351399658203125000e+03,1.294719336340791870e+03
1.549240966796875000e+03,1.451345373074489771e+03
1.738958618164062500e+03,1.532329705564882943e+03
1.933715087890625000e+03,1.649707550485736874e+03
1.785039062500000000e+02,5.280763033886167932e+02
3.763431396484375000e+02,6.418379174880356004e+02
5.701425781250000000e+02,7.513202296048599464e+02
7.612026367187500000e+02,8.919411441285110413e+02
9.603186035156250000e+02,1.024998890213660616e+03
1.159333007812500000e+03,1.138190383692737669e+03
1.341083984375000000e+03,1.295168584462604031e+03
1.545190429687500000e+03,1.405157593271288761e+03
1.737399414062500000e+03,1.531098463208599924e+03
1.923982421875000000e+03,1.661246021397722643e+03
2.021415405273437500e+02,5.191528636812995501e+02
3.969248046875000000e+02,6.118826191284612150e+02
5.775815429687500000e+02,7.461393513331807981e+02
7.655882568359375000e+02,8.906503156383487294e+02
9.637856445312500000e+02,1.011947238793989982e+03
1.166010498046875000e+03,1.156376046500811299e+03
1.343354736328125000e+03,1.268639892112092639e+03
1.542102783203125000e+03,1.389244712150115674e+03
1.738710693359375000e+03,1.529904758732369601e+03
1.933913574218750000e+03,1.663732198439384092e+03
