signal_DN,var_single_DN2
1.900000000000000000e+02,5.172733315282861213e+02
3.830000000000000000e+02,6.543376381004019322e+02
5.960000000000000000e+02,7.682906014592449537e+02
7.725000000000000000e+02,9.855316909531725287e+02
9.920000000000000000e+02,1.075013931539599298e+03
1.176000000000000000e+03,1.237194466810358108e+03
1.378500000000000000e+03,1.433313945505793299e+03
1.585500000000000000e+03,1.509621178187027226e+03
1.752000000000000000e+03,1.557817194177007650e+03
1.958500000000000000e+03,1.735580240653347801e+03
2.115000000000000000e+02,5.168399695681979438e+02
4.205000000000000000e+02,6.727704326329471769e+02
6.055000000000000000e+02,7.875107570686111558e+02
8.065000000000000000e+02,1.092519639879147689e+03
9.905000000000000000e+02,1.086940687381381395e+03
1.166500000000000000e+03,1.239731355960273731e+03
1.367500000000000000e+03,1.338595086180221870e+03
1.583500000000000000e+03,1.580232735073732101e+03
1.728000000000000000e+03,1.552154548924836945e+03
1.932500000000000000e+03,1.671010698679675443e+03
1.930000000000000000e+02,7.298084878007451834e+02
4.075000000000000000e+02,6.737959533329149053e+02
5.875000000000000000e+02,9.176535976004233817e+02
8.090000000000000000e+02,1.120299243430454680e+03
9.800000000000000000e+02,1.345451334090885439e+03
1.167000000000000000e+03,1.273996848997652933e+03
1.326000000000000000e+03,1.301806971834737851e+03
1.540500000000000000e+03,1.465183087096084364e+03
1.724000000000000000e+03,1.810918078966531994e+03
1.926500000000000000e+03,1.775185341220863165e+03
1.710000000000000000e+02,5.712756868622537922e+02
3.870000000000000000e+02,6.900065522482780125e+02
5.835000000000000000e+02,8.362562592172171207e+02
7.760000000000000000e+02,1.009997957933656380e+03
9.770000000000000000e+02,1.349467737818001524e+03
1.151500000000000000e+03,1.289685250301234419e+03
1.323000000000000000e+03,1.418338893884647860e+03
1.524500000000000000e+03,1.541428211293151662e+03
1.718500000000000000e+03,1.671262030057788479e+03
1.930500000000000000e+03,1.810073238082324906e+03
1.730000000000000000e+02,5.719343879572182914e+02
3.935000000000000000e+02,6.813278513617577801e+02
5.825000000000000000e+02,8.179140399585269279e+02
7.640000000000000000e+02,9.621098462223001206e+02
9.540000000000000000e+02,1.097422520364027150e+03
1.126500000000000000e+03,1.204100511599779338e+03
1.356500000000000000e+03,1.327596186089907178e+03
1.511000000000000000e+03,1.427470313808167248e+03
1.689500000000000000e+03,1.593134005296542455e+03
1.916500000000000000e+03,1.751907744880047176e+03
1.930000000000000000e+02,5.510290585409474033e+02
3.895000000000000000e+02,6.936915802487807241e+02
5.595000000000000000e+02,8.422344369621771420e+02
7.495000000000000000e+02,9.573621208999745704e+02
9.470000000000000000e+02,1.141319236479751453e+03
1.142000000000000000e+03,1.211565673081960767e+03
1.345000000000000000e+03,1.338205798208089618e+03
1.518000000000000000e+03,1.519580242209420021e+03
1.693000000000000000e+03,1.629829599424972912e+03
1.915000000000000000e+03,1.741657944604501836e+03
1.690000000000000000e+02,6.613399714680397210e+02
3.405000000000000000e+02,7.669868456396588954e+02
5.260000000000000000e+02,7.900871383723742838e+02
7.355000000000000000e+02,1.207369153641957837e+03
9.225000000000000000e+02,1.143080290530414459e+03
1.110000000000000000e+03,1.152008448926497294e+03
1.306000000000000000e+03,1.342814548015329819e+03
1.524000000000000000e+03,1.569194414575979636e+03
1.692000000000000000e+03,1.552872034916951634e+03
1.884500000000000000e+03,1.687161983619560715e+03
1.590000000000000000e+02,6.125984385903658449e+02
3.415000000000000000e+02,8.355500790884685784e+02
5.425000000000000000e+02,7.710157447816148988e+02
7.305000000000000000e+02,9.585868560910740825e+02
9.155000000000000000e+02,1.044705288360513123e+03
1.112000000000000000e+03,1.163948309105036060e+03
1.288500000000000000e+03,1.321127422980498295e+03
1.505000000000000000e+03,1.407547131036886867e+03
1.682000000000000000e+03,1.533608038155066879e+03
1.866000000000000000e+03,1.714203783635492755e+03
2.035000000000000000e+02,6.064079456757038997e+02
3.875000000000000000e+02,6.750465186843433685e+02
5.690000000000000000e+02,7.622484409805438190e+02
7.415000000000000000e+02,9.183826210769943827e+02
9.355000000000000000e+02,1.018111589359744471e+03
1.146000000000000000e+03,1.197354981338747166e+03
1.296000000000000000e+03,1.356986750733275130e+03
1.503000000000000000e+03,1.401130658509965997e+03
1.691500000000000000e+03,1.538418422995286846e+03
1.901000000000000000e+03,1.685118201396065615e+03
