signal_DN,var_single_DN2
2.085000000000000000e+02,5.845932230173773405e+02
3.780000000000000000e+02,8.040696768602176689e+02
6.035000000000000000e+02,9.155945071816381642e+02
8.205000000000000000e+02,1.154599674732020048e+03
1.022000000000000000e+03,1.430774159814427776e+03
1.231000000000000000e+03,1.561757712498933870e+03
1.439500000000000000e+03,1.822905061056381328e+03
1.621500000000000000e+03,1.974416912808725101e+03
1.830000000000000000e+03,2.704839766859032352e+03
2.050500000000000000e+03,2.639633272723505797e+03
2.185000000000000000e+02,6.177842832077607227e+02
4.000000000000000000e+02,7.940473992346455816e+02
6.495000000000000000e+02,1.180455042951492942e+03
8.580000000000000000e+02,1.220997847953847213e+03
1.066500000000000000e+03,1.338361699823984054e+03
1.252500000000000000e+03,1.494364573661840495e+03
1.446000000000000000e+03,1.731108513680177339e+03
1.665000000000000000e+03,2.043896132547085017e+03
1.891000000000000000e+03,2.125446729292340478e+03
2.117500000000000000e+03,2.203895517918904716e+03
2.005000000000000000e+02,5.908503757672758638e+02
3.900000000000000000e+02,8.111970287126111998e+02
6.405000000000000000e+02,1.039955527301179018e+03
8.390000000000000000e+02,1.283863961594661305e+03
1.050000000000000000e+03,1.305261454452224825e+03
1.250000000000000000e+03,1.465680330884881869e+03
1.435500000000000000e+03,1.659370933785054149e+03
1.677000000000000000e+03,1.872453613147435590e+03
1.858000000000000000e+03,2.014482246310688652e+03
2.109000000000000000e+03,2.121904775552966839e+03
2.050000000000000000e+02,5.874599183030833274e+02
3.990000000000000000e+02,7.780033911591904143e+02
6.215000000000000000e+02,9.361076445974503031e+02
8.405000000000000000e+02,1.186715476950504581e+03
1.050500000000000000e+03,1.269543394342787451e+03
1.288500000000000000e+03,1.498120108130006884e+03
1.464500000000000000e+03,1.594895613761061441e+03
1.690500000000000000e+03,1.767913440154045475e+03
1.856500000000000000e+03,1.924511842578063579e+03
2.119500000000000000e+03,2.071947156643931521e+03
2.490000000000000000e+02,5.978492673207836106e+02
4.640000000000000000e+02,7.511264111046739345e+02
6.635000000000000000e+02,9.347934693969010596e+02
8.695000000000000000e+02,1.067804308227587853e+03
1.100500000000000000e+03,1.262697825124193287e+03
1.299000000000000000e+03,1.448401667366402535e+03
1.481500000000000000e+03,1.622308100055995737e+03
1.686000000000000000e+03,1.735663063891916863e+03
1.897500000000000000e+03,1.917458609238302415e+03
2.117000000000000000e+03,2.189614167636874754e+03
2.395000000000000000e+02,6.465598642735986914e+02
4.585000000000000000e+02,7.666976599684423945e+02
6.515000000000000000e+02,9.743995901902842434e+02
8.600000000000000000e+02,1.155927445203728212e+03
1.095500000000000000e+03,1.343695548108030607e+03
1.277500000000000000e+03,1.449404403624374027e+03
1.491000000000000000e+03,1.570516184094482014e+03
1.682000000000000000e+03,1.804293508731812153e+03
1.899000000000000000e+03,1.905214361475857231e+03
2.093500000000000000e+03,2.159170656681307719e+03
1.995000000000000000e+02,6.057798160664937086e+02
4.030000000000000000e+02,7.788888793501785131e+02
6.090000000000000000e+02,1.050100489570029367e+03
8.225000000000000000e+02,1.134123879667107303e+03
1.039000000000000000e+03,1.365559003622854334e+03
1.262500000000000000e+03,1.465042990663341243e+03
1.454250000000000000e+03,1.615432298306761368e+03
1.664000000000000000e+03,1.876565208454026333e+03
1.876000000000000000e+03,1.937051155607332475e+03
2.086500000000000000e+03,2.160449075775082292e+03
1.935000000000000000e+02,6.526887287319176494e+02
3.825000000000000000e+02,7.883719026886731172e+02
5.975000000000000000e+02,8.999799282290364317e+02
7.805000000000000000e+02,1.101331649469397689e+03
1.013000000000000000e+03,1.260089962940976193e+03
1.241000000000000000e+03,1.488247799053301833e+03
1.410750000000000000e+03,1.646035168883818869e+03
1.652500000000000000e+03,1.737618004193044499e+03
1.855000000000000000e+03,1.940591116713649171e+03
2.069500000000000000e+03,2.091615271375477732e+03
1.960000000000000000e+02,6.167216863069025976e+02
3.870000000000000000e+02,7.924383612994271289e+02
5.740000000000000000e+02,1.095300363355463332e+03
7.817500000000000000e+02,1.097111179533421137e+03
9.915000000000000000e+02,1.414245434255420605e+03
1.202000000000000000e+03,1.646173845656098820e+03
1.405000000000000000e+03,1.664517485249922629e+03
1.626500000000000000e+03,1.825383688624445540e+03
1.847500000000000000e+03,1.958644934632374998e+03
2.055500000000000000e+03,2.115076044362631819e+03
