signal_DN,var_single_DN2
2.020000000000000000e+02,6.677572757063466042e+02
4.195000000000000000e+02,8.172772578099704788e+02
6.485000000000000000e+02,9.326562591973889766e+02
8.395000000000000000e+02,1.123650400032460539e+03
1.090000000000000000e+03,1.356442533123563635e+03
1.287500000000000000e+03,1.521313808643865968e+03
1.473000000000000000e+03,1.653184521611546643e+03
1.724000000000000000e+03,1.989836847570538339e+03
1.889000000000000000e+03,2.011947132081307700e+03
2.124000000000000000e+03,2.207712891085330284e+03
1.995000000000000000e+02,6.739398139911054386e+02
4.045000000000000000e+02,7.736274266050480719e+02
6.340000000000000000e+02,9.427220779148964311e+02
8.195000000000000000e+02,1.140797445920773953e+03
1.039000000000000000e+03,1.321005685580962790e+03
1.240000000000000000e+03,1.487447481352875457e+03
1.457000000000000000e+03,1.654926227588807251e+03
1.680000000000000000e+03,1.833928342430904195e+03
1.893500000000000000e+03,2.094576138047082168e+03
2.091500000000000000e+03,2.192425239156168573e+03
2.220000000000000000e+02,5.823538855699806618e+02
4.085000000000000000e+02,7.765178800669222028e+02
6.585000000000000000e+02,9.855417227893577774e+02
8.335000000000000000e+02,1.132519355770110224e+03
1.033000000000000000e+03,1.318118686709221038e+03
1.247500000000000000e+03,1.444915589346483102e+03
1.468500000000000000e+03,1.695190821033606426e+03
1.705500000000000000e+03,1.835183324344476887e+03
1.922000000000000000e+03,2.039898882669690011e+03
2.126000000000000000e+03,2.179401739799358438e+03
2.085000000000000000e+02,7.037999283977273990e+02
4.075000000000000000e+02,8.078559769941493869e+02
6.550000000000000000e+02,9.925292811307807597e+02
8.470000000000000000e+02,1.157381713861688468e+03
1.055000000000000000e+03,1.375168082307759732e+03
1.270500000000000000e+03,1.489260152428038737e+03
1.474000000000000000e+03,1.754497438520872265e+03
1.714500000000000000e+03,1.847270409860809650e+03
1.938000000000000000e+03,2.065953760799843621e+03
2.147000000000000000e+03,2.248692161157168357e+03
1.940000000000000000e+02,8.721444641618543301e+02
4.145000000000000000e+02,8.336952250202296000e+02
6.175000000000000000e+02,9.809740792869617962e+02
8.460000000000000000e+02,1.178845437477415089e+03
1.046000000000000000e+03,1.352834333847067683e+03
1.265500000000000000e+03,1.482216028122796615e+03
1.454500000000000000e+03,1.781816641337758483e+03
1.673500000000000000e+03,1.842807095853323744e+03
1.924500000000000000e+03,2.117979570166539816e+03
2.133000000000000000e+03,2.219307360340438208e+03
2.100000000000000000e+02,6.915158434662291711e+02
4.085000000000000000e+02,7.609397699133611468e+02
6.020000000000000000e+02,9.715909416959223108e+02
8.275000000000000000e+02,1.144092140461102190e+03
1.019500000000000000e+03,1.340310150628617521e+03
1.236000000000000000e+03,1.530987532609774917e+03
1.454500000000000000e+03,1.666754902060593849e+03
1.653000000000000000e+03,1.822053471358787874e+03
1.903500000000000000e+03,2.138950253843358041e+03
2.126500000000000000e+03,2.240318899515993053e+03
2.285000000000000000e+02,5.693267700453687894e+02
4.040000000000000000e+02,7.611587203475014576e+02
6.070000000000000000e+02,9.271263422008807993e+02
8.235000000000000000e+02,1.147721132613185318e+03
1.051000000000000000e+03,1.354505031136103526e+03
1.257000000000000000e+03,1.559275574869659522e+03
1.487500000000000000e+03,1.669412705069006279e+03
1.689500000000000000e+03,1.846478821115660821e+03
1.878000000000000000e+03,2.017895932553263265e+03
2.138000000000000000e+03,2.245969176747743404e+03
2.320000000000000000e+02,7.310495475207172831e+02
4.320000000000000000e+02,7.821506832060043735e+02
6.350000000000000000e+02,1.081891286532872527e+03
8.520000000000000000e+02,1.124977955382708842e+03
1.106000000000000000e+03,1.321278997853676628e+03
1.314000000000000000e+03,1.628107823047846296e+03
1.509500000000000000e+03,1.732352416941687807e+03
1.737500000000000000e+03,1.891186759219235455e+03
1.908500000000000000e+03,2.034063374422801417e+03
2.152500000000000000e+03,2.165666514376432133e+03
2.270000000000000000e+02,6.637381431889193664e+02
4.620000000000000000e+02,7.934656501517426932e+02
6.735000000000000000e+02,1.074876378427680493e+03
8.480000000000000000e+02,1.192962722815218513e+03
1.077500000000000000e+03,1.405460833892427445e+03
1.286000000000000000e+03,1.568017229787630185e+03
1.498500000000000000e+03,1.687824016205654061e+03
1.710000000000000000e+03,2.032494608786543267e+03
1.918000000000000000e+03,2.119694295957661325e+03
2.112000000000000000e+03,2.235425524102774943e+03
