signal_DN,var_single_DN2
-1.000000000000000000e+00,1.625380107820825204e+00
-5.000000000000000000e-01,1.239255453427886788e+00
0.000000000000000000e+00,1.500380363945216455e+00
-5.000000000000000000e-01,1.782892069975135385e+00
0.000000000000000000e+00,1.492165425732891348e+00
1.000000000000000000e+00,1.414272600487710640e+00
3.000000000000000000e+00,1.397184506844234120e+00
2.000000000000000000e+00,1.732085055364425363e+00
3.000000000000000000e+00,1.496530861968516701e+00
3.500000000000000000e+00,1.599727502539373125e+00
5.000000000000000000e+00,1.732135170785413125e+00
6.500000000000000000e+00,1.676234926187161633e+00
6.000000000000000000e+00,1.670256135149420729e+00
6.500000000000000000e+00,1.807877777391043272e+00
7.000000000000000000e+00,1.619541519831498189e+00
8.500000000000000000e+00,1.871961523438420816e+00
9.500000000000000000e+00,2.008412971915765066e+00
1.000000000000000000e+01,1.876069834183980767e+00
9.500000000000000000e+00,1.791190644404826671e+00
1.250000000000000000e+01,2.246402646744011022e+00
1.850000000000000000e+01,4.803241018486489544e+00
3.750000000000000000e+01,1.252458653756410811e+01
5.850000000000000000e+01,2.392630317788605154e+01
7.650000000000000000e+01,3.511607053506688203e+01
9.400000000000000000e+01,5.180396674188229156e+01
1.100000000000000000e+02,6.954778374663810325e+01
1.205000000000000000e+02,8.161694507575742819e+01
1.240000000000000000e+02,8.483851220194267739e+01
1.260000000000000000e+02,8.576882183491173350e+01
1.275000000000000000e+02,8.682710573851234415e+01
1.290000000000000000e+02,8.646614935105789357e+01
1.305000000000000000e+02,8.708350700253194532e+01
1.315000000000000000e+02,8.738533340169249186e+01
1.340000000000000000e+02,9.121417713057006438e+01
1.345000000000000000e+02,9.154005874607688042e+01
1.355000000000000000e+02,9.179221459542299044e+01
1.360000000000000000e+02,9.532030386507018704e+01
1.385000000000000000e+02,9.409923644155696820e+01
1.400000000000000000e+02,9.444907676310393185e+01
1.410000000000000000e+02,9.607112692565770828e+01
1.435000000000000000e+02,9.564567037106114356e+01
1.440000000000000000e+02,9.973105038086289653e+01
1.465000000000000000e+02,1.005361177390720968e+02
1.470000000000000000e+02,9.933790439752915802e+01
1.570000000000000000e+02,8.562891987064125487e+01
1.780000000000000000e+02,6.217012014161267075e+01
1.970000000000000000e+02,4.176984122977498259e+01
2.160000000000000000e+02,2.853056231801629750e+01
2.355000000000000000e+02,1.820518115266185433e+01
2.490000000000000000e+02,1.156032940332801928e+01
2.615000000000000000e+02,9.885030885720128779e+00
2.640000000000000000e+02,9.119028660441681922e+00
2.670000000000000000e+02,9.404645055048188595e+00
2.695000000000000000e+02,9.508971820176986611e+00
2.700000000000000000e+02,9.497179781106691365e+00
2.720000000000000000e+02,9.532844588869306079e+00
2.730000000000000000e+02,8.979840215235379119e+00
2.765000000000000000e+02,9.075008667420144448e+00
2.780000000000000000e+02,8.998876551798925760e+00
2.800000000000000000e+02,9.405189988595701323e+00
2.825000000000000000e+02,9.060705986157719494e+00
2.845000000000000000e+02,9.838833667019757812e+00
2.850000000000000000e+02,9.046187312363844768e+00
2.885000000000000000e+02,9.460794771850933316e+00
2.900000000000000000e+02,9.622452133193560186e+00
2.915000000000000000e+02,9.479754401154574239e+00
2.935000000000000000e+02,9.672280809042691274e+00
2.955000000000000000e+02,9.690478302702327795e+00
2.960000000000000000e+02,9.854275031173207466e+00
3.000000000000000000e+02,1.021397363595922059e+01
3.020000000000000000e+02,9.706043383142455738e+00
3.030000000000000000e+02,9.840504876141928037e+00
3.050000000000000000e+02,9.724042984310141691e+00
3.090000000000000000e+02,9.805276321175208309e+00
3.090000000000000000e+02,9.786279358106364512e+00
3.120000000000000000e+02,9.894543142388661394e+00
3.135000000000000000e+02,1.016717575936207574e+01
3.170000000000000000e+02,9.689800580422422982e+00
3.180000000000000000e+02,9.964953934597168939e+00
3.210000000000000000e+02,9.978088506379723555e+00
3.225000000000000000e+02,9.901428678627281599e+00
3.250000000000000000e+02,1.140893092275472753e+01
3.290000000000000000e+02,1.215061315605044356e+01
3.425000000000000000e+02,1.725627904293972747e+01
3.575000000000000000e+02,2.401214598263268130e+01
3.760000000000000000e+02,3.811607058033139594e+01
3.975000000000000000e+02,5.179691822897630260e+01
4.165000000000000000e+02,7.474610434523003732e+01
4.325000000000000000e+02,9.552342009557980873e+01
4.400000000000000000e+02,1.045886381174283883e+02
4.410000000000000000e+02,1.028006371645997348e+02
4.420000000000000000e+02,1.006125507806488741e+02
4.455000000000000000e+02,1.000837719635936480e+02
4.460000000000000000e+02,1.009765197947958768e+02
4.470000000000000000e+02,9.935113697994601978e+01
4.490000000000000000e+02,9.589919208709407883e+01
4.500000000000000000e+02,9.868380302909626778e+01
4.520000000000000000e+02,9.808470349443655323e+01
4.505000000000000000e+02,9.478547547294149922e+01
4.525000000000000000e+02,9.374593317177023266e+01
4.545000000000000000e+02,9.448414823770220039e+01
1.250000000000000000e+01,3.283004351449071656e+00
2.750000000000000000e+01,7.077958089828132238e+00
4.700000000000000000e+01,1.662634570658356026e+01
6.450000000000000000e+01,2.957380656542285280e+01
8.650000000000000000e+01,4.828507133319963174e+01
1.020000000000000000e+02,6.838005875367009878e+01
1.100000000000000000e+02,7.702949970223941989e+01
1.095000000000000000e+02,7.652214914763327158e+01
1.100000000000000000e+02,7.761283038836239712e+01
1.110000000000000000e+02,7.747655108672014990e+01
1.130000000000000000e+02,7.645495964315372817e+01
1.140000000000000000e+02,7.641213434974342533e+01
1.130000000000000000e+02,7.403792408472307329e+01
1.145000000000000000e+02,7.723078802248977581e+01
1.160000000000000000e+02,7.710988891430584147e+01
1.165000000000000000e+02,7.624506981538341677e+01
1.170000000000000000e+02,7.712808842211035198e+01
1.185000000000000000e+02,7.845191535838966956e+01
1.190000000000000000e+02,7.769587451803798217e+01
1.205000000000000000e+02,7.739969839428934506e+01
1.200000000000000000e+02,7.650947545293901442e+01
1.220000000000000000e+02,7.627536965742190489e+01
1.230000000000000000e+02,7.404045875485299177e+01
1.230000000000000000e+02,7.733751246128787216e+01
1.230000000000000000e+02,7.750522509743638011e+01
1.245000000000000000e+02,7.829700147417122480e+01
1.245000000000000000e+02,7.745326218356078130e+01
1.260000000000000000e+02,7.742417067614213977e+01
1.270000000000000000e+02,7.652611142617399764e+01
1.280000000000000000e+02,7.752062174363585711e+01
1.290000000000000000e+02,7.669628048513668261e+01
1.285000000000000000e+02,7.700870406964958192e+01
1.295000000000000000e+02,7.802204654059491418e+01
1.315000000000000000e+02,7.726121514661544154e+01
1.305000000000000000e+02,7.792149264848075063e+01
1.335000000000000000e+02,7.681165365620530849e+01
1.315000000000000000e+02,7.695722745914197560e+01
1.335000000000000000e+02,7.768751802622786329e+01
1.350000000000000000e+02,7.743292894370898694e+01
1.350000000000000000e+02,7.689887122105318440e+01
1.375000000000000000e+02,7.668456203871097898e+01
1.380000000000000000e+02,7.724449130632297056e+01
1.390000000000000000e+02,7.743388020280653450e+01
1.390000000000000000e+02,7.632994977131806991e+01
1.490000000000000000e+02,6.230629908769434167e+01
1.680000000000000000e+02,4.470865236502282158e+01
1.875000000000000000e+02,2.803821061458177510e+01
2.060000000000000000e+02,1.830093463517396302e+01
2.240000000000000000e+02,1.000777397600212026e+01
2.380000000000000000e+02,6.216148470451703822e+00
2.485000000000000000e+02,6.006047250110107427e+00
2.520000000000000000e+02,6.081208514670716880e+00
2.530000000000000000e+02,6.146573311778690929e+00
2.560000000000000000e+02,6.026955520460104410e+00
2.560000000000000000e+02,5.900010328889577771e+00
2.585000000000000000e+02,6.070654039385180667e+00
2.585000000000000000e+02,6.305126007372234831e+00
2.605000000000000000e+02,6.305985249278629468e+00
2.615000000000000000e+02,6.320739210824648069e+00
2.630000000000000000e+02,6.539495245722418026e+00
2.645000000000000000e+02,7.014785108644955081e+00
2.670000000000000000e+02,6.899301677630692353e+00
2.670000000000000000e+02,6.963087429786892102e+00
2.695000000000000000e+02,7.307826967341194191e+00
2.705000000000000000e+02,7.213344008527855067e+00
2.725000000000000000e+02,7.498812026751385140e+00
2.825000000000000000e+02,6.482581870515641498e+00
3.010000000000000000e+02,9.459541885318779819e+00
3.215000000000000000e+02,1.695231819869015766e+01
3.405000000000000000e+02,2.699374954714879493e+01
3.590000000000000000e+02,4.163305004045833613e+01
3.715000000000000000e+02,5.196239325025920408e+01
3.810000000000000000e+02,5.876481134112236049e+01
3.870000000000000000e+02,6.244000389606548396e+01
3.890000000000000000e+02,6.160910894203692578e+01
3.915000000000000000e+02,6.246941313411099372e+01
3.930000000000000000e+02,6.182409790472945588e+01
3.960000000000000000e+02,6.426895811471665354e+01
3.965000000000000000e+02,6.240779340212459658e+01
3.995000000000000000e+02,6.278521490997398047e+01
4.010000000000000000e+02,6.089706353617653178e+01
4.030000000000000000e+02,6.190656727626219435e+01
4.045000000000000000e+02,6.169529596401843463e+01
4.070000000000000000e+02,6.103335858425809590e+01
4.070000000000000000e+02,6.128466951919716621e+01
4.095000000000000000e+02,6.252838621682256104e+01
4.140000000000000000e+02,6.265156115963896610e+01
4.140000000000000000e+02,6.130398174466520089e+01
4.165000000000000000e+02,6.137531144495596180e+01
4.190000000000000000e+02,6.247882941451006644e+01
4.205000000000000000e+02,6.184421897457796291e+01
4.220000000000000000e+02,6.422674230498007830e+01
4.255000000000000000e+02,6.264394859216179867e+01
4.275000000000000000e+02,6.228133444523659534e+01
4.285000000000000000e+02,6.135170921376845854e+01
4.310000000000000000e+02,6.091151066613967657e+01
4.330000000000000000e+02,6.141658992244981619e+01
4.360000000000000000e+02,6.266371969655079965e+01
4.355000000000000000e+02,6.181718303383315316e+01
4.380000000000000000e+02,6.220406578316011803e+01
4.405000000000000000e+02,6.293621933566072357e+01
1.350000000000000000e+01,2.888748802668944737e+00
2.900000000000000000e+01,8.155253492633688595e+00
4.900000000000000000e+01,1.645078712621578276e+01
6.750000000000000000e+01,2.735581808428452177e+01
8.900000000000000000e+01,4.690668928810683980e+01
1.060000000000000000e+02,6.488656459904744622e+01
1.135000000000000000e+02,7.271352458029910792e+01
1.135000000000000000e+02,7.017646583483279699e+01
1.160000000000000000e+02,7.236733978528543787e+01
1.180000000000000000e+02,6.951521852373126364e+01
1.195000000000000000e+02,6.810444187370181623e+01
1.200000000000000000e+02,6.606355513249985734e+01
1.220000000000000000e+02,6.596642546474980406e+01
1.230000000000000000e+02,6.616231063231843734e+01
1.240000000000000000e+02,6.508357168544522153e+01
1.265000000000000000e+02,6.501349508702888613e+01
1.275000000000000000e+02,6.426634516491648697e+01
1.285000000000000000e+02,6.442285042038609788e+01
1.305000000000000000e+02,6.168836481125536153e+01
1.315000000000000000e+02,6.110135151165937373e+01
1.350000000000000000e+02,6.141964102872734799e+01
1.355000000000000000e+02,5.857355154449166434e+01
1.365000000000000000e+02,5.838333359969388425e+01
1.370000000000000000e+02,5.885239081669509176e+01
1.385000000000000000e+02,6.060283850071316181e+01
1.400000000000000000e+02,5.821872556692157019e+01
1.420000000000000000e+02,5.724305266670419456e+01
1.430000000000000000e+02,5.748038626591159073e+01
1.455000000000000000e+02,5.483843221460433170e+01
1.470000000000000000e+02,5.458591230123890625e+01
1.485000000000000000e+02,5.425742346933318316e+01
1.475000000000000000e+02,5.380601589722205347e+01
1.500000000000000000e+02,5.454056953942284025e+01
1.525000000000000000e+02,5.186801107051270776e+01
1.515000000000000000e+02,5.175686694753873951e+01
1.560000000000000000e+02,5.170625841341505691e+01
1.560000000000000000e+02,5.119685400394379826e+01
1.560000000000000000e+02,4.879547595019979411e+01
1.580000000000000000e+02,5.003652160214541311e+01
1.595000000000000000e+02,4.851626260304027483e+01
1.615000000000000000e+02,4.682028221100019749e+01
1.635000000000000000e+02,4.877905445262587136e+01
1.645000000000000000e+02,4.767217785303180477e+01
1.655000000000000000e+02,4.677963217913778493e+01
1.675000000000000000e+02,4.540511690110634646e+01
1.675000000000000000e+02,4.437934820017481030e+01
1.710000000000000000e+02,4.486603062069926295e+01
1.720000000000000000e+02,4.383485323951532564e+01
1.715000000000000000e+02,4.525645930156292707e+01
1.750000000000000000e+02,4.397085907319610953e+01
1.770000000000000000e+02,4.189321974792217418e+01
1.775000000000000000e+02,4.112799874562414715e+01
1.780000000000000000e+02,4.081386307513092504e+01
1.805000000000000000e+02,4.120471796693623645e+01
1.800000000000000000e+02,4.068694100432767868e+01
1.835000000000000000e+02,3.884568965365431126e+01
1.845000000000000000e+02,3.865917816108321858e+01
1.860000000000000000e+02,3.814396547398983017e+01
1.875000000000000000e+02,3.811130143692996342e+01
1.895000000000000000e+02,3.784553907376355397e+01
1.905000000000000000e+02,3.604736919408824036e+01
1.930000000000000000e+02,3.576191375258818539e+01
1.930000000000000000e+02,3.566813841739509172e+01
1.955000000000000000e+02,3.474976170045304968e+01
1.960000000000000000e+02,3.336383777358800984e+01
1.975000000000000000e+02,3.560876959820541288e+01
2.080000000000000000e+02,4.415944110048000226e+01
2.260000000000000000e+02,6.232471425439992885e+01
2.475000000000000000e+02,8.668356346506998023e+01
2.660000000000000000e+02,1.131762943178487717e+02
2.840000000000000000e+02,1.459114659151809690e+02
2.980000000000000000e+02,1.648041978977933582e+02
3.070000000000000000e+02,1.826651607413336365e+02
3.125000000000000000e+02,1.843641011314925322e+02
3.155000000000000000e+02,1.825477811305018747e+02
3.165000000000000000e+02,1.812204234175567308e+02
3.190000000000000000e+02,1.834747888156237821e+02
3.210000000000000000e+02,1.811153790683805767e+02
3.225000000000000000e+02,1.832906250430145576e+02
3.250000000000000000e+02,1.841377560559846245e+02
3.255000000000000000e+02,1.829741475392269763e+02
3.280000000000000000e+02,1.823301090488891134e+02
3.300000000000000000e+02,1.809335917057140364e+02
3.335000000000000000e+02,1.837710754918599321e+02
3.335000000000000000e+02,1.827418888148470444e+02
3.345000000000000000e+02,1.832698583641984555e+02
3.380000000000000000e+02,1.824651393925729224e+02
3.405000000000000000e+02,1.808091675016314923e+02
3.415000000000000000e+02,1.830187899915808885e+02
3.445000000000000000e+02,1.812032192001441615e+02
3.465000000000000000e+02,1.837223133146024168e+02
3.485000000000000000e+02,1.824016179982446886e+02
3.510000000000000000e+02,1.825332780729350759e+02
3.530000000000000000e+02,1.814115632418034352e+02
3.535000000000000000e+02,1.806644400864012709e+02
3.575000000000000000e+02,1.804233097916136899e+02
3.580000000000000000e+02,1.822299203902379929e+02
3.610000000000000000e+02,1.835058585114008736e+02
3.615000000000000000e+02,1.822055936646160603e+02
3.650000000000000000e+02,1.817312423190797404e+02
3.665000000000000000e+02,1.829541671659235362e+02
1.500000000000000000e+00,1.184371882484468230e+00
5.000000000000000000e+00,1.559828960964796840e+00
5.500000000000000000e+00,1.456895673396397584e+00
8.500000000000000000e+00,1.561473388797629092e+00
9.500000000000000000e+00,1.258972418640476265e+00
1.200000000000000000e+01,1.725668879236122777e+00
1.400000000000000000e+01,1.402658101667659585e+00
1.600000000000000000e+01,1.725816834330213601e+00
1.900000000000000000e+01,1.626434442731518049e+00
1.950000000000000000e+01,1.710680612803165079e+00
2.300000000000000000e+01,1.865035047887799058e+00
2.400000000000000000e+01,2.010049161312271515e+00
2.700000000000000000e+01,1.782966830025265015e+00
2.850000000000000000e+01,1.775286690464601413e+00
2.850000000000000000e+01,2.472987249892478978e+00
3.250000000000000000e+01,2.080233452608085010e+00
3.450000000000000000e+01,1.857884717673320640e+00
3.650000000000000000e+01,2.149154376493996654e+00
3.900000000000000000e+01,2.456531872314785314e+00
4.050000000000000000e+01,2.472822758107933172e+00
4.400000000000000000e+01,2.356354586171767629e+00
4.600000000000000000e+01,2.347004286892507174e+00
4.750000000000000000e+01,2.554836258335379640e+00
4.900000000000000000e+01,2.351184438662969001e+00
5.150000000000000000e+01,3.837005498735273523e+00
5.500000000000000000e+01,2.964547951821269844e+00
5.650000000000000000e+01,2.788562244537698742e+00
5.800000000000000000e+01,2.523761142792313006e+00
6.050000000000000000e+01,2.388437981428063406e+00
6.300000000000000000e+01,2.844231702682440854e+00
6.400000000000000000e+01,2.616145718657941099e+00
6.500000000000000000e+01,3.134481831565950838e+00
6.850000000000000000e+01,2.889233062899707605e+00
7.100000000000000000e+01,2.624962410030994509e+00
7.100000000000000000e+01,2.610538816026107156e+00
7.450000000000000000e+01,2.869484586944139437e+00
7.700000000000000000e+01,2.734302506686595358e+00
7.800000000000000000e+01,2.447342140291180801e+00
7.950000000000000000e+01,2.738350787892106730e+00
8.200000000000000000e+01,2.623209281435358253e+00
8.350000000000000000e+01,2.898166849311762494e+00
8.650000000000000000e+01,2.892316574786916838e+00
8.800000000000000000e+01,3.639606758333880698e+00
9.050000000000000000e+01,2.980001239273115665e+00
9.150000000000000000e+01,3.143041335143131665e+00
9.300000000000000000e+01,3.028562525894754387e+00
1.005000000000000000e+02,3.151470085947491118e+00
1.105000000000000000e+02,6.100058658802613998e+00
1.250000000000000000e+02,9.704809632871924663e+00
1.465000000000000000e+02,1.897433543034579984e+01
1.645000000000000000e+02,3.080675625315078747e+01
1.855000000000000000e+02,4.709682377207426640e+01
2.040000000000000000e+02,6.543643117199832204e+01
2.140000000000000000e+02,7.606047186780206459e+01
2.145000000000000000e+02,7.613700205635298346e+01
2.165000000000000000e+02,7.724615686078733745e+01
2.180000000000000000e+02,7.344434111767857587e+01
2.200000000000000000e+02,7.297225675468077100e+01
2.210000000000000000e+02,7.289345019582616203e+01
2.225000000000000000e+02,7.033428990983209417e+01
2.240000000000000000e+02,7.342555053290232081e+01
2.250000000000000000e+02,7.205026325320861247e+01
2.255000000000000000e+02,6.916443571499883092e+01
2.285000000000000000e+02,6.909686036637577899e+01
2.290000000000000000e+02,6.954111493612090555e+01
2.300000000000000000e+02,6.632810828526798730e+01
2.315000000000000000e+02,6.617666972463293007e+01
2.335000000000000000e+02,6.501242408011833618e+01
2.345000000000000000e+02,6.608737336493827286e+01
2.370000000000000000e+02,6.487000230955483460e+01
2.370000000000000000e+02,6.602400531507818471e+01
2.390000000000000000e+02,6.495578774398525468e+01
2.395000000000000000e+02,6.441239646265134411e+01
2.415000000000000000e+02,6.279520712099201063e+01
2.430000000000000000e+02,6.175097021214859438e+01
2.440000000000000000e+02,5.867415791400065928e+01
2.460000000000000000e+02,6.070653476458122810e+01
2.470000000000000000e+02,6.060643143937250699e+01
2.485000000000000000e+02,6.071507280274464335e+01
2.520000000000000000e+02,5.769898364719039563e+01
2.505000000000000000e+02,5.858796894680403966e+01
2.530000000000000000e+02,5.734225654168095332e+01
2.540000000000000000e+02,5.757818756309094255e+01
2.570000000000000000e+02,5.547674393994581266e+01
2.575000000000000000e+02,5.436411073602574362e+01
2.575000000000000000e+02,5.524861959422530333e+01
2.595000000000000000e+02,5.383387640222419890e+01
2.615000000000000000e+02,5.422991168410778329e+01
2.630000000000000000e+02,5.196156368359842759e+01
2.650000000000000000e+02,5.158313915245744852e+01
2.660000000000000000e+02,5.201018012699373827e+01
2.680000000000000000e+02,5.109954494874955344e+01
2.695000000000000000e+02,5.014853439505125721e+01
2.705000000000000000e+02,5.111749424314842116e+01
2.715000000000000000e+02,5.013583730354037726e+01
2.735000000000000000e+02,4.763442631714383424e+01
2.740000000000000000e+02,4.791467083003438177e+01
2.770000000000000000e+02,4.770184992200584873e+01
2.760000000000000000e+02,4.745021999375627786e+01
2.790000000000000000e+02,4.679658262283150094e+01
2.805000000000000000e+02,4.713662029336494186e+01
-5.000000000000000000e-01,1.521353869581268725e+00
4.000000000000000000e+00,1.601361572077343087e+00
3.500000000000000000e+00,1.569047586837801544e+00
6.000000000000000000e+00,1.530289135022505409e+00
6.500000000000000000e+00,1.587346987344848026e+00
9.500000000000000000e+00,1.856186744638113950e+00
1.050000000000000000e+01,1.734617177578345881e+00
1.100000000000000000e+01,1.606568862289131649e+00
1.800000000000000000e+01,2.613519032078173598e+00
3.100000000000000000e+01,6.960192060619950105e+00
5.600000000000000000e+01,1.469366592916496828e+01
7.350000000000000000e+01,2.462575992211182907e+01
9.350000000000000000e+01,3.873463750843803410e+01
1.100000000000000000e+02,5.417473640682324998e+01
1.225000000000000000e+02,6.439087043078534123e+01
1.295000000000000000e+02,6.953034419391616439e+01
1.315000000000000000e+02,7.023278128896744477e+01
1.335000000000000000e+02,6.905556585536787395e+01
1.385000000000000000e+02,7.677432562775483404e+01
1.515000000000000000e+02,8.921047298231260925e+01
1.675000000000000000e+02,1.103968944358586697e+02
1.820000000000000000e+02,1.346004939810294729e+02
1.960000000000000000e+02,1.585528568524423179e+02
2.125000000000000000e+02,1.872411650928138158e+02
2.305000000000000000e+02,2.228572705705255999e+02
2.460000000000000000e+02,2.525772891912397711e+02
2.570000000000000000e+02,2.724848600146607964e+02
2.650000000000000000e+02,2.922957002259175283e+02
