signal_DN,var_single_DN2
8.850000000000000000e+01,5.181668833555702349e+02
1.845000000000000000e+02,2.377568435804359069e+03
2.910000000000000000e+02,3.975604832236721904e+03
3.865000000000000000e+02,7.115343671841023024e+03
4.975000000000000000e+02,1.138755621205503121e+04
2.227500000000000000e+03,1.522674166626372025e+05
3.338000000000000000e+03,1.430876328945480927e+05
3.533500000000000000e+03,1.669781658332561492e+05
3.787500000000000000e+03,1.875551054645382683e+05
4.006500000000000000e+03,2.162905307411588437e+05
4.218500000000000000e+03,2.439899568559803010e+05
4.453000000000000000e+03,2.726036492215840844e+05
4.665000000000000000e+03,3.030667378763483721e+05
4.901000000000000000e+03,3.372022121090129949e+05
5.112500000000000000e+03,3.773482210815409780e+05
5.362000000000000000e+03,4.185908542277727975e+05
6.505000000000000000e+03,6.611609899404332973e+05
8.485500000000000000e+03,9.174788840735682752e+05
1.181250000000000000e+04,1.654119651832524687e+06
1.373900000000000000e+04,2.086065889762349427e+06
1.453050000000000000e+04,2.197992353590166196e+06
1.060000000000000000e+02,8.162460324917976777e+02
1.653000000000000000e+03,7.954756712854938814e+04
2.964000000000000000e+03,1.011521580512671790e+05
3.162750000000000000e+03,1.213701580223532073e+05
3.406000000000000000e+03,1.427487232503918640e+05
3.634000000000000000e+03,1.621339573773854063e+05
3.873000000000000000e+03,1.855993245055809093e+05
4.070000000000000000e+03,2.119721813292572915e+05
4.306000000000000000e+03,2.329649983244574105e+05
4.526000000000000000e+03,2.631529792024560156e+05
7.181500000000000000e+03,6.432235365393151296e+05
8.982500000000000000e+03,9.516486196292848326e+05
1.136450000000000000e+04,1.392669637412100332e+06
1.357350000000000000e+04,1.827477062539736507e+06
1.413650000000000000e+04,2.014574543862872990e+06
1.647000000000000000e+04,2.752515118545853533e+06
2.439125000000000000e+04,1.432016471417478845e+07
2.439125000000000000e+04,1.441220219282293692e+07
2.439125000000000000e+04,1.441248211744989641e+07
2.439125000000000000e+04,1.443409685151125677e+07
2.439125000000000000e+04,1.455723490026605688e+07
2.057500000000000000e+03,5.525016959971053438e+04
4.203000000000000000e+03,1.407895618882712188e+04
7.280500000000000000e+03,3.521965510657376581e+04
9.974250000000000000e+03,1.413087399740476976e+05
1.170400000000000000e+04,2.403247322792880004e+05
1.353150000000000000e+04,3.887391269392620306e+05
1.551150000000000000e+04,5.411298278393356595e+05
1.577025000000000000e+04,5.180766948452969664e+05
1.608100000000000000e+04,4.970395276104675722e+05
1.640100000000000000e+04,4.763106334516864736e+05
1.914900000000000000e+04,2.136338483159276948e+05
2.101850000000000000e+04,1.015784050612455758e+05
2.348100000000000000e+04,2.478017955762320707e+04
2.577000000000000000e+04,5.375438294079084881e+04
2.642950000000000000e+04,7.022536713373589737e+04
2.881325000000000000e+04,2.129641640459323826e+05
3.682125000000000000e+04,1.269711682461308502e+07
3.722875000000000000e+04,1.278871488114487007e+07
3.917800000000000000e+04,1.278515379321798496e+07
3.936975000000000000e+04,1.279855662377680466e+07
3.955425000000000000e+04,1.285311759894784726e+07
2.160500000000000000e+03,5.005882462711160770e+04
2.963500000000000000e+03,8.659114228794150404e+04
4.984500000000000000e+03,1.582889027329438541e+05
7.730500000000000000e+03,3.616991218997334945e+05
9.408000000000000000e+03,5.125108751290637883e+05
1.125100000000000000e+04,7.125650465584489284e+05
1.321100000000000000e+04,9.204875664875243092e+05
1.352425000000000000e+04,8.900253493859799346e+05
1.380600000000000000e+04,8.597554868344904389e+05
1.413000000000000000e+04,8.312002570733190514e+05
1.445000000000000000e+04,8.041562821916671237e+05
1.475750000000000000e+04,7.746595381548648002e+05
1.504300000000000000e+04,7.473097246508997632e+05
1.537100000000000000e+04,7.196357837310009636e+05
1.567750000000000000e+04,6.923342927002630895e+05
1.596425000000000000e+04,6.688591448376576882e+05
1.624900000000000000e+04,6.431913755312423455e+05
1.688925000000000000e+04,6.820993384327902459e+05
1.904425000000000000e+04,8.963576211343349423e+05
1.946200000000000000e+04,8.826898208560608327e+05
1.986700000000000000e+04,8.705361054563426878e+05
4.155000000000000000e+02,7.198628096785146226e+02
8.440000000000000000e+02,1.067753153929559630e+03
1.324500000000000000e+03,1.508504220828490361e+03
1.803500000000000000e+03,1.711047899163678949e+03
2.239000000000000000e+03,1.999490929582721947e+03
2.691500000000000000e+03,2.318499259664454712e+03
3.155000000000000000e+03,2.628391480408056850e+03
3.619500000000000000e+03,2.939795362211236352e+03
4.059500000000000000e+03,3.241224922907809741e+03
4.487000000000000000e+03,3.587277105263473459e+03
4.966500000000000000e+03,3.888731957089832576e+03
5.415500000000000000e+03,4.227984299024038592e+03
5.827000000000000000e+03,4.483084695098146767e+03
6.304000000000000000e+03,4.752677637355585830e+03
6.748500000000000000e+03,5.027962821869708023e+03
7.196000000000000000e+03,5.350147222268305086e+03
7.628500000000000000e+03,5.621821894883600180e+03
8.082250000000000000e+03,5.978406110092465497e+03
8.513000000000000000e+03,6.208368902017482469e+03
8.945000000000000000e+03,6.487760646829819962e+03
9.383000000000000000e+03,6.757895569190499373e+03
4.285000000000000000e+02,7.312977981135961727e+02
8.835000000000000000e+02,1.064136213934144735e+03
1.325000000000000000e+03,1.569207461630819353e+03
1.799000000000000000e+03,1.726975037671762948e+03
2.268500000000000000e+03,2.037598212829152999e+03
2.718500000000000000e+03,2.355216985157831459e+03
3.169000000000000000e+03,2.609541072525124946e+03
3.603000000000000000e+03,2.944735282945273411e+03
4.064500000000000000e+03,3.233846471569247569e+03
4.500500000000000000e+03,3.585032348980103052e+03
4.975500000000000000e+03,3.831656536943807623e+03
5.405000000000000000e+03,4.111088791248066627e+03
5.840000000000000000e+03,4.391096653959335526e+03
6.288500000000000000e+03,4.689070957404195724e+03
6.724500000000000000e+03,4.981655586882578973e+03
7.153500000000000000e+03,5.263081457450361086e+03
7.633500000000000000e+03,5.559784091880810593e+03
8.063500000000000000e+03,5.845992457552763881e+03
8.487000000000000000e+03,6.110804772374472122e+03
8.924000000000000000e+03,6.372223310631045024e+03
9.375000000000000000e+03,6.676026975975148162e+03
4.600000000000000000e+02,8.623930751657730980e+02
9.105000000000000000e+02,1.152052007157491744e+03
1.382250000000000000e+03,1.446517781913229555e+03
1.852000000000000000e+03,1.731444810179426895e+03
2.283500000000000000e+03,2.052021323453140667e+03
2.767000000000000000e+03,2.335774723457250730e+03
3.201500000000000000e+03,2.705650892864687194e+03
3.656500000000000000e+03,2.973611387157261106e+03
4.078500000000000000e+03,3.404391918019713557e+03
4.542000000000000000e+03,3.615562498209028490e+03
4.974500000000000000e+03,3.944922352201039757e+03
5.413000000000000000e+03,4.255857903921661091e+03
5.867000000000000000e+03,4.495376206347195875e+03
6.292000000000000000e+03,4.810352534572308286e+03
6.736000000000000000e+03,5.218428627844421499e+03
7.145000000000000000e+03,5.349881535676658132e+03
7.612750000000000000e+03,5.744117059629843425e+03
8.058000000000000000e+03,6.129581563021108195e+03
8.461000000000000000e+03,6.243149217222097832e+03
8.931500000000000000e+03,6.444889879010886034e+03
9.383500000000000000e+03,6.718499148507962673e+03
4.625000000000000000e+02,8.927649692540175010e+02
9.090000000000000000e+02,1.110189163437771640e+03
1.385750000000000000e+03,1.487761137873966163e+03
1.822000000000000000e+03,1.702601099045337833e+03
2.258000000000000000e+03,2.040258644392994483e+03
2.739000000000000000e+03,2.393113212017774003e+03
3.177000000000000000e+03,2.747128116168391443e+03
3.656500000000000000e+03,3.080966895972040220e+03
4.047000000000000000e+03,3.289541140569470826e+03
4.492500000000000000e+03,3.535531581915544848e+03
4.945500000000000000e+03,3.931911107680524310e+03
5.392500000000000000e+03,4.349491839962850463e+03
5.826000000000000000e+03,4.521064897239815764e+03
6.258000000000000000e+03,4.724605679064993637e+03
6.734000000000000000e+03,5.137099979735546185e+03
7.142000000000000000e+03,5.276178321884262914e+03
7.569750000000000000e+03,5.559570636366359395e+03
8.017000000000000000e+03,6.093725513102293917e+03
8.441500000000000000e+03,6.192826947070971983e+03
8.904500000000000000e+03,6.449785042245638579e+03
9.332000000000000000e+03,6.616908683201626445e+03
4.490000000000000000e+02,8.189187765962851699e+02
8.910000000000000000e+02,1.030405049820443992e+03
1.330000000000000000e+03,1.464686471756542460e+03
1.781000000000000000e+03,1.815408671345262292e+03
2.230000000000000000e+03,2.050693649124482363e+03
2.693000000000000000e+03,2.413795755377448131e+03
3.148500000000000000e+03,2.704773378075335586e+03
3.615500000000000000e+03,2.895284208389227388e+03
4.011000000000000000e+03,3.232660553887971673e+03
4.456500000000000000e+03,3.500540803589812640e+03
4.907000000000000000e+03,3.794952230316035184e+03
5.366500000000000000e+03,4.181112385373841789e+03
5.833000000000000000e+03,4.459195657053223840e+03
6.254000000000000000e+03,4.696708205821500087e+03
6.699000000000000000e+03,4.988493961639843292e+03
7.145500000000000000e+03,5.214096264827495361e+03
7.544000000000000000e+03,5.541573580816759204e+03
7.972000000000000000e+03,5.854772026230211850e+03
8.419500000000000000e+03,6.147108116441042512e+03
8.865000000000000000e+03,6.613919715633280248e+03
9.277000000000000000e+03,6.622744871041933948e+03
