signal_DN,var_single_DN2
1.601071548461914062e+01,3.831327667249379676e+00
2.099475097656250000e+01,5.763139665461386230e+00
2.694528198242187500e+01,6.927989818784674902e+00
4.934070968627929688e+01,2.132495771187912581e+01
7.670728683471679688e+01,5.101963509176493261e+01
1.029979858398437500e+02,8.710163428497099858e+01
1.416166839599609375e+02,1.683839424275485328e+02
1.745992584228515625e+02,2.594449248043827083e+02
1.797115478515625000e+02,2.707573621094236955e+02
1.829373321533203125e+02,2.770650285464726039e+02
1.861556472778320312e+02,2.830046274965140469e+02
1.893485107421875000e+02,2.880919890615193708e+02
1.926270065307617188e+02,2.937411353445869509e+02
1.957564849853515625e+02,2.984403240279369243e+02
1.992257690429687500e+02,3.048814547768784564e+02
2.023564605712890625e+02,3.110414599959040061e+02
2.055893554687500000e+02,3.170792417290796266e+02
2.088910827636718750e+02,3.215118139294839921e+02
2.121022968292236328e+02,3.269993792883918786e+02
2.152630310058593750e+02,3.329422947204434990e+02
2.183834228515625000e+02,3.384409583135923754e+02
2.216507339477539062e+02,3.427078024076053566e+02
2.248028564453125000e+02,3.493860299470386508e+02
2.280624847412109375e+02,3.563516108195055381e+02
2.314144897460937500e+02,3.616513857148091802e+02
2.346800003051757812e+02,3.672512330466288972e+02
2.377416076660156250e+02,3.737671854872219228e+02
2.409960327148437500e+02,3.803471095430804212e+02
2.442863998413085938e+02,3.857504784617367477e+02
2.497037506103515625e+02,3.845605540692099567e+02
2.780338973999023438e+02,3.100860560171283851e+02
3.131464309692382812e+02,2.249584115653299250e+02
3.446876831054687500e+02,1.582222403399852055e+02
3.623127365112304688e+02,1.261503297491401128e+02
3.673953399658203125e+02,1.244147508876508539e+02
3.716334686279296875e+02,1.252187821060331316e+02
3.757286834716796875e+02,1.275548182564955937e+02
3.799768505096435547e+02,1.285916931225101507e+02
3.882159118652343750e+02,1.354603113459104691e+02
4.270971374511718750e+02,2.252638504115846274e+02
4.635234413146972656e+02,3.192646188799510014e+02
4.902683334350585938e+02,3.911406070286815861e+02
5.175963287353515625e+02,4.806919004521627699e+02
5.371834106445312500e+02,5.510761843014216765e+02
5.424330596923828125e+02,5.585797491337319798e+02
5.492785873413085938e+02,5.708912833999669374e+02
5.677282028198242188e+02,6.292355761001871315e+02
5.939916076660156250e+02,7.298433721544608943e+02
6.204559555053710938e+02,8.451181626526378068e+02
6.442027282714843750e+02,9.525026143476108018e+02
6.656879119873046875e+02,1.052601280674102554e+03
6.707922592163085938e+02,1.060660334070069212e+03
6.771283416748046875e+02,1.074655629370824499e+03
6.988326492309570312e+02,1.186968843769114983e+03
7.290491333007812500e+02,1.345628110572515652e+03
7.625469512939453125e+02,1.538273378220876111e+03
2.716102600097656250e+00,7.451869410394554860e-01
5.373718261718750000e+00,8.821128475049170303e-01
8.002552032470703125e+00,9.845743178314280142e-01
1.129165649414062500e+01,1.318838087806935899e+00
2.595693969726562500e+01,7.985184437705845184e+00
5.527008438110351562e+01,2.933485232258384556e+01
8.808435821533203125e+01,6.908839082231766326e+01
1.178550186157226562e+02,1.135423401039968070e+02
1.233427734375000000e+02,1.188073597731142570e+02
1.247936096191406250e+02,1.190363051011321289e+02
1.264207077026367188e+02,1.187897805397620914e+02
1.277633972167968750e+02,1.190473740564499252e+02
1.293303298950195312e+02,1.183946524575860479e+02
1.307071075439453125e+02,1.181165444011267596e+02
1.322473220825195312e+02,1.186819147122344731e+02
1.337568244934082031e+02,1.186608860922701325e+02
1.352467193603515625e+02,1.185789447376153589e+02
1.368083953857421875e+02,1.187005361042863569e+02
1.382584171295166016e+02,1.179985814279318532e+02
1.396992645263671875e+02,1.189066679149051282e+02
1.410142517089843750e+02,1.189902369271561327e+02
1.425944309234619141e+02,1.175375342479404566e+02
1.440595397949218750e+02,1.185921176397571486e+02
1.455941085815429688e+02,1.180180631655391892e+02
1.470816040039062500e+02,1.180235413955693389e+02
1.485445632934570312e+02,1.180436203750413995e+02
1.498153686523437500e+02,1.181964908685763049e+02
1.513980102539062500e+02,1.177324479252085752e+02
1.528975677490234375e+02,1.181368728471185108e+02
1.565767974853515625e+02,1.120474268039501311e+02
1.831833648681640625e+02,6.937938178460363758e+01
2.165168800354003906e+02,3.272136498199449761e+01
2.462388305664062500e+02,1.315091231482507261e+01
2.621498489379882812e+02,7.684580779112714310e+00
2.652829742431640625e+02,7.405313635678468565e+00
2.677993354797363281e+02,7.416258317540205702e+00
2.702089843750000000e+02,7.403560792919884115e+00
2.727651882171630859e+02,7.358011737659648333e+00
2.753774986267089844e+02,7.392477109126738277e+00
2.778458175659179688e+02,7.442876287104506439e+00
2.802630920410156250e+02,7.611103725397101449e+00
2.827342987060546875e+02,7.745634041370796474e+00
2.852831420898437500e+02,7.878285073177093700e+00
2.969701080322265625e+02,1.028334646950077413e+01
3.319992370605468750e+02,3.034311451220101574e+01
3.641347198486328125e+02,5.955516721917799572e+01
3.902275161743164062e+02,8.725370645601775266e+01
3.987958068847656250e+02,9.191072994639236526e+01
4.028542480468750000e+02,9.386192813724827033e+01
4.219822845458984375e+02,1.291795054508549470e+02
4.479647369384765625e+02,1.748849694873768215e+02
4.734052963256835938e+02,2.391085083758975145e+02
5.017764396667480469e+02,3.098240191289683025e+02
5.223780899047851562e+02,3.624271930014301120e+02
5.309155731201171875e+02,3.724151563354641894e+02
5.352384262084960938e+02,3.752571413546359054e+02
4.722084045410156250e+00,7.790155713258463122e-01
9.507980346679687500e+00,9.423180816843701457e-01
1.423236465454101562e+01,1.146810787081903760e+00
1.967321777343750000e+01,1.442184334910991961e+00
3.654046630859375000e+01,4.874784576936984415e+00
6.803099441528320312e+01,1.998050254263981884e+01
1.030207214355468750e+02,5.088050259953896415e+01
1.348756942749023438e+02,8.460084462539775529e+01
1.424895019531250000e+02,8.373599812678224907e+01
1.461487846374511719e+02,8.053634978143978174e+01
1.497914199829101562e+02,7.764288790884650382e+01
1.533243408203125000e+02,7.455191149313529309e+01
1.569234619140625000e+02,7.074431733986878612e+01
1.604797515869140625e+02,6.757166346443568727e+01
1.641503677368164062e+02,6.501734348358939997e+01
1.676741523742675781e+02,6.185550928159252493e+01
1.713852996826171875e+02,5.854670382471731926e+01
1.749439926147460938e+02,5.629779073181637727e+01
1.785920562744140625e+02,5.342588879320130957e+01
1.821589660644531250e+02,5.138953501140493074e+01
1.856523780822753906e+02,4.915643735487496713e+01
1.893858089447021484e+02,4.675116857830602157e+01
1.929718475341796875e+02,4.460231821071209168e+01
1.964983139038085938e+02,4.183048802980221836e+01
2.001321792602539062e+02,4.027474657201860708e+01
2.037574310302734375e+02,3.859960453038318917e+01
2.077501220703125000e+02,3.488264805332641316e+01
2.216639938354492188e+02,2.289296030696407769e+01
2.459907379150390625e+02,1.045571721848176416e+01
2.743103942871093750e+02,9.906713210640464951e+00
2.976552581787109375e+02,2.232116540736663879e+01
3.231831016540527344e+02,4.283337298736346810e+01
3.317591705322265625e+02,4.940645386662646388e+01
3.350673065185546875e+02,5.239348037233060040e+01
3.513338413238525391e+02,7.608772169478299929e+01
3.802047004699707031e+02,1.265775581761267432e+02
4.123087005615234375e+02,1.955557782796602737e+02
4.387967834472656250e+02,2.584427778978798642e+02
4.426105690002441406e+02,2.632937006342780251e+02
4.439519577026367188e+02,2.630658596496147652e+02
4.452590789794921875e+02,2.630562575181562579e+02
4.466989440917968750e+02,2.629741779580243701e+02
4.481409149169921875e+02,2.627884479801310817e+02
4.586748352050781250e+02,2.323531758000945899e+02
4.925956115722656250e+02,1.538956399104376089e+02
5.236806869506835938e+02,9.983335213533388242e+01
5.486101989746093750e+02,6.363601113555010613e+01
5.561580638885498047e+02,5.524786232682413356e+01
5.591253395080566406e+02,5.334039851784740449e+01
5.770751495361328125e+02,3.951127476029540020e+01
6.020617752075195312e+02,2.313678340608684536e+01
6.264442825317382812e+02,2.156879797514794461e+01
6.537627525329589844e+02,3.195264601793341441e+01
6.732812805175781250e+02,4.376929466141405101e+01
6.805777740478515625e+02,4.639627805299277696e+01
6.838767471313476562e+02,4.815861666028893495e+01
3.639144897460937500e+00,8.003591357698094377e-01
7.490097045898437500e+00,1.068372117168667534e+00
1.112525939941406250e+01,1.423734133536507684e+00
1.479537963867187500e+01,1.914762085117948542e+00
1.847711181640625000e+01,2.506916433024961588e+00
2.203871154785156250e+01,3.036307057097632267e+00
2.573898315429687500e+01,3.776235945251081194e+00
2.947252655029296875e+01,4.687103365049414272e+00
3.315444946289062500e+01,5.442914845698687110e+00
3.687003707885742188e+01,6.426574749124943864e+00
4.054785919189453125e+01,7.422847372045390912e+00
4.414171981811523438e+01,8.661443054179583712e+00
4.765127563476562500e+01,9.912226851686577689e+00
5.184902954101562500e+01,1.086076693183141195e+01
7.522042083740234375e+01,1.186201941648849889e+01
1.122317352294921875e+02,1.742796196249416951e+01
1.454386901855468750e+02,3.723439323008129520e+01
1.668497543334960938e+02,4.877978914533779431e+01
1.732238922119140625e+02,4.777602952333387520e+01
1.818009033203125000e+02,5.519366351745814114e+01
2.081059112548828125e+02,9.383533121479668182e+01
2.339212913513183594e+02,1.309391428654396634e+02
2.631683731079101562e+02,1.936856398075581183e+02
2.909802093505859375e+02,2.503305569198195144e+02
3.085629119873046875e+02,2.783248119558570011e+02
3.154526062011718750e+02,2.786744317920887397e+02
3.239400329589843750e+02,2.869029385575777837e+02
3.583360977172851562e+02,3.126782890506397621e+02
4.078984451293945312e+02,3.096683432672888330e+02
4.604771652221679688e+02,2.912158014925701650e+02
5.202403259277343750e+02,3.396455685530262372e+02
5.758081054687500000e+02,3.599908250100033342e+02
5.878610076904296875e+02,3.488130344146970856e+02
5.929028167724609375e+02,3.458675569038584854e+02
6.109693775177001953e+02,3.010739228000479670e+02
6.414585876464843750e+02,2.264183300787452708e+02
6.754337615966796875e+02,1.613993982196882087e+02
7.035037231445312500e+02,1.121926836853052691e+02
7.090890045166015625e+02,1.111383428374831510e+02
7.121838760375976562e+02,1.141735442350781113e+02
7.151914978027343750e+02,1.173095745813330240e+02
7.184002380371093750e+02,1.203459551933677005e+02
7.214508514404296875e+02,1.234888673574020856e+02
7.245421142578125000e+02,1.266237932805670283e+02
7.276586227416992188e+02,1.297331981185693621e+02
7.308341140747070312e+02,1.323490860208702031e+02
7.338822097778320312e+02,1.360327024976740518e+02
7.369696636199951172e+02,1.395046751076540090e+02
7.401230354309082031e+02,1.429938302731937370e+02
7.430563888549804688e+02,1.460954100345606719e+02
7.463143997192382812e+02,1.496370410687671324e+02
7.495104980468750000e+02,1.533220630976789209e+02
7.526113662719726562e+02,1.567656824159969062e+02
7.556705513000488281e+02,1.594445308704524109e+02
7.587270584106445312e+02,1.636720722442949523e+02
7.618917350769042969e+02,1.676365557890261186e+02
3.385498046875000000e+00,7.506462860503797518e-01
6.838523864746093750e+00,9.855900610672816420e-01
1.033514404296875000e+01,1.310916057865279205e+00
1.368847656250000000e+01,1.754737285619221820e+00
2.953646850585937500e+01,1.436723056724358116e+01
7.369708251953125000e+01,6.164374723666775679e+01
1.045949401855468750e+02,9.683207385627750341e+01
1.316108932495117188e+02,1.470490039788943477e+02
1.588738346099853516e+02,2.106763497419980240e+02
1.720372314453125000e+02,2.424475640807548302e+02
1.755011367797851562e+02,2.490030231743582192e+02
1.844263648986816406e+02,2.720896290968498192e+02
2.055647163391113281e+02,3.415962037532523254e+02
2.339973449707031250e+02,4.358271226443859518e+02
2.779064102172851562e+02,4.382358604054784337e+02
3.366048812866210938e+02,4.044465135248165097e+02
3.814797363281250000e+02,3.452913215251473389e+02
4.021229763031005859e+02,2.911051136954162075e+02
4.143897552490234375e+02,3.109929141099640901e+02
4.448732604980468750e+02,3.735941902643056096e+02
4.982728996276855469e+02,3.868584522584044407e+02
5.529030151367187500e+02,4.150784450722101724e+02
5.878627090454101562e+02,3.525638182211572484e+02
6.134939861297607422e+02,2.767371987615582043e+02
6.288635787963867188e+02,2.350546195729572219e+02
6.334371337890625000e+02,2.259766846957807616e+02
6.392457962036132812e+02,2.152784742777493250e+02
6.611703338623046875e+02,1.662651141197887625e+02
6.878490982055664062e+02,1.143983084884505530e+02
7.134903030395507812e+02,7.830318922716632812e+01
7.513569946289062500e+02,4.107318800634628531e+01
7.829025955200195312e+02,2.021635573127094787e+01
7.877168350219726562e+02,1.934499940487614467e+01
7.907890853881835938e+02,1.906330560787073125e+01
7.939052276611328125e+02,1.886406541830569950e+01
7.969772262573242188e+02,1.872353003485201128e+01
8.002154102325439453e+02,1.871011374965968344e+01
8.031884002685546875e+02,1.883015479435945139e+01
8.063997726440429688e+02,1.891524618826936788e+01
8.095584106445312500e+02,1.909411785173847420e+01
8.126561584472656250e+02,1.935829927028656883e+01
8.157544403076171875e+02,1.976946498183835388e+01
8.187758789062500000e+02,2.027542168029097169e+01
8.219556102752685547e+02,2.069563607484687395e+01
8.251554183959960938e+02,2.130153639943736721e+01
8.281879730224609375e+02,2.178935420772911868e+01
8.313182067871093750e+02,2.252607230713847741e+01
8.344658699035644531e+02,2.327134095234392674e+01
8.376522636413574219e+02,2.407073414910125564e+01
8.406935501098632812e+02,2.505843143199508560e+01
8.437478561401367188e+02,2.583459902648142048e+01
8.469229183197021484e+02,2.690407060600639966e+01
8.499911222457885742e+02,2.778929088631269906e+01
8.532004737854003906e+02,2.893345035993041847e+01
8.561941986083984375e+02,2.998705705157212975e+01
8.593080177307128906e+02,3.134296914682076718e+01
2.653347778320312500e+01,6.700343928050320308e+00
3.551262664794921875e+01,1.082030253352601790e+01
3.997726440429687500e+01,1.022691254849439702e+01
4.447390747070312500e+01,1.032318097553798886e+01
6.133894348144531250e+01,1.818203759439984779e+01
1.065876464843750000e+02,4.294039296271853345e+01
1.386339950561523438e+02,5.922565341789493232e+01
1.666056289672851562e+02,9.150513983253742367e+01
1.949030399322509766e+02,1.339712309647895552e+02
2.091158447265625000e+02,1.503180152768131848e+02
2.137756423950195312e+02,1.531581179891752242e+02
2.236483230590820312e+02,1.711904497274690016e+02
2.458786048889160156e+02,2.264556671896067144e+02
2.747846069335937500e+02,3.072130701974264184e+02
