signal_DN,var_single_DN2
9.005432128906250000e+01,7.248179150542678144e+02
1.797094726562500000e+02,3.012233641323629854e+03
2.633330078125000000e+02,5.316771748645905973e+03
3.674072875976562500e+02,9.284565344802444088e+03
4.749348144531250000e+02,1.463854507225767338e+04
2.359888366699218750e+03,2.443595401543765911e+05
3.374583908081054688e+03,1.912732240205463313e+05
3.592043212890625000e+03,2.235877156018125825e+05
3.834101318359375000e+03,2.547817308818871679e+05
4.062292480468750000e+03,2.895415647730302298e+05
4.277402832031250000e+03,3.284503236771686934e+05
4.503262939453125000e+03,3.667988528173745144e+05
4.741990478515625000e+03,4.090057072586789145e+05
4.956125976562500000e+03,4.525682458919864148e+05
5.170889160156250000e+03,5.068496714761912590e+05
5.402973632812500000e+03,5.622931472338729072e+05
6.637553955078125000e+03,9.500288943786856253e+05
8.616132324218750000e+03,1.266517400471226079e+06
1.200633178710937500e+04,2.206588253052404616e+06
1.398548779296875000e+04,2.893182628995805047e+06
1.473098657226562500e+04,2.937562942234438844e+06
1.061861572265625000e+02,8.856298871446625753e+02
1.767626159667968750e+03,1.530868371630191104e+05
3.000348876953125000e+03,1.297697499373759783e+05
3.221702392578125000e+03,1.576486242020348727e+05
3.466875122070312500e+03,1.856325863466427836e+05
3.704848632812500000e+03,2.155143116741920821e+05
3.933173217773437500e+03,2.456571743886803451e+05
4.150200927734375000e+03,2.801357309908750467e+05
4.385629882812500000e+03,3.126216737658158527e+05
4.619480712890625000e+03,3.593494847973292926e+05
7.369568603515625000e+03,9.008413035202398896e+05
9.220562377929687500e+03,1.342314184536347399e+06
1.166034252929687500e+04,1.944662004612999037e+06
1.384250268554687500e+04,2.419537746012310032e+06
1.442248559570312500e+04,2.725968922922622412e+06
1.680008447265625000e+04,3.756157278498146683e+06
2.477208496093750000e+04,1.142085429033193178e+07
2.476121875000000000e+04,1.149377567026202939e+07
2.475705761718750000e+04,1.148472172117463499e+07
2.474418823242187500e+04,1.150216061356766522e+07
2.473774316406250000e+04,1.159556008419767208e+07
2.135357055664062500e+03,8.024675499973111437e+04
4.468502624511718750e+03,1.902320311462722748e+04
7.480097167968750000e+03,5.706895021000559063e+04
1.024337475585937500e+04,1.912785704275970347e+05
1.203616320800781250e+04,3.399168592357700691e+05
1.394175415039062500e+04,5.797555404523338657e+05
1.587056530761718750e+04,6.938986084627021337e+05
1.615921752929687500e+04,6.659874198832943803e+05
1.647036596679687500e+04,6.376508921886073658e+05
1.679396997070312500e+04,6.069406291467422852e+05
1.963784252929687500e+04,2.593320703257275745e+05
2.157356921386718750e+04,1.275542812285382097e+05
2.408100927734375000e+04,3.904594592260894569e+04
2.636189038085937500e+04,5.577299290644801658e+04
2.703729516601562500e+04,8.339768272252794122e+04
2.948832714843750000e+04,2.857419999543420854e+05
3.755784521484375000e+04,9.924132262678520754e+06
3.804393554687500000e+04,1.015845758913318813e+07
3.994763916015625000e+04,1.011864497877059877e+07
4.013794458007812500e+04,1.014373268497069739e+07
4.031492626953125000e+04,1.019211714264029078e+07
2.252959228515625000e+03,7.265181998269633914e+04
3.144210021972656250e+03,1.671291503357484471e+05
5.157247924804687500e+03,2.304404894411680580e+05
7.947012695312500000e+03,4.783173498495147214e+05
9.717030273437500000e+03,6.996222361436741194e+05
1.163225134277343750e+04,1.018648601659973734e+06
1.355073242187500000e+04,1.180055253052786924e+06
1.385984204101562500e+04,1.139242904286964331e+06
1.416623632812500000e+04,1.100078766673147911e+06
1.448748852539062500e+04,1.060368976922335103e+06
1.480311865234375000e+04,1.024496645813368959e+06
1.512000000000000000e+04,9.885784842691528611e+05
1.542980969238281250e+04,9.532326332316492917e+05
1.575004077148437500e+04,9.177886518732063705e+05
1.605970928955078125e+04,8.829692893217660021e+05
1.636454052734375000e+04,8.529169269760303432e+05
1.666401220703125000e+04,8.193224473776333034e+05
1.739876855468750000e+04,9.768702725689354120e+05
1.952023120117187500e+04,1.148677052073772764e+06
1.994135278320312500e+04,1.131237978162539424e+06
2.035472680664062500e+04,1.113407802950218320e+06
4.483732910156250000e+02,6.900554752501493567e+02
9.140996093750000000e+02,1.037193462620886748e+03
1.398025756835937500e+03,1.401851675906570335e+03
1.876638427734375000e+03,1.705873495168994623e+03
2.346595947265625000e+03,2.015488324166385382e+03
2.807809295654296875e+03,2.325292679691614467e+03
3.278050537109375000e+03,2.652562519063834770e+03
3.743755859375000000e+03,2.953793346114442102e+03
4.206443115234375000e+03,3.262578631391304043e+03
4.662397460937500000e+03,3.565867348973167736e+03
5.138374023437500000e+03,3.861938322919046641e+03
5.598579589843750000e+03,4.198125930295983380e+03
6.047625854492187500e+03,4.469861543029731365e+03
6.518913330078125000e+03,4.745448832085606227e+03
6.971318603515625000e+03,5.021874514108669246e+03
7.434321044921875000e+03,5.323386641884364508e+03
7.882222778320312500e+03,5.574049940811971283e+03
8.351290527343750000e+03,5.901841091060677172e+03
8.796171875000000000e+03,6.158620672891674985e+03
9.243373046875000000e+03,6.440924770227066801e+03
9.694461425781250000e+03,6.729665848053375157e+03
4.542961425781250000e+02,6.978553731262113615e+02
9.252130737304687500e+02,1.040905007335094524e+03
1.389918701171875000e+03,1.389775008167916440e+03
1.864775146484375000e+03,1.678829611096896315e+03
2.349655151367187500e+03,2.004515975951462451e+03
2.808902435302734375e+03,2.352350999195114582e+03
3.274749755859375000e+03,2.622237920997471974e+03
3.729572753906250000e+03,2.957198538841164009e+03
4.200238769531250000e+03,3.239306008362744251e+03
4.657992187500000000e+03,3.562695871898720725e+03
5.134353271484375000e+03,3.838895073593313100e+03
5.584917724609375000e+03,4.128973052624941374e+03
6.037858154296875000e+03,4.442569753066892190e+03
6.492814758300781250e+03,4.703370865972174215e+03
6.943277038574218750e+03,5.004690413743827776e+03
7.399993103027343750e+03,5.275668439290679999e+03
7.865666381835937500e+03,5.574520140062565588e+03
8.325615234375000000e+03,5.817583751157893857e+03
8.768259704589843750e+03,6.087493333893727140e+03
9.215263214111328125e+03,6.364927601686654270e+03
9.675114746093750000e+03,6.625920882654582783e+03
4.739168701171875000e+02,7.144960167098554393e+02
9.461698303222656250e+02,1.075114649160137105e+03
1.421091308593750000e+03,1.380064551987476534e+03
1.892115966796875000e+03,1.695217351653404876e+03
2.356796264648437500e+03,2.019332226598686702e+03
2.827734863281250000e+03,2.321173366896557127e+03
3.286689453125000000e+03,2.625232231467428392e+03
3.753004638671875000e+03,2.922515238863937611e+03
4.207178222656250000e+03,3.259121709552402081e+03
4.669657226562500000e+03,3.552593501871385797e+03
5.129854187011718750e+03,3.867635412079589059e+03
5.584674041748046875e+03,4.153434008839501075e+03
6.043133056640625000e+03,4.472254846440836445e+03
6.493155822753906250e+03,4.753700707892713581e+03
6.945775878906250000e+03,5.100896834004635821e+03
7.391868164062500000e+03,5.320418038689174864e+03
7.853327880859375000e+03,5.720870418286552194e+03
8.312784301757812500e+03,5.924625099051210782e+03
8.750469238281250000e+03,6.173330910736536680e+03
9.212669464111328125e+03,6.400623147091649116e+03
9.670281738281250000e+03,6.645300719227415357e+03
4.767852783203125000e+02,7.475332574848661125e+02
9.438658752441406250e+02,1.052176794255808773e+03
1.419310546875000000e+03,1.393567587806182019e+03
1.880350830078125000e+03,1.671289286801545586e+03
2.342451660156250000e+03,2.008746045074050016e+03
2.814993286132812500e+03,2.312470992682082397e+03
3.275820556640625000e+03,2.637213970090361272e+03
3.752138183593750000e+03,2.935943192283984445e+03
4.191017333984375000e+03,3.231818887477698354e+03
4.642994628906250000e+03,3.498279921296997145e+03
5.107462341308593750e+03,3.835155345524514814e+03
5.572189910888671875e+03,4.180039898906901726e+03
6.019566162109375000e+03,4.414085133071975179e+03
6.476571411132812500e+03,4.678741094642843564e+03
6.940217285156250000e+03,5.021693594511309129e+03
7.388661529541015625e+03,5.244430872094821098e+03
7.832233398437500000e+03,5.545622964486266937e+03
8.285093505859375000e+03,5.865503114935526355e+03
8.729718566894531250e+03,6.141639711380430526e+03
9.195549072265625000e+03,6.382745818373090515e+03
9.639178649902343750e+03,6.589263049915241936e+03
4.697177734375000000e+02,7.050560376676962733e+02
9.320327148437500000e+02,1.012790995124925530e+03
1.392569213867187500e+03,1.390844404341343761e+03
1.862430664062500000e+03,1.706375315461309128e+03
2.326378906250000000e+03,1.994715267064690579e+03
2.798223999023437500e+03,2.361876932313377438e+03
3.265934570312500000e+03,2.656067430869679356e+03
3.732021728515625000e+03,2.894361260176770429e+03
4.172310668945312500e+03,3.197034035984952425e+03
4.625088134765625000e+03,3.487739824343051168e+03
5.087203613281250000e+03,3.784036164535398257e+03
5.557571655273437500e+03,4.180449540462948789e+03
6.021834899902343750e+03,4.388083503016595387e+03
6.466253784179687500e+03,4.665697304995298509e+03
6.922951660156250000e+03,4.980748113078544520e+03
7.382099945068359375e+03,5.219646415914143290e+03
7.815435058593750000e+03,5.487226769631612115e+03
8.260443603515625000e+03,5.800514843798729089e+03
8.716585693359375000e+03,6.054996029158212878e+03
9.176281738281250000e+03,6.413069354933722025e+03
9.610316589355468750e+03,6.581552894059588652e+03
